S,E,I,R
19969,11,19,1
19956,21,22,1
19936,32,28,4
19907,52,32,9
19873,74,41,12
19823,105,58,14
19750,153,72,25
19664,200,100,36
19558,252,148,42
19442,308,187,63
19258,415,243,84
19010,534,333,123
18681,721,446,152
18307,884,598,211
17769,1187,749,295
17040,1546,1020,394
16153,1990,1307,550
15165,2441,1701,693
13912,2956,2213,919
12446,3564,2805,1185
10914,4103,3459,1524
9283,4571,4167,1979
7620,4961,4917,2502
6088,5148,5671,3093
4674,5155,6337,3834
3572,4809,6911,4708
2695,4303,7377,5625
2043,3759,7657,6541
1550,3210,7673,7567
1164,2706,7535,8595
906,2207,7289,9598
718,1807,6990,10485
564,1425,6625,11386
449,1181,6093,12277
376,954,5633,13037
350,728,5165,13757
320,611,4661,14408
311,518,4170,15001
307,422,3770,15501
335,339,3397,15929
324,291,3033,16352
340,239,2717,16704
386,196,2407,17011
405,168,2097,17330
444,140,1876,17540
478,121,1663,17738
518,113,1468,17901
560,99,1309,18032
592,98,1178,18132
641,91,1053,18215
681,92,938,18289
723,88,804,18385
766,96,701,18437
806,95,632,18467
852,92,593,18463
908,75,550,18467
960,73,479,18488
1000,63,438,18499
1048,62,381,18509
1104,53,358,18485
1166,43,333,18458
1223,44,307,18426
1270,44,273,18413
1320,42,238,18400
1369,45,215,18371
1412,47,196,18345
1474,43,181,18302
1529,39,168,18264
1589,35,155,18221
1645,30,145,18180
1717,29,131,18123
1789,23,114,18074
1851,27,110,18012
1909,31,104,17956
1968,35,95,17902
2035,34,87,17844
2092,31,85,17792
2151,23,83,17743
2216,22,72,17690
2258,22,71,17649
2305,22,66,17607
2362,25,63,17550
2413,22,62,17503
2476,23,64,17437
2532,24,60,17384
2575,27,60,17338
2626,21,64,17289
2683,19,54,17244
2737,18,51,17194
2782,22,50,17146
2820,26,48,17106
2869,25,48,17058
2919,22,48,17011
2954,21,50,16975
3008,18,53,16921
3054,16,50,16880
3106,17,43,16834
3161,13,38,16788
3208,16,39,16737
3245,15,33,16707
3279,15,33,16673
3320,18,33,16629
3376,12,31,16581
3428,10,32,16530
3479,14,32,16475
3530,12,31,16427
3585,15,31,16369
3639,21,29,16311
3670,20,33,16277
3702,20,30,16248
3736,19,30,16215
3779,18,31,16172
3815,16,29,16140
3860,16,30,16094
3891,16,32,16061
3933,15,31,16021
3978,16,29,15977
4020,19,29,15932
4060,15,29,15896
4106,14,27,15853
4148,11,31,15810
4185,14,28,15773
4226,19,31,15724
4263,17,28,15692
4310,16,27,15647
4350,17,28,15605
4382,18,31,15569
4414,15,35,15536
4456,13,36,15495
4497,15,37,15451
4541,17,36,15406
4581,15,37,15367
4618,17,34,15331
4656,19,34,15291
4698,19,36,15247
4730,16,43,15211
4764,19,42,15175
4815,19,43,15123
4845,26,46,15083
4884,29,47,15040
4937,30,49,14984
4966,38,53,14943
4981,50,55,14914
5010,38,66,14886
5024,39,69,14868
5047,42,71,14840
5078,46,70,14806
5092,58,64,14786
5129,54,72,14745
5146,66,75,14713
5168,62,88,14682
5177,75,89,14659
5208,69,104,14619
5242,73,105,14580
5268,67,116,14549
5284,73,115,14528
5298,73,121,14508
5304,76,126,14494
5309,89,126,14476
5327,99,136,14438
5332,106,146,14416
5337,109,165,14389
5354,105,180,14361
5365,109,183,14343
5371,114,192,14323
5365,116,204,14315
5357,137,215,14291
5363,141,220,14276
