S,E,I,R
19962,18,17,3
19939,36,20,5
19920,41,33,6
19895,51,38,16
19856,80,46,18
19813,103,61,23
19757,129,80,34
19666,192,98,44
19533,271,140,56
19382,348,196,74
19170,471,265,94
18892,613,366,129
18486,845,494,175
17991,1083,685,241
17350,1414,904,332
16576,1788,1173,463
15604,2237,1548,611
14404,2772,1985,839
13044,3324,2551,1081
11448,3992,3156,1404
9830,4526,3819,1825
8221,4815,4646,2318
6653,5055,5377,2915
5243,4994,6152,3611
4059,4770,6765,4406
3070,4442,7225,5263
2292,3952,7525,6231
1682,3431,7666,7221
1266,2921,7631,8182
955,2446,7432,9167
743,1991,7222,10044
606,1565,6802,11027
515,1239,6364,11882
432,1017,5896,12655
390,827,5385,13398
356,662,4904,14078
337,523,4440,14700
348,423,4006,15223
354,350,3580,15716
368,266,3204,16162
362,237,2804,16597
394,194,2481,16931
417,183,2217,17183
432,168,1979,17421
462,154,1747,17637
522,116,1551,17811
552,110,1374,17964
593,96,1210,18101
633,93,1061,18213
671,85,937,18307
711,77,821,18391
754,73,714,18459
791,74,621,18514
848,63,548,18541
895,55,495,18555
961,59,440,18540
1025,54,396,18525
1091,60,351,18498
1136,61,316,18487
1192,55,290,18463
1236,56,266,18442
1290,51,248,18411
1342,39,215,18404
1392,41,189,18378
1453,39,164,18344
1554,35,150,18261
1620,29,138,18213
1665,28,130,18177
1731,25,119,18125
1793,24,104,18079
1861,19,97,18023
1913,25,95,17967
1955,23,85,17937
2007,22,80,17891
2052,24,65,17859
2111,25,58,17806
2168,15,60,17757
2218,17,57,17708
2268,20,50,17662
2299,21,48,17632
2354,21,47,17578
2411,14,49,17526
2457,13,46,17484
2524,12,43,17421
2571,10,42,17377
2633,8,40,17319
2686,8,33,17273
2753,8,29,17210
2801,10,25,17164
2849,5,26,17120
2895,5,24,17076
2953,4,23,17020
2992,4,23,16981
3042,5,19,16934
3103,4,19,16874
3156,3,17,16824
3198,1,18,16783
3242,3,16,16739
3285,4,14,16697
3324,2,14,16660
3367,2,11,16620
3415,3,11,16571
3469,3,11,16517
3534,3,11,16452
3581,7,9,16403
3628,7,8,16357
3685,6,10,16299
3737,8,8,16247
3788,7,11,16194
3839,8,9,16144
3881,8,10,16101
3928,10,6,16056
3975,8,8,16009
4030,5,13,15952
4070,4,16,15910
4109,4,16,15871
4155,5,15,15825
4207,6,13,15774
4271,5,10,15714
4318,10,11,15661
4355,5,14,15626
4397,5,13,15585
4434,5,11,15550
4473,4,11,15512
4506,6,9,15479
4547,6,12,15435
4601,6,13,15380
4648,6,11,15335
4691,4,11,15294
4740,5,9,15246
4772,6,12,15210
4813,5,8,15174
4856,3,10,15131
4898,3,8,15091
4940,3,7,15050
4981,4,6,15009
5021,4,5,14970
5062,6,3,14929
5098,2,6,14894
5149,4,6,14841
5185,5,6,14804
5238,5,6,14751
5268,9,6,14717
5314,7,10,14669
5356,7,12,14625
5391,9,14,14586
5423,12,15,14550
5458,16,16,14510
5504,15,17,14464
5544,14,22,14420
5579,15,21,14385
5604,15,26,14355
5645,14,26,14315
5686,16,27,14271
5722,17,25,14236
5767,21,28,14184
5804,17,32,14147
5844,20,27,14109
5871,20,32,14077
5912,22,37,14029
5939,24,40,13997
5969,30,43,13958
5989,32,49,13930
6019,38,53,13890
6050,42,57,13851
6061,46,57,13836
6081,44,64,13811
6112,43,69,13776
6132,44,72,13752
6172,44,75,13709
6191,48,79,13682
6213,54,81,13652
6238,62,80,13620
6256,67,92,13585
6272,78,85,13565
6283,70,102,13545
6297,77,106,13520
6310,90,108,13492
6319,98,118,13465
6333,96,131,13440
6334,108,139,13419
6350,110,142,13398
6330,132,159,13379
6337,137,175,13351
6345,139,195,13321
6318,153,204,13325
6287,187,211,13315
6271,191,234,13304
6231,214,259,13296
6212,211,276,13301
6174,221,305,13300
6134,228,335,13303
6083,243,351,13323
6028,255,386,13331
5965,278,414,13343
5885,312,432,13371
5829,319,464,13388
5756,336,497,13411
5690,353,535,13422
5607,382,579,13432
5526,409,585,13480
5451,415,620,13514
5340,450,645,13565
5245,451,706,13598
5140,454,757,13649
5011,492,809,13688
4896,519,833,13752
4780,526,872,13822
4638,548,902,13912
4518,581,946,13955
4385,605,961,14049
4276,602,1010,14112
4156,585,1055,14204
4007,616,1086,14291
3886,627,1089,14398
3759,632,1136,14473
3642,623,1181,14554
3529,611,1199,14661
3434,590,1204,14772
3315,582,1239,14864
3219,557,1238,14986
3134,548,1226,15092
3048,534,1220,15198
2957,520,1212,15311
2904,473,1209,15414
2807,499,1173,15521
2730,499,1153,15618
2703,446,1144,15707
2662,430,1104,15804
2617,425,1092,15866
2555,424,1066,15955
2524,395,1039,16042
2525,378,987,16110
2518,342,981,16159
2483,340,956,16221
2516,326,901,16257
2508,342,840,16310
2521,326,825,16328
2517,310,792,16381
2508,281,783,16428
2526,249,774,16451
2536,245,730,16489
2543,251,698,16508
2533,261,686,16520
2566,245,636,16553
2572,239,636,16553
2593,229,611,16567
2609,227,598,16566
2644,215,593,16548
2661,201,582,16556
2702,199,563,16536
2736,183,554,16527
2765,166,544,16525
2793,178,524,16505
2828,189,512,16471
2834,195,506,16465
2861,192,486,16461
2898,189,472,16441
2935,193,463,16409
2973,191,461,16375
3008,196,463,16333
3027,193,458,16322
3067,187,450,16296
3091,179,445,16285
3122,170,444,16264
3149,168,427,16256
3199,163,426,16212
3240,177,409,16174
3250,191,399,16160
3284,181,426,16109
3300,187,418,16095
3331,185,428,16056
3357,189,428,16026
3394,188,432,15986
3433,181,407,15979
3475,165,405,15955
3530,167,385,15918
3544,172,385,15899
3568,193,387,15852
3625,178,389,15808
3637,209,377,15777
3648,218,396,15738
3686,203,407,15704
3721,203,391,15685
3744,200,390,15666
3775,218,384,15623
3807,228,387,15578
3821,229,401,15549
3864,217,412,15507
3894,219,427,15460
3930,211,427,15432
3952,208,431,15409
3974,209,434,15383
4007,202,448,15343
4018,208,466,15308
4047,215,460,15278
4068,235,446,15251
4071,241,455,15233
4081,243,450,15226
4078,251,474,15197
4069,272,480,15179
4091,270,468,15171
