S,E,I,R
19969,11,17,3
19953,26,16,5
19934,37,21,8
19911,52,27,10
19875,68,44,13
19838,86,59,17
19776,126,71,27
19699,172,98,31
19609,221,125,45
19480,284,179,57
19313,380,231,76
19086,494,317,103
18786,635,430,149
18387,841,555,217
17861,1126,719,294
17225,1438,932,405
16470,1779,1216,535
15539,2229,1536,696
14388,2725,1992,895
13053,3257,2540,1150
11535,3842,3153,1470
9988,4305,3822,1885
8317,4773,4486,2424
6780,4959,5254,3007
5368,4997,5939,3696
4208,4747,6609,4436
3174,4452,7095,5279
2362,3966,7453,6219
1790,3486,7515,7209
1382,2927,7496,8195
1054,2493,7313,9140
834,2016,7082,10068
671,1629,6792,10908
568,1326,6334,11772
477,1066,5855,12602
414,834,5381,13371
363,702,4866,14069
334,575,4410,14681
345,460,4005,15190
349,381,3570,15700
345,317,3215,16123
355,262,2851,16532
373,215,2509,16903
390,183,2204,17223
424,145,1934,17497
457,119,1709,17715
503,107,1534,17856
553,103,1353,17991
594,97,1203,18106
635,88,1061,18216
700,63,959,18278
740,71,821,18368
790,65,730,18415
851,70,650,18429
904,70,582,18444
973,65,513,18449
1016,62,457,18465
1074,61,413,18452
1126,55,371,18448
1180,55,324,18441
1237,44,307,18412
1292,44,272,18392
1344,45,245,18366
1400,37,233,18330
1444,38,223,18295
1495,39,195,18271
1550,36,184,18230
1605,33,167,18195
1664,30,152,18154
1729,32,142,18097
1782,34,130,18054
1843,38,125,17994
1896,24,124,17956
1941,32,114,17913
1988,35,106,17871
2052,29,101,17818
2109,26,95,17770
2158,25,82,17735
2217,19,81,17683
2273,21,75,17631
2323,23,73,17581
2374,26,71,17529
2414,30,65,17491
2459,27,66,17448
2508,23,60,17409
2555,25,58,17362
2586,25,55,17334
2646,24,52,17278
2693,21,47,17239
2748,17,49,17186
2797,18,49,17136
2830,24,47,17099
2874,21,46,17059
2914,17,46,17023
2965,17,44,16974
3001,15,45,16939
3043,19,41,16897
3087,22,41,16850
3134,23,43,16800
3186,20,42,16752
3245,21,37,16697
3297,23,32,16648
3352,22,32,16594
3390,23,34,16553
3433,24,34,16509
3477,21,34,16468
3514,16,37,16433
3560,18,34,16388
3603,17,34,16346
3637,11,33,16319
3675,13,31,16281
3721,13,34,16232
3758,18,32,16192
3804,16,36,16144
3858,15,33,16094
3920,13,34,16033
3956,11,39,15994
3990,14,36,15960
4044,17,33,15906
4097,18,34,15851
4147,15,37,15801
4185,17,36,15762
4227,17,38,15718
4269,19,36,15676
4316,13,34,15637
4347,17,30,15606
4380,19,32,15569
4423,18,36,15523
4463,16,37,15484
4505,19,34,15442
4546,19,35,15400
4585,20,30,15365
4633,20,31,15316
4668,19,34,15279
4707,19,39,15235
4746,21,40,15193
4775,16,44,15165
4812,19,40,15129
4848,14,36,15102
4879,16,33,15072
4911,18,28,15043
4945,16,31,15008
4996,21,28,14955
5036,24,22,14918
5073,21,27,14879
5115,21,27,14837
5160,20,30,14790
5199,23,33,14745
5240,24,32,14704
5277,26,32,14665
5295,32,31,14642
5325,27,40,14608
5360,27,45,14568
5387,33,46,14534
5422,32,41,14505
5465,23,47,14465
5491,30,47,14432
5526,34,46,14394
5559,30,55,14356
5597,33,60,14310
5622,34,61,14283
5645,35,65,14255
5683,40,63,14214
5715,44,67,14174
5743,49,71,14137
5766,48,71,14115
5779,55,82,14084
5800,65,83,14052
5812,67,85,14036
5832,74,98,13996
5849,83,101,13967
5874,71,121,13934
5894,81,116,13909
5913,85,130,13872
5936,95,131,13838
5962,99,140,13799
5949,119,153,13779
5954,121,158,13767
5945,127,170,13758
5939,140,177,13744
5934,152,182,13732
5943,153,197,13707
5928,157,217,13698
5925,160,236,13679
5905,186,250,13659
5899,192,267,13642
5879,211,282,13628
5841,217,328,13614
5818,237,344,13601
5778,251,365,13606
5728,282,366,13624
5677,291,391,13641
5638,280,417,13665
5608,288,428,13676
5566,299,441,13694
5486,337,472,13705
5432,349,517,13702
5373,355,549,13723
5291,380,576,13753
5209,395,602,13794
5136,409,634,13821
5055,411,679,13855
4947,438,712,13903
4882,419,752,13947
4780,433,793,13994
4673,467,813,14047
4568,498,839,14095
4458,514,887,14141
4380,522,900,14198
4281,519,926,14274
4166,556,929,14349
4076,551,938,14435
3990,536,954,14520
3909,526,948,14617
3799,523,969,14709
3697,547,976,14780
3633,521,1009,14837
3559,541,997,14903
3488,515,1007,14990
3412,484,1033,15071
3312,503,1020,15165
3253,467,1023,15257
3209,467,986,15338
3161,472,968,15399
3126,439,975,15460
3065,451,931,15553
3021,437,932,15610
2977,447,930,15646
2929,426,948,15697
2889,417,941,15753
2852,417,928,15803
2829,391,921,15859
2812,378,887,15923
2789,368,885,15958
2755,346,894,16005
2742,342,864,16052
2724,321,838,16117
2707,321,825,16147
2732,293,821,16154
2728,301,791,16180
2719,298,780,16203
2716,293,748,16243
2704,297,742,16257
2731,282,689,16298
2735,266,685,16314
2753,273,661,16313
2751,267,651,16331
2781,265,639,16315
2795,255,625,16325
2805,248,608,16339
2814,251,605,16330
2841,239,604,16316
2846,227,595,16332
2858,221,564,16357
2867,217,556,16360
2911,203,518,16368
2919,208,514,16359
2929,213,502,16356
2964,217,485,16334
3007,194,488,16311
3020,209,491,16280
3053,211,486,16250
3089,208,474,16229
3148,196,466,16190
3174,198,455,16173
3198,198,447,16157
3214,203,439,16144
3247,189,447,16117
3280,195,442,16083
3316,207,432,16045
3377,204,437,15982
3426,193,437,15944
3445,207,417,15931
3476,196,414,15914
3510,200,408,15882
3538,203,409,15850
3569,210,409,15812
3603,206,410,15781
3642,200,403,15755
3680,197,392,15731
3716,216,381,15687
3732,208,398,15662
3754,192,412,15642
3773,205,406,15616
3794,217,412,15577
3816,220,414,15550
3839,223,407,15531
3868,221,415,15496
3860,231,427,15482
3897,220,444,15439
3897,231,464,15408
3902,253,471,15374
3926,262,476,15336
3953,257,479,15311
3979,257,493,15271
3997,245,512,15246
3996,255,509,15240
4009,254,507,15230
4018,270,517,15195
4012,285,499,15204
4018,272,524,15186
4043,275,525,15157
4045,272,538,15145
4044,282,530,15144
4021,306,538,15135
4012,292,552,15144
3999,312,569,15120
3981,326,593,15100
3994,311,610,15085
3980,322,611,15087
3969,327,611,15093
3958,326,609,15107
3934,340,618,15108
3943,327,630,15100
3943,308,664,15085
3924,332,648,15096
3939,318,652,15091
3943,299,686,15072
3941,316,675,15068
3937,330,661,15072
3930,340,645,15085
3933,349,638,15080
3929,358,625,15088
3898,370,638,15094
3876,358,671,15095
3902,348,681,15069
3895,349,683,15073
3900,342,683,15075
3887,356,685,15072
3849,392,680,15079
3836,379,709,15076
3832,382,716,15070
3818,367,741,15074
3819,366,740,15075
3801,379,731,15089
3786,385,723,15106
3782,374,731,15113
3760,389,737,15114
3758,381,749,15112
3719,393,766,15122
3708,374,798,15120
3701,362,800,15137
3699,379,758,15164
3702,383,741,15174
3682,391,728,15199
3694,380,739,15187
3662,398,738,15202
3633,398,759,15210
3618,382,749,15251
3597,377,756,15270
3580,367,746,15307
3586,344,763,15307
3592,342,753,15313
3580,375,739,15306
3569,394,741,15296
3564,405,722,15309
3563,375,758,15304
3535,396,780,15289
3508,393,811,15288
3510,387,815,15288
3494,402,793,15311
3478,407,777,15338
3493,406,787,15314
3484,394,795,15327
3484,380,788,15348
3475,373,794,15358
3441,383,796,15380
3452,375,799,15374
3470,390,787,15353
3470,381,775,15374
3483,354,780,15383
3517,348,773,15362
3514,338,760,15388
3517,333,746,15404
3509,340,724,15427
3511,352,716,15421
3492,373,720,15415
3452,386,741,15421
3465,352,751,15432
3451,364,740,15445
3454,379,733,15434
3447,370,748,15435
3445,373,754,15428
3425,385,754,15436
3427,366,759,15448
3439,340,759,15462
3447,342,762,15449
3440,341,790,15429
3447,342,787,15424
3439,349,771,15441
3462,324,771,15443
3435,346,777,15442
3444,337,754,15465
3427,351,760,15462
3436,348,732,15484
3432,334,759,15475
3445,327,733,15495
3461,340,703,15496
3450,335,725,15490
3483,314,714,15489
3490,331,715,15464
3473,334,729,15464
3454,339,743,15464
3471,331,727,15471
3489,329,730,15452
3487,331,740,15442
3491,348,733,15428
3493,353,721,15433
3476,350,718,15456
3471,367,700,15462
3475,352,719,15454
3479,352,707,15462
3481,362,680,15477
3481,336,708,15475
3490,334,691,15485
3476,331,709,15484
3479,335,687,15499
3479,345,712,15464
3506,358,707,15429
3522,336,724,15418
3499,346,754,15401
3500,345,746,15409
3469,354,766,15411
3462,364,743,15431
3453,372,740,15435
3446,369,739,15446
3461,366,742,15431
3489,343,737,15431
3473,343,747,15437
3454,344,752,15450
3456,354,723,15467
3459,361,717,15463
3460,369,693,15478
3474,367,696,15463
3467,359,704,15470
3454,360,686,15500
3450,370,703,15477
3447,349,727,15477
3451,356,719,15474
3437,379,705,15479
3423,359,730,15488
3412,361,722,15505
3430,362,719,15489
3422,368,726,15484
3397,377,718,15508
3372,374,747,15507
3355,361,774,15510
3335,357,785,15523
3319,351,798,15532
3294,383,778,15545
3279,386,771,15564
3267,383,774,15576
3246,383,774,15597
3249,358,783,15610
3232,360,780,15628
3263,342,777,15618
3257,371,757,15615
3256,368,754,15622
3245,359,746,15650
3249,354,740,15657
3242,350,722,15686
3260,346,715,15679
3281,326,721,15672
3272,350,714,15664
3272,358,694,15676
3256,364,719,15661
3247,361,736,15656
3265,353,733,15649
3251,350,721,15678
3256,339,719,15686
3253,332,725,15690
3275,329,734,15662
3272,322,751,15655
3268,310,742,15680
3281,309,718,15692
3283,326,698,15693
3301,334,668,15697
3318,314,663,15705
3324,327,669,15680
3322,311,672,15695
3346,322,638,15694
3354,329,625,15692
3394,310,626,15670
3415,308,623,15654
3467,279,615,15639
3460,294,635,15611
3469,287,622,15622
3493,278,635,15594
3519,282,627,15572
3536,298,612,15554
3539,305,610,15546
3548,307,614,15531
3564,309,615,15512
3578,299,610,15513
3608,290,588,15514
3621,293,567,15519
3640,286,565,15509
3635,286,576,15503
3632,308,539,15521
3633,303,553,15511
3610,305,586,15499
3627,302,587,15484
3638,303,586,15473
3683,280,594,15443
3694,292,582,15432
3712,287,578,15423
3728,280,586,15406
3724,274,599,15403
3702,309,591,15398
3715,304,592,15389
3727,295,596,15382
3733,323,598,15346
3735,354,592,15319
3755,326,624,15295
3764,312,634,15290
3752,309,643,15296
3755,318,654,15273
3780,307,649,15264
3793,311,642,15254
3762,324,642,15272
3748,342,640,15270
3729,345,641,15285
3729,337,661,15273
3749,323,664,15264
3757,314,657,15272
3762,296,660,15282
3765,301,663,15271
3745,324,657,15274
3766,322,645,15267
3784,322,641,15253
3780,325,647,15248
3806,304,644,15246
3826,328,605,15241
3834,332,613,15221
3839,334,610,15217
3830,336,634,15200
3824,355,636,15185
3830,342,656,15172
3830,337,665,15168
3850,332,653,15165
3824,335,670,15171
3807,351,655,15187
3798,358,665,15179
3812,360,668,15160
3822,349,669,15160
3841,348,681,15130
3832,355,682,15131
3846,356,688,15110
3848,359,690,15103
3845,367,690,15098
3855,335,721,15089
3835,350,734,15081
3821,354,750,15075
3812,358,770,15060
3801,357,776,15066
3805,345,790,15060
3776,355,781,15088
3729,391,802,15078
3707,416,785,15092
3671,431,796,15102
3673,410,795,15122
3681,393,806,15120
3678,386,797,15139
3628,408,800,15164
3626,392,796,15186
3590,413,784,15213
3579,425,788,15208
3570,418,807,15205
3549,403,810,15238
3513,398,853,15236
3505,399,857,15239
3495,402,853,15250
3447,403,861,15289
3445,387,867,15301
3454,404,853,15289
3422,410,844,15324
3413,406,826,15355
3392,410,846,15352
3377,400,850,15373
3357,413,832,15398
3338,415,831,15416
3336,389,838,15437
3327,400,837,15436
3317,406,849,15428
3317,395,845,15443
3326,397,834,15443
3336,383,838,15443
3334,375,842,15449
3327,375,840,15458
3354,351,851,15444
3343,361,829,15467
3339,371,818,15472
3326,379,823,15472
3329,386,791,15494
3338,350,810,15502
3335,369,797,15499
3324,377,783,15516
3313,371,799,15517
3306,393,782,15519
3276,401,780,15543
3280,391,768,15561
3265,395,780,15560
3225,415,772,15588
3223,406,765,15606
3215,393,771,15621
3228,371,794,15607
3238,356,764,15642
3249,353,768,15630
3254,367,754,15625
3253,368,744,15635
3232,376,742,15650
3246,356,738,15660
3252,363,724,15661
3275,353,725,15647
3282,344,727,15647
3322,304,726,15648
3310,319,713,15658
3328,314,712,15646
3353,306,707,15634
3360,334,688,15618
3357,339,684,15620
3380,323,692,15605
3401,311,673,15615
3402,306,669,15623
3433,293,671,15603
3453,307,657,15583
3436,321,669,15574
3438,332,677,15553
3454,323,673,15550
3446,330,662,15562
3464,331,663,15542
3460,346,669,15525
3472,348,662,15518
3472,334,675,15519
3499,323,675,15503
3528,309,674,15489
3533,324,664,15479
3558,327,647,15468
3561,338,629,15472
3571,315,649,15465
3590,334,650,15426
3608,313,669,15410
3613,324,662,15401
3606,331,678,15385
3615,331,666,15388
3625,330,661,15384
3660,325,666,15349
3669,316,682,15333
3646,323,697,15334
3641,332,700,15327
3632,356,700,15312
3626,362,703,15309
3614,366,723,15297
3643,357,732,15268
3646,364,710,15280
3633,361,718,15288
3621,365,729,15285
3649,346,726,15279
3659,336,748,15257
3653,354,726,15267
3645,360,743,15252
3658,359,734,15249
3658,371,742,15229
3648,367,741,15244
3639,356,758,15247
3628,364,751,15257
3623,359,762,15256
3599,378,765,15258
3593,384,764,15259
3569,401,770,15260
3528,395,786,15291
3517,385,788,15310
3452,399,800,15349
3428,413,793,15366
3417,403,811,15369
3394,380,812,15414
3385,386,811,15418
3376,380,807,15437
3388,371,773,15468
3390,357,769,15484
3376,362,781,15481
3373,370,781,15476
3366,364,803,15467
3389,353,766,15492
3395,345,757,15503
3399,353,755,15493
3424,353,739,15484
3432,338,734,15496
3444,327,739,15490
3467,342,715,15476
3489,344,691,15476
3497,343,682,15478
3486,347,685,15482
3474,358,684,15484
3484,346,683,15487
3492,326,681,15501
3489,355,672,15484
3502,347,671,15480
3496,346,695,15463
3521,329,679,15471
3539,343,658,15460
3554,338,658,15450
3560,329,681,15430
3587,323,674,15416
3584,317,666,15433
