S,E,I,R
19969,11,19,1
19952,26,18,4
19935,40,20,5
19913,53,28,6
19894,58,40,8
19864,75,47,14
19819,105,57,19
19745,145,89,21
19658,186,124,32
19538,260,154,48
19388,330,212,70
19196,431,264,109
18943,563,342,152
18609,736,452,203
18187,969,585,259
17643,1230,794,333
16880,1615,1073,432
15940,2088,1397,575
14888,2578,1767,767
13614,3094,2285,1007
12197,3630,2850,1323
10547,4259,3478,1716
8957,4604,4257,2182
7438,4840,4991,2731
5919,4979,5717,3385
4625,4907,6359,4109
3525,4629,6839,5007
2667,4162,7194,5977
2063,3629,7358,6950
1587,3090,7457,7866
1208,2641,7321,8830
918,2157,7121,9804
735,1744,6898,10623
599,1398,6473,11530
488,1143,6012,12357
444,923,5465,13168
409,744,4994,13853
375,609,4528,14488
373,494,4104,15029
372,401,3674,15553
363,336,3280,16021
378,268,2935,16419
396,223,2627,16754
411,199,2328,17062
430,176,2063,17331
462,164,1829,17545
494,148,1623,17735
539,127,1434,17900
570,118,1269,18043
610,113,1120,18157
660,101,984,18255
704,92,872,18332
753,80,780,18387
790,82,693,18435
841,79,615,18465
882,78,555,18485
935,70,494,18501
992,54,458,18496
1050,53,410,18487
1105,55,373,18467
1163,54,327,18456
1206,53,282,18459
1257,56,244,18443
1312,55,222,18411
1363,56,200,18381
1408,53,182,18357
1473,47,171,18309
1526,39,159,18276
1584,35,149,18232
1641,32,132,18195
1699,32,117,18152
1765,35,110,18090
1828,31,112,18029
1885,32,108,17975
1937,30,97,17936
2001,29,88,17882
2063,26,76,17835
2108,23,73,17796
2171,20,69,17740
2214,15,65,17706
2260,13,53,17674
2314,16,48,17622
2377,12,50,17561
2433,16,42,17509
2495,16,40,17449
2544,18,31,17407
2586,18,30,17366
2638,18,29,17315
2702,18,26,17254
2764,14,28,17194
2814,12,30,17144
2873,9,31,17087
2924,8,31,17037
2966,8,27,16999
3023,6,24,16947
3080,8,24,16888
3133,7,23,16837
3184,6,23,16787
3231,10,21,16738
3291,9,21,16679
3348,10,17,16625
3391,7,18,16584
3435,6,19,16540
3487,10,19,16484
3525,8,18,16449
3566,9,18,16407
3621,6,18,16355
