S,E,I,R
19966,14,17,3
19946,27,24,3
19925,39,27,9
19889,63,37,11
19838,90,57,15
19759,127,90,24
19650,199,116,35
19517,282,151,50
19362,355,212,71
19139,483,289,89
18821,650,402,127
18438,852,529,181
17988,1080,667,265
17369,1418,855,358
16620,1753,1157,470
15724,2198,1443,635
14628,2688,1849,835
13312,3265,2345,1078
11884,3817,2936,1363
10265,4351,3681,1703
8665,4747,4421,2167
7084,4973,5161,2782
5669,5057,5816,3458
4407,4894,6502,4197
3338,4531,7141,4990
2461,4076,7544,5919
1848,3562,7719,6871
1373,3068,7648,7911
1024,2546,7549,8881
798,2062,7276,9864
605,1633,6882,10880
510,1296,6432,11762
426,1064,5929,12581
381,839,5440,13340
356,683,4913,14048
353,535,4450,14662
362,438,3975,15225
361,371,3545,15723
374,311,3186,16129
405,257,2841,16497
407,238,2539,16816
429,212,2303,17056
470,172,2039,17319
494,158,1794,17554
537,134,1589,17740
560,113,1409,17918
588,108,1237,18067
619,103,1114,18164
664,95,977,18264
708,87,873,18332
756,79,782,18383
789,82,698,18431
841,78,634,18447
890,82,548,18480
945,67,510,18478
999,58,456,18487
1052,50,411,18487
1097,51,369,18483
1138,47,327,18488
1179,47,299,18475
1220,40,271,18469
1260,40,245,18455
1315,41,228,18416
1369,36,206,18389
1429,34,186,18351
1495,32,165,18308
1562,30,149,18259
1617,32,132,18219
1692,27,122,18159
1758,26,120,18096
1805,26,103,18066
1862,25,100,18013
1902,32,91,17975
1951,33,89,17927
1996,25,93,17886
2049,21,84,17846
2101,21,83,17795
2151,23,80,17746
2194,23,73,17710
2230,24,59,17687
2288,18,61,17633
2339,17,53,17591
2385,21,47,17547
2433,18,45,17504
2482,16,42,17460
2534,16,39,17411
2589,15,39,17357
2648,13,38,17301
2693,15,35,17257
2741,20,34,17205
2785,17,35,17163
2835,15,34,17116
2885,11,33,17071
2933,8,32,17027
2985,9,32,16974
3028,9,27,16936
3082,10,27,16881
3147,9,24,16820
3205,13,26,16756
3258,12,23,16707
3303,13,24,16660
3347,12,29,16612
3393,16,27,16564
3443,17,29,16511
3495,15,27,16463
3552,11,29,16408
3601,11,27,16361
3646,13,30,16311
3687,10,30,16273
3734,9,28,16229
3780,5,31,16184
3821,6,28,16145
3869,8,25,16098
3911,9,24,16056
3952,12,21,16015
4012,12,20,15956
4047,17,18,15918
4082,13,24,15881
4126,13,22,15839
4171,16,22,15791
