S,E,I,R
3829,464,792,14915
3789,458,796,14957
3772,450,812,14966
3759,448,824,14969
3730,433,840,14997
3688,439,864,15009
3647,444,885,15024
3581,460,880,15079
3542,458,859,15141
3538,446,837,15179
3486,440,860,15214
3456,446,855,15243
3431,444,884,15241
3384,447,895,15274
3382,424,874,15320
3377,392,909,15322
3350,413,915,15322
3337,401,907,15355
3324,393,911,15372
3292,395,919,15394
3286,384,911,15419
3265,427,870,15438
3249,435,872,15444
3242,420,864,15474
3231,427,854,15488
3191,434,867,15508
3170,429,874,15527
3165,417,869,15549
3145,429,873,15553
3120,396,876,15608
3122,384,845,15649
3100,373,862,15665
3086,372,853,15689
3052,390,842,15716
3053,392,841,15714
3080,371,832,15717
3099,372,804,15725
3112,376,785,15727
3100,391,769,15740
3106,365,789,15740
3142,345,778,15735
3153,347,759,15741
3167,343,750,15740
3188,325,750,15737
3171,328,756,15745
3203,310,747,15740
3211,301,726,15762
3221,313,699,15767
3241,309,702,15748
3263,305,701,15731
3280,286,695,15739
3301,298,679,15722
3302,310,675,15713
3299,328,667,15706
3301,328,668,15703
3327,307,658,15708
3340,297,657,15706
3343,312,661,15684
3377,299,659,15665
3388,291,663,15658
3416,294,658,15632
3424,298,675,15603
3449,306,658,15587
3440,310,657,15593
3454,320,652,15574
3475,326,660,15539
3476,326,676,15522
3478,316,687,15519
3471,322,679,15528
3471,324,690,15515
3488,323,686,15503
3484,333,688,15495
3497,332,688,15483
3507,319,703,15471
3532,310,700,15458
3527,318,707,15448
3517,317,696,15470
3514,327,670,15489
3507,336,672,15485
3526,322,656,15496
3534,318,670,15478
3532,336,663,15469
3552,340,671,15437
3585,323,665,15427
3587,322,658,15433
3589,343,638,15430
3604,337,644,15415
3628,320,660,15392
3631,318,656,15395
3644,311,660,15385
3646,300,677,15377
3646,320,671,15363
3656,334,659,15351
3638,349,660,15353
3638,356,673,15333
3624,334,670,15372
3631,330,671,15368
3622,342,658,15378
3604,334,672,15390
3614,341,664,15381
3611,334,678,15377
3603,360,665,15372
3580,357,685,15378
3588,298,724,15390
3606,311,706,15377
3628,321,690,15361
3631,324,678,15367
3631,316,681,15372
3640,314,654,15392
3660,330,627,15383
3670,320,642,15368
3675,306,658,15361
3700,289,674,15337
3685,290,655,15370
3700,311,654,15335
3667,331,656,15346
3673,308,656,15363
3688,331,632,15349
3666,331,650,15353
3669,329,662,15340
3655,328,676,15341
3665,346,654,15335
3638,355,654,15353
3610,357,671,15362
3600,360,680,15360
3562,376,692,15370
3534,399,698,15369
3547,391,704,15358
3540,386,708,15366
3536,373,725,15366
3502,396,703,15399
3522,384,695,15399
3531,388,688,15393
3525,383,694,15398
3537,371,694,15398
3541,357,702,15400
3540,344,710,15406
3525,363,699,15413
3520,364,711,15405
3513,353,717,15417
3508,364,718,15410
3487,372,723,15418
3487,370,728,15415
3496,371,729,15404
3467,365,742,15426
3457,356,741,15446
3459,352,714,15475
3449,363,698,15490
3459,358,716,15467
3453,350,736,15461
3456,336,763,15445
3452,338,738,15472
3441,349,735,15475
3428,341,731,15500
3454,335,736,15475
3447,325,734,15494
3450,339,725,15486
3441,336,727,15496
3413,363,712,15512
3422,353,734,15491
3419,353,733,15495
3424,326,735,15515
3447,322,728,15503
3436,326,723,15515
3442,319,736,15503
3432,343,698,15527
3418,347,703,15532
3420,343,702,15535
3414,323,733,15530
3418,319,722,15541
3404,322,704,15570
3440,300,692,15568
3461,281,666,15592
3460,289,646,15605
3466,296,636,15602
3463,311,635,15591
3476,319,647,15558
3495,301,654,15550
3500,314,653,15533
3523,290,655,15532
3533,306,643,15518
3519,324,637,15520
3536,315,637,15512
3556,320,636,15488
3575,314,642,15469
3592,314,639,15455
3594,304,648,15454
3589,309,673,15429
3611,312,667,15410
3620,331,656,15393
3641,322,648,15389
3627,339,654,15380
3642,328,674,15356
3611,334,686,15369
3613,350,684,15353
3638,319,709,15334
3661,320,721,15298
3671,322,719,15288
3670,332,693,15305
3694,341,666,15299
3683,326,688,15303
3696,330,681,15293
3673,338,688,15301
3669,343,698,15290
3657,351,703,15289
3654,341,716,15289
3674,338,730,15258
3651,354,742,15253
3634,376,726,15264
3641,358,715,15286
3620,355,711,15314
3614,341,723,15322
3605,372,702,15321
3590,368,737,15305
3554,392,742,15312
3508,400,762,15330
3486,414,796,15304
3483,415,785,15317
3457,420,802,15321
3453,405,802,15340
3427,406,799,15368
3427,407,796,15370
3410,394,799,15397
3410,394,793,15403
3425,396,783,15396
3412,396,788,15404
3402,388,781,15429
3386,394,782,15438
3407,377,773,15443
3369,401,794,15436
3397,378,793,15432
3411,364,780,15445
3407,377,781,15435
3377,378,785,15460
3380,373,790,15457
3369,385,792,15454
3363,401,801,15435
3352,424,815,15409
3343,397,848,15412
3340,376,843,15441
3314,378,823,15485
3307,375,816,15502
3310,371,805,15514
3329,367,816,15488
3319,364,805,15512
3353,364,779,15504
3339,369,784,15508
3348,361,778,15513
3346,355,787,15512
3349,351,797,15503
3346,365,766,15523
3335,370,760,15535
3327,384,741,15548
3340,371,735,15554
3340,394,716,15550
3342,378,705,15575
3355,354,705,15586
3357,331,738,15574
3381,320,747,15552
3389,343,720,15548
3384,343,735,15538
3390,343,736,15531
3377,350,737,15536
3379,356,729,15536
3389,346,737,15528
3398,329,745,15528
3419,333,741,15507
3445,320,735,15500
3461,326,714,15499
3480,334,708,15478
3493,334,702,15471
3503,337,661,15499
3514,329,665,15492
3534,331,679,15456
3536,339,682,15443
3551,329,685,15435
3565,322,698,15415
3528,343,711,15418
3527,327,725,15421
3542,334,717,15407
3549,339,724,15388
3564,326,714,15396
3581,327,690,15402
3607,317,694,15382
3625,332,686,15357
3628,330,682,15360
3638,323,681,15358
3652,297,699,15352
3641,304,726,15329
3633,338,696,15333
3612,360,681,15347
3623,354,680,15343
3619,370,661,15350
3626,371,682,15321
3628,345,683,15344
3632,337,689,15342
3638,341,693,15328
3617,340,708,15335
3606,349,724,15321
3591,361,714,15334
3585,340,736,15339
3590,319,748,15343
3604,329,732,15335
3613,341,724,15322
3600,360,709,15331
3586,381,719,15314
3578,381,732,15309
3582,369,743,15306
3593,357,739,15311
3589,347,770,15294
3613,342,753,15292
3637,351,717,15295
3639,337,736,15288
3661,332,720,15287
3651,337,715,15297
3635,335,718,15312
3650,344,705,15301
3647,337,730,15286
3616,348,722,15314
3610,347,748,15295
3598,360,732,15310
3586,378,731,15305
3569,372,745,15314
3558,371,750,15321
3562,365,767,15306
3540,378,768,15314
3508,392,781,15319
3499,401,773,15327
3505,374,783,15338
3503,388,770,15339
3501,359,794,15346
3498,367,780,15355
3503,358,788,15351
