S,E,I,R
19966,14,17,3
19955,19,22,4
19933,35,23,9
19909,48,27,16
19878,65,39,18
19849,79,47,25
19798,110,63,29
19745,138,72,45
19677,164,111,48
19567,230,131,72
19411,321,182,86
19232,409,241,118
18990,536,329,145
18648,728,442,182
18253,918,583,246
17718,1186,787,309
17028,1550,1018,404
16157,1961,1361,521
15106,2462,1735,697
13851,3023,2189,937
12425,3582,2755,1238
10897,4080,3429,1594
9293,4558,4068,2081
7753,4810,4835,2602
6264,4924,5567,3245
4913,4824,6282,3981
3763,4597,6823,4817
2887,4181,7170,5762
2193,3707,7394,6706
1614,3265,7398,7723
1236,2748,7351,8665
958,2270,7099,9673
757,1836,6819,10588
620,1486,6488,11406
512,1202,6087,12199
435,978,5562,13025
390,774,5111,13725
368,613,4620,14399
349,475,4150,15026
333,378,3749,15540
346,321,3328,16005
364,268,2956,16412
382,226,2656,16736
406,207,2357,17030
425,170,2151,17254
450,150,1915,17485
495,138,1700,17667
516,135,1492,17857
560,114,1322,18004
596,108,1183,18113
620,104,1059,18217
657,107,940,18296
701,99,833,18367
758,84,747,18411
783,89,674,18454
821,89,596,18494
867,73,534,18526
915,68,478,18539
960,62,411,18567
1008,60,373,18559
1065,58,332,18545
1115,57,306,18522
1155,53,282,18510
1195,46,270,18489
1263,51,249,18437
1317,44,232,18407
1389,44,209,18358
1455,47,195,18303
1519,41,170,18270
1575,37,144,18244
1634,30,126,18210
1688,32,115,18165
1735,38,109,18118
1797,26,109,18068
1841,25,104,18030
1888,25,98,17989
1954,26,95,17925
2012,27,87,17874
2082,23,82,17813
2112,22,74,17792
2165,23,65,17747
2206,25,60,17709
2263,29,53,17655
2331,27,57,17585
2384,27,55,17534
2431,26,53,17490
2504,28,52,17416
2548,23,54,17375
2583,22,58,17337
2625,27,53,17295
2667,24,55,17254
2702,28,51,17219
2750,26,52,17172
2791,24,52,17133
2837,18,51,17094
2886,20,52,17042
2925,26,50,16999
2972,26,50,16952
3022,28,51,16899
3063,26,52,16859
3108,20,56,16816
3143,22,48,16787
3184,23,47,16746
3222,22,50,16706
3254,15,45,16686
3303,15,44,16638
3350,15,44,16591
3424,18,40,16518
3481,14,46,16459
3516,13,42,16429
3567,13,44,16376
3620,15,40,16325
3675,12,38,16275
3714,14,34,16238
3753,17,36,16194
3797,20,37,16146
3823,17,43,16117
3860,14,40,16086
3903,20,40,16037
3937,25,39,15999
3974,20,43,15963
4006,20,44,15930
4042,20,46,15892
4074,24,41,15861
4130,17,44,15809
4179,25,34,15762
4219,19,40,15722
4263,20,45,15672
4316,17,47,15620
4356,17,48,15579
4392,23,50,15535
4415,31,45,15509
4456,32,46,15466
4505,31,52,15412
4546,25,49,15380
4589,20,58,15333
4622,24,56,15298
4648,31,52,15269
4676,34,59,15231
4712,39,63,15186
4754,38,61,15147
4782,42,72,15104
4819,42,72,15067
4862,41,74,15023
4887,44,70,14999
4910,57,76,14957
4945,54,84,14917
4976,59,80,14885
4996,60,84,14860
5043,48,91,14818
5062,53,96,14789
5085,51,99,14765
5097,66,104,14733
5120,70,113,14697
5141,74,123,14662
5170,75,130,14625
5190,78,135,14597
5218,90,132,14560
5235,95,134,14536
5245,96,133,14526
5254,99,147,14500
5255,114,155,14476
5266,117,169,14448
5261,118,190,14431
5251,132,208,14409
5261,133,213,14393
5242,143,224,14391
5226,167,222,14385
5223,165,236,14376
5198,171,260,14371
5174,180,280,14366
5153,193,293,14361
5140,190,309,14361
5089,224,315,14372
5070,234,321,14375
5055,220,346,14379
5019,232,356,14393
4996,242,373,14389
4971,263,366,14400
4948,254,386,14412
4917,262,419,14402
4875,284,429,14412
4837,278,445,14440
4808,286,471,14435
4758,295,484,14463
4719,296,504,14481
4651,327,519,14503
4607,333,541,14519
4536,357,567,14540
4484,352,582,14582
4434,347,615,14604
4359,367,634,14640
4320,356,650,14674
4260,376,650,14714
4204,362,661,14773
4152,370,680,14798
4107,355,690,14848
4055,358,705,14882
3999,372,695,14934
3945,383,694,14978
3901,380,685,15034
3832,401,696,15071
3783,396,717,15104
3733,391,735,15141
3705,382,745,15168
3655,376,761,15208
3608,389,764,15239
3546,405,782,15267
3505,408,780,15307
3447,415,803,15335
3398,405,803,15394
3361,399,799,15441
3321,381,821,15477
3281,406,803,15510
3257,391,804,15548
3255,369,795,15581
3247,339,804,15610
3220,320,814,15646
3192,344,757,15707
3168,346,740,15746
3148,321,726,15805
3146,316,724,15814
3128,297,727,15848
3099,309,707,15885
3064,312,702,15922
3056,306,696,15942
3041,303,688,15968
3025,281,674,16020
3024,264,672,16040
3000,278,657,16065
2994,272,651,16083
2996,251,646,16107
3002,243,639,16116
2999,241,620,16140
3006,243,607,16144
3038,235,609,16118
3062,253,583,16102
3061,250,577,16112
3063,250,557,16130
3088,247,567,16098
3114,239,551,16096
3128,234,539,16099
3144,228,528,16100
3164,213,521,16102
3199,198,516,16087
3217,200,511,16072
3226,206,502,16066
3259,199,473,16069
3283,206,459,16052
3308,198,458,16036
3334,204,447,16015
3361,205,453,15981
3386,192,447,15975
