S,E,I,R
19963,17,19,1
19942,31,23,4
19931,33,28,8
19912,47,31,10
19883,65,38,14
19850,77,53,20
19805,104,64,27
19725,154,84,37
19651,197,109,43
19523,269,150,58
19401,329,190,80
19232,409,251,108
18972,562,319,147
18638,738,432,192
18215,945,590,250
17681,1199,786,334
16965,1593,1015,427
16127,1980,1331,562
15041,2501,1756,702
13829,3008,2245,918
12368,3599,2797,1236
10776,4116,3511,1597
9172,4569,4215,2044
7517,4982,4916,2585
6051,5047,5655,3247
4701,4953,6332,4014
3601,4635,6970,4794
2719,4249,7335,5697
2066,3703,7538,6693
1547,3196,7579,7678
1155,2702,7487,8656
873,2241,7260,9626
694,1804,6928,10574
554,1445,6518,11483
472,1134,6084,12310
409,896,5617,13078
382,712,5095,13811
361,571,4602,14466
363,447,4162,15028
351,391,3678,15580
365,328,3289,16018
371,278,2941,16410
393,237,2624,16746
408,206,2334,17052
420,184,2066,17330
450,160,1858,17532
474,154,1656,17716
502,134,1463,17901
543,127,1299,18031
586,125,1157,18132
623,116,1041,18220
677,103,924,18296
720,95,824,18361
771,88,735,18406
815,91,650,18444
857,82,571,18490
907,70,518,18505
951,72,460,18517
998,60,421,18521
1056,55,382,18507
1113,39,349,18499
1166,42,297,18495
1225,48,269,18458
1299,47,235,18419
1372,46,208,18374
1432,46,189,18333
1501,43,173,18283
1559,29,165,18247
1600,30,156,18214
1668,32,139,18161
1714,28,135,18123
1766,26,127,18081
1814,31,115,18040
1881,28,111,17980
1935,25,106,17934
1994,26,96,17884
2035,26,84,17855
2074,24,71,17831
2114,21,71,17794
2169,19,68,17744
2221,22,64,17693
2261,23,57,17659
2317,16,59,17608
2368,17,54,17561
2413,17,54,17516
2468,14,51,17467
2535,12,48,17405
2584,13,46,17357
2628,12,42,17318
2690,10,38,17262
2742,7,35,17216
2785,12,34,17169
2827,13,29,17131
2873,14,32,17081
2922,14,30,17034
2963,15,27,16995
3006,18,23,16953
3057,21,21,16901
3117,17,22,16844
3167,15,25,16793
3210,10,24,16756
3266,8,24,16702
3315,8,22,16655
3363,6,22,16609
3403,7,18,16572
3453,6,14,16527
3500,6,11,16483
3559,6,11,16424
3610,3,11,16376
3667,4,11,16318
3716,4,12,16268
3763,6,12,16219
3808,5,12,16175
