S,E,I,R
19970,10,16,4
19965,14,11,10
19955,18,14,13
19937,31,19,13
19914,44,28,14
19876,66,43,15
19838,89,53,20
19786,119,69,26
19721,155,90,34
19629,200,123,48
19521,253,159,67
19374,340,201,85
19180,446,267,107
18942,558,353,147
18550,778,479,193
18076,1039,642,243
17474,1332,852,342
16726,1687,1122,465
15785,2133,1461,621
14740,2560,1874,826
13463,3151,2301,1085
11997,3741,2845,1417
10505,4169,3510,1816
8874,4591,4267,2268
7354,4815,4987,2844
5855,4955,5715,3475
4518,4867,6420,4195
3399,4637,6947,5017
2596,4107,7371,5926
1911,3621,7644,6824
1439,3080,7720,7761
1071,2572,7581,8776
819,2151,7307,9723
656,1761,6889,10694
519,1465,6455,11561
436,1151,6020,12393
401,880,5583,13136
367,695,5166,13772
342,559,4682,14417
334,465,4201,15000
325,387,3788,15500
341,298,3368,15993
359,250,2999,16392
352,235,2660,16753
389,193,2385,17033
420,172,2118,17290
453,141,1875,17531
494,123,1662,17721
530,101,1480,17889
573,91,1306,18030
606,103,1153,18138
647,109,1020,18224
693,99,914,18294
742,89,814,18355
771,83,707,18439
817,77,644,18462
877,66,575,18482
917,77,521,18485
964,74,469,18493
1014,58,432,18496
1065,59,383,18493
1118,59,345,18478
1178,57,308,18457
1236,52,285,18427
1296,44,260,18400
1338,41,234,18387
1385,45,210,18360
1455,37,190,18318
1515,39,169,18277
1563,39,161,18237
1616,42,144,18198
1668,38,130,18164
1719,36,109,18136
1765,31,105,18099
1820,29,96,18055
1882,28,87,18003
1929,29,79,17963
1976,26,76,17922
2037,28,75,17860
2088,26,70,17816
2150,28,61,17761
2197,21,64,17718
2261,19,68,17652
2318,20,64,17598
2366,13,62,17559
2416,15,56,17513
2464,18,48,17470
2524,21,41,17414
2577,18,45,17360
2629,14,43,17314
2686,13,44,17257
2736,13,41,17210
2798,14,32,17156
2850,11,32,17107
2893,10,33,17064
2943,10,33,17014
2986,10,29,16975
3029,11,25,16935
3082,12,24,16882
3141,12,26,16821
3180,11,22,16787
3229,12,23,16736
3273,13,23,16691
3314,16,23,16647
3360,12,25,16603
3396,13,24,16567
3427,16,23,16534
3476,15,28,16481
3522,15,26,16437
3573,11,29,16387
3608,7,30,16355
3654,11,27,16308
3695,14,31,16260
3752,16,25,16207
3794,16,26,16164
3835,12,29,16124
3884,11,27,16078
3933,16,21,16030
3984,16,20,15980
4029,12,21,15938
4069,12,21,15898
4107,13,22,15858
4156,11,22,15811
4190,11,26,15773
4235,9,25,15731
4282,9,22,15687
4325,11,24,15640
4368,13,22,15597
4403,17,21,15559
4435,12,26,15527
4465,12,27,15496
4507,8,26,15459
4547,11,23,15419
4588,14,21,15377
4625,12,24,15339
4675,9,22,15294
4702,11,19,15268
4748,10,19,15223
4790,10,19,15181
4822,8,18,15152
4862,9,15,15114
4907,10,13,15070
4942,11,12,15035
4972,11,15,15002
5004,12,14,14970
5038,14,16,14932
5081,14,16,14889
5126,13,16,14845
5162,11,19,14808
5195,17,18,14770
5229,17,21,14733
5270,16,26,14688
5303,18,26,14653
5344,18,25,14613
5370,21,26,14583
5405,22,30,14543
5446,21,30,14503
5474,25,35,14466
5518,27,36,14419
5554,31,36,14379
5583,28,45,14344
5628,28,45,14299
5670,32,42,14256
5706,37,46,14211
5735,39,54,14172
5756,43,56,14145
5772,46,60,14122
5808,48,61,14083
5825,52,71,14052
5856,52,77,14015
5896,51,76,13977
5914,55,75,13956
5942,52,79,13927
5964,60,84,13892
5979,65,102,13854
6000,79,111,13810
6009,87,122,13782
6024,89,131,13756
6032,88,142,13738
6038,96,143,13723
6043,99,152,13706
6033,101,169,13697
6039,105,180,13676
6039,116,184,13661
6031,138,194,13637
6023,146,201,13630
6023,152,198,13627
6013,180,207,13600
6004,182,226,13588
5986,194,242,13578
5969,194,271,13566
5949,202,294,13555
5926,209,303,13562
5895,202,327,13576
5858,223,346,13573
5812,253,357,13578
5748,267,395,13590
5675,287,423,13615
5627,315,444,13614
5568,324,469,13639
5514,335,488,13663
5455,340,531,13674
5384,373,545,13698
5309,398,574,13719
5219,424,597,13760
5132,425,641,13802
5042,431,710,13817
4941,464,733,13862
4843,477,760,13920
4738,500,793,13969
4642,515,815,14028
4512,534,845,14109
4416,531,888,14165
4296,547,916,14241
4210,548,933,14309
4108,538,967,14387
4018,532,968,14482
3928,519,990,14563
3834,534,984,14648
3759,521,997,14723
3662,509,1010,14819
3615,473,1018,14894
3546,484,1012,14958
3444,520,1007,15029
3368,498,1046,15088
3269,516,1065,15150
3194,514,1063,15229
3115,516,1053,15316
3052,500,1071,15377
2984,490,1061,15465
2946,475,1035,15544
2877,458,1048,15617
2833,443,1024,15700
2798,433,1007,15762
2773,399,1031,15797
2733,408,1007,15852
2695,380,999,15926
2661,365,986,15988
2652,365,962,16021
2628,357,924,16091
2622,350,883,16145
2617,324,874,16185
2596,311,861,16232
2595,312,824,16269
2611,308,816,16265
2605,292,806,16297
2607,282,775,16336
2612,280,763,16345
2617,284,746,16353
2633,273,722,16372
2653,255,699,16393
2636,266,664,16434
2665,249,632,16454
2692,243,601,16464
2719,244,586,16451
2741,239,571,16449
2765,221,563,16451
2794,220,538,16448
2810,233,513,16444
2823,220,504,16453
2850,218,485,16447
2890,201,480,16429
2926,188,464,16422
2956,189,453,16402
2984,181,463,16372
3028,177,463,16332
3052,167,453,16328
3077,177,440,16306
3114,182,417,16287
3145,171,432,16252
3167,180,426,16227
3223,164,424,16189
3262,173,412,16153
3284,183,412,16121
3318,189,405,16088
3378,165,402,16055
3437,169,384,16010
3470,189,386,15955
3512,185,376,15927
3557,176,378,15889
3579,181,379,15861
3595,181,386,15838
3622,188,384,15806
3646,199,381,15774
3698,190,380,15732
3725,189,384,15702
3750,176,408,15666
3803,181,397,15619
3832,184,389,15595
3847,205,383,15565
3872,207,377,15544
3888,213,394,15505
3895,229,371,15505
3922,219,375,15484
3950,221,362,15467
3960,229,360,15451
3995,211,387,15407
4001,223,408,15368
4036,223,421,15320
4033,240,435,15292
4037,227,456,15280
4036,254,443,15267
4047,255,460,15238
4060,249,472,15219
4065,253,482,15200
4052,276,485,15187
4060,270,502,15168
4078,263,498,15161
4085,275,484,15156
4095,268,501,15136
4087,263,508,15142
4119,267,499,15115
4136,257,516,15091
4108,297,521,15074
4096,313,539,15052
4091,317,554,15038
4067,322,566,15045
4053,330,592,15025
4039,313,632,15016
4042,308,648,15002
4020,334,647,14999
4001,340,672,14987
3987,343,671,14999
3975,349,679,14997
3953,361,684,15002
3928,386,693,14993
3944,365,695,14996
3941,371,693,14995
3920,370,703,15007
3912,358,728,15002
3905,366,714,15015
3920,362,727,14991
3897,358,722,15023
3884,344,737,15035
3887,350,726,15037
3879,358,720,15043
3849,362,745,15044
3845,376,741,15038
3803,386,751,15060
3763,393,769,15075
3739,395,775,15091
3750,374,785,15091
3731,353,781,15135
3714,347,775,15164
3680,386,763,15171
3659,371,784,15186
3632,382,796,15190
3635,385,790,15190
3623,373,808,15196
3593,371,801,15235
3559,397,791,15253
3539,403,772,15286
3544,398,775,15283
3547,369,790,15294
3521,386,785,15308
3520,384,778,15318
3502,368,811,15319
3476,363,804,15357
3442,387,782,15389
3424,372,808,15396
3410,369,823,15398
3403,392,805,15400
3394,386,803,15417
3403,367,801,15429
3400,369,802,15429
3410,362,802,15426
3425,341,794,15440
3409,360,789,15442
3413,363,780,15444
3400,367,764,15469
3419,353,754,15474
3423,349,754,15474
3437,363,724,15476
3433,355,748,15464
3444,338,742,15476
3464,339,741,15456
3457,350,737,15456
3459,357,741,15443
3469,345,758,15428
3447,352,758,15443
3440,353,752,15455
3436,351,736,15477
3424,355,747,15474
3437,336,761,15466
3442,352,752,15454
3452,372,731,15445
3445,384,717,15454
3448,363,725,15464
3446,371,744,15439
3422,390,750,15438
3412,382,765,15441
3397,369,745,15489
3385,355,736,15524
3398,343,747,15512
3388,344,769,15499
3366,354,766,15514
3343,357,784,15516
3338,356,767,15539
3312,371,750,15567
3300,367,755,15578
3303,349,780,15568
3282,365,786,15567
3281,380,774,15565
3290,383,749,15578
3290,358,782,15570
3295,371,766,15568
3275,373,776,15576
3263,380,785,15572
3257,377,778,15588
3233,378,777,15612
3257,360,792,15591
3228,379,798,15595
3242,360,784,15614
3228,375,757,15640
3221,369,734,15676
3227,375,723,15675
3253,340,740,15667
3231,354,717,15698
3220,363,714,15703
3228,358,729,15685
3224,368,708,15700
3241,366,693,15700
3251,355,709,15685
3285,340,694,15681
3299,334,698,15669
3305,347,675,15673
3323,337,675,15665
3339,304,692,15665
3340,331,683,15646
3344,332,688,15636
3336,338,705,15621
3318,330,725,15627
3307,338,734,15621
3318,345,722,15615
3307,341,723,15629
3294,361,716,15629
3318,338,710,15634
3336,336,717,15611
3327,340,711,15622
3329,328,725,15618
3318,341,731,15610
3319,352,718,15611
3336,344,720,15600
3344,335,712,15609
3353,338,703,15606
3325,343,712,15620
3318,340,704,15638
3299,348,701,15652
3305,330,703,15662
3306,346,687,15661
3308,345,692,15655
3322,340,680,15658
3319,338,689,15654
3343,329,691,15637
3348,323,679,15650
3361,320,687,15632
3366,321,672,15641
3367,334,683,15616
3343,349,685,15623
3359,329,702,15610
3369,345,690,15596
3374,338,698,15590
3349,339,709,15603
3358,340,697,15605
3379,327,674,15620
3379,318,695,15608
3382,325,677,15616
3409,323,660,15608
3424,331,647,15598
3422,318,676,15584
3424,317,672,15587
3428,318,671,15583
3456,277,683,15584
3464,314,648,15574
3492,306,658,15544
3509,306,652,15533
3518,303,664,15515
3534,300,655,15511
3557,300,650,15493
3537,322,637,15504
3532,321,633,15514
3528,329,641,15502
3531,338,608,15523
3527,349,616,15508
3545,338,648,15469
3541,343,648,15468
3550,349,653,15448
3553,342,676,15429
3542,335,689,15434
3508,353,710,15429
3501,343,713,15443
3499,342,733,15426
3501,342,744,15413
3471,358,739,15432
3453,359,742,15446
3440,354,756,15450
3455,343,744,15458
3445,343,749,15463
3420,349,733,15498
3449,338,748,15465
3472,322,712,15494
3476,314,694,15516
3496,321,670,15513
3486,306,663,15545
3491,335,651,15523
3489,326,649,15536
3490,346,647,15517
3487,338,652,15523
3498,340,660,15502
3501,312,678,15509
3519,308,669,15504
3532,329,649,15490
3533,316,639,15512
3544,315,649,15492
3565,311,654,15470
3581,316,643,15460
3585,297,661,15457
3589,283,666,15462
3577,315,639,15469
3596,308,633,15463
