S,E,I,R
19967,13,19,1
19947,30,22,1
19921,46,28,5
19899,55,36,10
19867,71,46,16
19807,106,65,22
19741,142,82,35
19652,193,110,45
19538,253,148,61
19364,346,207,83
19138,486,268,108
18852,650,359,139
18478,855,482,185
18003,1084,667,246
17430,1332,875,363
16654,1743,1121,482
15729,2186,1460,625
14594,2742,1879,785
13272,3281,2420,1027
11786,3850,2997,1367
10221,4348,3652,1779
8619,4723,4371,2287
7074,4988,5090,2848
5636,5027,5838,3499
4372,4881,6500,4247
3392,4508,6977,5123
2521,4123,7331,6025
1878,3633,7485,7004
1427,3108,7444,8021
1076,2555,7385,8984
824,2148,7117,9911
650,1736,6839,10775
514,1403,6468,11615
433,1123,5997,12447
386,911,5480,13223
359,737,5006,13898
367,579,4544,14510
359,458,4096,15087
367,366,3651,15616
375,304,3292,16029
388,235,2958,16419
407,192,2620,16781
405,187,2308,17100
430,163,2058,17349
458,148,1823,17571
490,123,1659,17728
525,113,1445,17917
558,99,1279,18064
606,88,1122,18184
652,82,989,18277
701,73,864,18362
743,88,773,18396
780,86,693,18441
818,90,623,18469
860,88,570,18482
889,80,509,18522
945,70,454,18531
994,64,405,18537
1046,61,362,18531
1105,52,331,18512
1150,46,295,18509
1205,46,267,18482
1256,38,251,18455
1317,34,223,18426
1365,30,196,18409
1419,36,179,18366
1474,33,167,18326
1534,32,158,18276
1595,34,143,18228
1658,31,134,18177
1710,31,119,18140
1769,23,111,18097
1814,24,101,18061
1862,26,97,18015
1926,20,93,17961
1967,22,86,17925
2017,25,78,17880
2076,23,74,17827
2127,27,64,17782
2174,25,55,17746
2232,22,50,17696
2286,22,45,17647
2338,19,44,17599
2406,15,44,17535
2461,17,38,17484
2513,15,37,17435
2569,16,32,17383
2624,17,28,17331
2667,13,28,17292
2722,8,29,17241
2770,6,29,17195
2832,10,29,17129
2874,11,26,17089
2929,10,27,17034
2974,11,26,16989
3029,12,25,16934
3075,7,28,16890
3124,7,26,16843
3177,6,29,16788
3227,6,27,16740
3271,9,25,16695
3318,16,24,16642
3362,15,26,16597
3417,15,27,16541
3458,14,25,16503
3497,12,26,16465
3541,14,25,16420
3582,15,26,16377
3634,13,21,16332
3693,14,17,16276
3725,14,20,16241
3766,12,19,16203
3802,12,21,16165
3845,12,21,16122
3885,13,23,16079
3922,15,19,16044
3965,17,17,16001
4018,14,19,15949
4065,12,23,15900
4108,10,22,15860
4158,10,25,15807
4201,11,24,15764
4256,11,21,15712
4293,11,19,15677
4330,10,21,15639
4364,11,19,15606
4398,14,19,15569
4443,12,19,15526
4481,15,17,15487
4516,15,20,15449
4568,13,20,15399
4606,14,20,15360
4646,16,21,15317
4696,13,21,15270
4729,13,18,15240
4763,11,19,15207
4803,14,18,15165
4838,13,22,15127
4880,15,22,15083
4919,19,21,15041
4953,17,25,15005
4986,18,28,14968
5022,20,27,14931
5056,21,33,14890
5093,19,35,14853
5122,23,34,14821
5158,25,31,14786
5195,21,32,14752
5231,22,30,14717
5269,23,32,14676
5302,20,37,14641
5337,18,38,14607
5377,14,39,14570
5411,19,36,14534
5443,24,34,14499
5471,29,37,14463
5508,28,39,14425
5542,29,43,14386
5577,28,43,14352
5600,37,44,14319
5628,36,51,14285
5661,35,57,14247
5696,41,57,14206
5728,43,59,14170
5751,43,65,14141
5775,49,70,14106
5791,48,75,14086
5801,50,84,14065
5829,54,85,14032
5865,56,87,13992
5885,71,90,13954
5900,72,97,13931
5914,75,100,13911
5918,74,117,13891
5935,79,118,13868
5930,87,121,13862
5947,83,139,13831
5953,92,150,13805
5963,109,157,13771
5964,116,165,13755
5961,133,175,13731
5965,141,187,13707
5961,159,194,13686
5960,163,209,13668
5942,176,226,13656
5931,183,236,13650
5898,189,269,13644
5869,200,294,13637
5855,214,298,13633
5831,238,303,13628
5795,234,342,13629
5756,245,359,13640
5702,260,391,13647
5648,281,413,13658
5580,292,456,13672
5514,314,474,13698
5447,337,509,13707
5384,351,546,13719
5311,376,569,13744
5246,370,613,13771
5169,396,626,13809
5086,408,654,13852
4982,435,680,13903
4891,440,723,13946
4783,481,739,13997
4671,501,789,14039
4591,492,829,14088
4480,501,869,14150
4358,509,881,14252
4235,548,900,14317
4113,557,920,14410
4004,565,943,14488
3914,540,977,14569
3791,556,1013,14640
3693,546,1028,14733
3579,545,1054,14822
3508,541,1065,14886
3429,527,1085,14959
3368,496,1078,15058
3281,507,1079,15133
3213,485,1085,15217
3131,496,1043,15330
3068,474,1050,15408
3000,483,1036,15481
2939,458,1032,15571
2889,434,1033,15644
2843,421,1002,15734
2803,403,996,15798
2759,393,992,15856
2736,377,978,15909
2691,372,942,15995
2672,352,911,16065
2646,343,908,16103
2623,322,877,16178
2597,312,863,16228
2605,303,815,16277
2639,282,778,16301
2640,283,736,16341
2652,278,737,16333
2633,281,718,16368
2620,276,708,16396
2640,256,675,16429
2669,242,675,16414
2691,229,660,16420
2709,223,650,16418
2710,233,621,16436
2698,241,616,16445
2722,231,593,16454
2739,233,574,16454
2743,237,577,16443
2768,249,557,16426
2785,228,545,16442
2790,205,543,16462
2794,222,544,16440
2825,208,527,16440
2843,199,521,16437
2868,204,502,16426
2899,206,488,16407
2929,201,479,16391
2958,208,474,16360
2998,200,463,16339
3027,212,449,16312
3059,210,438,16293
3097,203,430,16270
3134,204,416,16246
3172,197,409,16222
3200,201,411,16188
3239,188,403,16170
3293,173,396,16138
3328,172,394,16106
3365,178,381,16076
3401,182,382,16035
3434,175,378,16013
3481,187,368,15964
3524,194,368,15914
3563,187,368,15882
3598,196,370,15836
3631,194,372,15803
3650,192,391,15767
3680,193,387,15740
3713,183,385,15719
3730,195,389,15686
3752,197,401,15650
3771,205,403,15621
3797,209,399,15595
3830,214,394,15562
3856,225,385,15534
3869,226,387,15518
3900,227,411,15462
3922,221,431,15426
3935,239,429,15397
3987,242,438,15333
4004,254,432,15310
4016,265,431,15288
4032,263,444,15261
4037,271,444,15248
4061,270,461,15208
4033,286,474,15207
4053,286,493,15168
4057,293,488,15162
4046,299,511,15144
4052,289,528,15131
4045,300,542,15113
4044,302,552,15102
4028,295,591,15086
4038,287,587,15088
4006,298,578,15118
4009,303,578,15110
4026,316,575,15083
4029,307,583,15081
4000,306,608,15086
3991,299,614,15096
3995,315,612,15078
3957,330,619,15094
3954,338,629,15079
3936,345,647,15072
3911,344,671,15074
3911,326,702,15061
3922,338,699,15041
3905,361,697,15037
3897,362,707,15034
3888,378,701,15033
3871,376,729,15024
3855,392,714,15039
3830,402,705,15063
3818,387,724,15071
3817,382,726,15075
3812,383,722,15083
3787,391,742,15080
3738,416,747,15099
3735,396,771,15098
3716,397,784,15103
3687,408,789,15116
3687,393,806,15114
3680,388,808,15124
3658,405,792,15145
3655,401,809,15135
3625,411,787,15177
3602,406,779,15213
3578,398,809,15215
3584,395,801,15220
3564,394,797,15245
3562,382,813,15243
3553,362,815,15270
3519,376,819,15286
3515,371,817,15297
3511,374,789,15326
3502,379,789,15330
3499,397,774,15330
3516,395,762,15327
3507,403,751,15339
3498,415,764,15323
3491,420,769,15320
3487,389,771,15353
3444,401,788,15367
3398,411,809,15382
3382,404,806,15408
3376,385,830,15409
3343,401,817,15439
3336,389,826,15449
3340,392,799,15469
3354,390,762,15494
3362,368,776,15494
3377,348,772,15503
3391,333,768,15508
3410,332,756,15502
3427,338,765,15470
3417,352,758,15473
3444,345,753,15458
3426,372,755,15447
3442,337,767,15454
3433,343,756,15468
3460,331,754,15455
3476,329,765,15430
3477,330,748,15445
3468,321,748,15463
3456,335,740,15469
3475,314,739,15472
3480,300,735,15485
3491,296,751,15462
3493,300,724,15483
3476,327,703,15494
3487,330,673,15510
3484,337,660,15519
3501,327,660,15512
3506,326,676,15492
3529,325,671,15475
3520,323,690,15467
3542,330,674,15454
3520,349,673,15458
3510,357,657,15476
3501,354,677,15468
3537,330,671,15462
3533,345,658,15464
3509,371,660,15460
3524,354,675,15447
3522,338,687,15453
3522,339,681,15458
3530,351,682,15437
3520,356,688,15436
3525,347,720,15408
3528,344,713,15415
3522,349,697,15432
3522,336,713,15429
3536,325,716,15423
3523,330,723,15424
3526,332,718,15424
3532,347,698,15423
3525,359,699,15417
3513,357,705,15425
3494,359,705,15442
3499,360,700,15441
3486,355,702,15457
3491,357,681,15471
3473,363,685,15479
3482,355,704,15459
3494,351,708,15447
3507,358,690,15445
3513,350,660,15477
3510,350,673,15467
3531,329,687,15453
3551,335,656,15458
3578,316,644,15462
3597,299,657,15447
3602,297,653,15448
3611,292,647,15450
3617,299,637,15447
3624,304,643,15429
3589,331,656,15424
3567,326,664,15443
3573,338,658,15431
3558,370,641,15431
3585,331,657,15427
3581,336,647,15436
3584,342,649,15425
3554,349,654,15443
3548,326,664,15462
3573,297,656,15474
3567,299,653,15481
3594,290,649,15467
3611,294,625,15470
3602,309,618,15471
3600,319,624,15457
3617,307,611,15465
3611,320,608,15461
3643,306,622,15429
3658,319,617,15406
3654,318,641,15387
3646,334,630,15390
3648,320,640,15392
3639,340,637,15384
3643,343,633,15381
3657,317,642,15384
3641,321,660,15378
3681,301,652,15366
3674,287,649,15390
3661,301,648,15390
3659,304,629,15408
3680,298,633,15389
3693,323,625,15359
3683,316,641,15360
3684,329,611,15376
3685,321,618,15376
3680,324,636,15360
3697,305,651,15347
3704,314,655,15327
3726,289,668,15317
3717,301,668,15314
3736,319,673,15272
3724,323,672,15281
3712,329,667,15292
3680,336,653,15331
3680,323,678,15319
3683,342,645,15330
3680,333,666,15321
3674,346,659,15321
3675,346,665,15314
3705,320,660,15315
3715,329,653,15303
3701,342,658,15299
3708,335,665,15292
3717,324,675,15284
3684,335,702,15279
3676,354,721,15249
3672,372,717,15239
3643,363,733,15261
3610,379,739,15272
3613,360,756,15271
3608,365,740,15287
3605,354,750,15291
3591,356,748,15305
3561,371,759,15309
3560,395,736,15309
3569,380,757,15294
3568,384,764,15284
3552,354,785,15309
3539,363,760,15338
3531,360,758,15351
3535,359,761,15345
3506,364,744,15386
3510,342,746,15402
3494,351,740,15415
3464,366,750,15420
3474,353,750,15423
3479,352,731,15438
3469,369,733,15429
3439,390,720,15451
3448,359,721,15472
3453,358,704,15485
3455,357,690,15498
3448,355,708,15489
3435,359,686,15520
3448,338,686,15528
3459,339,679,15523
3470,351,683,15496
3466,323,725,15486
3466,343,712,15479
3483,331,700,15486
3479,333,698,15490
3484,311,718,15487
3463,325,717,15495
3425,338,698,15539
3428,341,712,15519
3429,327,698,15546
3434,337,672,15557
3447,330,682,15541
3448,326,669,15557
3450,321,679,15550
3427,334,685,15554
3426,344,691,15539
3440,325,697,15538
3458,314,684,15544
3463,310,681,15546
3467,314,674,15545
3473,320,675,15532
3473,324,666,15537
3506,326,654,15514
3512,327,649,15512
3485,345,663,15507
3481,351,672,15496
3485,362,662,15491
3460,362,675,15503
3488,352,685,15475
3500,331,696,15473
3493,333,691,15483
3487,338,691,15484
3482,333,696,15489
3496,320,715,15469
3499,319,732,15450
3476,324,747,15453
3465,344,742,15449
3476,335,727,15462
3471,330,720,15479
3486,314,736,15464
3496,323,733,15448
3504,316,745,15435
3485,340,724,15451
3484,361,701,15454
3473,360,712,15455
3473,351,717,15459
3476,355,718,15451
3454,367,739,15440
3471,358,718,15453
3455,364,727,15454
3476,362,713,15449
3482,346,732,15440
3472,362,735,15431
3480,363,722,15435
3473,364,735,15428
3476,353,725,15446
3463,370,726,15441
3464,369,730,15437
3488,358,728,15426
3453,362,754,15431
3442,361,762,15435
3448,341,756,15455
3462,338,743,15457
3475,342,747,15436
3487,350,733,15430
3489,356,733,15422
3490,352,725,15433
3483,365,717,15435
3480,372,716,15432
3482,347,732,15439
3489,345,732,15434
3496,360,738,15406
3467,347,745,15441
3457,353,757,15433
3468,344,739,15449
3474,352,735,15439
3465,369,709,15457
3460,388,709,15443
3470,383,725,15422
3452,389,738,15421
3461,380,763,15396
3497,358,745,15400
3496,348,750,15406
3498,342,743,15417
3475,366,734,15425
3482,353,738,15427
3484,346,758,15412
3469,356,738,15437
3471,361,714,15454
3455,363,732,15450
3471,365,712,15452
3485,346,727,15442
3484,359,729,15428
3508,352,735,15405
3497,347,758,15398
3491,362,746,15401
3491,349,749,15411
3469,347,751,15433
3470,351,751,15428
3466,352,736,15446
3487,345,721,15447
3482,369,710,15439
3486,364,731,15419
3478,370,706,15446
3499,358,712,15431
3497,378,719,15406
3510,356,739,15395
3520,349,709,15422
3515,354,694,15437
3527,351,684,15438
3539,341,686,15434
3551,347,685,15417
3581,333,686,15400
3596,322,668,15414
3581,333,665,15421
3583,347,655,15415
3602,345,650,15403
3610,333,680,15377
3632,300,701,15367
3629,295,720,15356
3623,317,722,15338
3621,299,731,15349
3637,327,707,15329
3652,312,700,15336
3643,344,697,15316
3652,358,691,15299
3671,342,694,15293
3674,344,672,15310
3672,337,665,15326
3665,343,659,15333
3674,323,680,15323
3663,347,656,15334
3670,348,654,15328
3656,355,667,15322
3694,339,674,15293
3695,352,681,15272
3698,335,685,15282
3722,323,675,15280
3718,324,663,15295
3728,314,678,15280
3734,322,673,15271
3727,337,699,15237
3720,357,706,15217
3726,374,710,15190
3695,378,719,15208
3681,379,700,15240
3668,370,730,15232
3658,350,738,15254
3647,382,714,15257
3629,382,736,15253
3632,372,748,15248
3625,365,739,15271
3611,357,751,15281
3601,343,759,15297
3580,343,767,15310
3548,356,757,15339
3531,366,751,15352
3514,374,766,15346
3534,354,776,15336
3512,361,782,15345
3495,365,797,15343
3493,372,811,15324
3497,384,786,15333
3486,390,775,15349
3474,382,783,15361
3479,363,782,15376
3480,379,753,15388
3465,377,755,15403
3448,386,766,15400
3428,381,783,15408
3434,364,774,15428
3431,367,755,15447
3433,333,755,15479
3445,330,756,15469
3444,330,738,15488
3453,334,733,15480
3451,362,714,15473
3440,369,709,15482
3450,361,712,15477
3440,367,729,15464
3430,360,737,15473
3436,356,724,15484
3459,344,722,15475
3485,334,730,15451
3480,347,708,15465
3486,366,677,15471
3482,361,689,15468
3491,353,707,15449
3490,333,707,15470
3506,334,712,15448
3503,354,699,15444
3490,356,681,15473
3498,369,682,15451
3500,355,690,15455
3502,349,699,15450
3508,347,708,15437
3507,357,693,15443
3519,355,701,15425
3481,355,723,15441
3483,346,742,15429
3498,349,724,15429
3515,348,724,15413
3521,348,725,15406
3528,329,731,15412
3515,338,733,15414
3516,341,695,15448
3501,347,696,15456
3499,363,703,15435
3518,339,695,15448
3503,356,693,15448
3516,366,686,15432
3490,370,688,15452
3513,371,698,15418
3525,368,711,15396
3528,361,708,15403
3543,344,706,15407
