S,E,I,R
19971,9,16,4
19952,27,16,5
19930,38,27,5
19901,55,38,6
19851,90,50,9
19793,120,68,19
19715,166,84,35
19617,216,121,46
19483,279,184,54
19308,382,228,82
19067,507,316,110
18804,632,407,157
18391,853,541,215
17902,1115,700,283
17249,1451,915,385
16396,1867,1236,501
15444,2313,1569,674
14282,2848,1982,888
12862,3447,2556,1135
11398,3965,3147,1490
9838,4443,3810,1909
8243,4771,4551,2435
6726,4935,5304,3035
5324,4943,5949,3784
4123,4806,6528,4543
3155,4417,7033,5395
2338,3928,7398,6336
1786,3402,7502,7310
1339,2898,7486,8277
1042,2411,7275,9272
803,1977,7007,10213
657,1556,6682,11105
538,1270,6243,11949
455,1022,5758,12765
398,828,5279,13495
364,664,4828,14144
361,524,4373,14742
347,445,3937,15271
361,349,3545,15745
372,286,3188,16154
386,237,2837,16540
393,205,2521,16881
409,180,2234,17177
432,162,2023,17383
470,143,1788,17599
501,121,1614,17764
544,106,1427,17923
586,100,1259,18055
623,97,1090,18190
650,86,969,18295
712,87,856,18345
739,84,767,18410
782,80,695,18443
826,81,623,18470
858,79,555,18508
921,73,499,18507
978,68,447,18507
1023,60,417,18500
1071,60,372,18497
1134,51,346,18469
1181,54,294,18471
1234,58,257,18451
1283,52,234,18431
1334,48,215,18403
1392,39,197,18372
1441,37,179,18343
1490,40,150,18320
1555,43,132,18270
1588,36,116,18260
1648,31,108,18213
1709,27,101,18163
1759,22,95,18124
1816,20,91,18073
1862,17,87,18034
1923,18,83,17976
1983,12,80,17925
2041,20,69,17870
2091,16,65,17828
2143,19,55,17783
2205,19,53,17723
2266,13,53,17668
2329,14,49,17608
2384,14,45,17557
2439,13,39,17509
2492,12,36,17460
2552,9,35,17404
2617,8,37,17338
2674,12,34,17280
2719,14,33,17234
2760,13,33,17194
2810,12,34,17144
2859,11,28,17102
2917,10,25,17048
2966,10,28,16996
3012,8,30,16950
3064,6,29,16901
3120,5,27,16848
3162,9,28,16801
3219,9,25,16747
3279,12,22,16687
3314,12,27,16647
3358,10,25,16607
3390,11,26,16573
3433,16,20,16531
3481,13,26,16480
3521,15,28,16436
3560,13,32,16395
3598,9,33,16360
3655,13,29,16303
3707,12,29,16252
3767,12,30,16191
3811,7,33,16149
3846,11,27,16116
3894,9,26,16071
3946,10,24,16020
3980,10,24,15986
4041,11,25,15923
4083,11,24,15882
4110,11,23,15856
4146,12,24,15818
4199,12,20,15769
4241,9,19,15731
4279,10,20,15691
4333,10,16,15641
4372,8,19,15601
4414,13,18,15555
4469,12,21,15498
4516,11,19,15454
4552,11,17,15420
4599,10,16,15375
4636,10,14,15340
4681,9,14,15296
4725,11,12,15252
4763,8,14,15215
4810,8,13,15169
4847,10,14,15129
4888,6,21,15085
4936,9,18,15037
4973,13,17,14997
5010,13,19,14958
5045,12,17,14926
5103,17,15,14865
5152,13,20,14815
5186,18,21,14775
5224,18,25,14733
5260,24,26,14690
5289,27,26,14658
5332,23,31,14614
5372,29,32,14567
5398,29,35,14538
5423,32,39,14506
5449,35,43,14473
5473,35,45,14447
5500,40,48,14412
5529,38,58,14375
5552,42,65,14341
5576,49,73,14302
5594,52,70,14284
5621,54,69,14256
5640,58,73,14229
5655,58,75,14212
5674,64,81,14181
5698,68,85,14149
5718,69,97,14116
5742,71,105,14082
5758,83,114,14045
5767,87,133,14013
5778,94,138,13990
5797,92,157,13954
5818,93,165,13924
5822,104,171,13903
5812,117,178,13893
5812,127,183,13878
5793,156,180,13871
5804,150,198,13848
5796,168,211,13825
5771,180,224,13825
5781,177,232,13810
5785,189,251,13775
5774,197,267,13762
5754,220,275,13751
5735,236,283,13746
5702,243,315,13740
5677,238,329,13756
5642,251,345,13762
5591,277,363,13769
5563,280,397,13760
5516,303,411,13770
5461,326,435,13778
5409,321,475,13795
5350,329,509,13812
5288,341,533,13838
5247,328,569,13856
5162,372,589,13877
5085,384,615,13916
5023,391,636,13950
4938,414,653,13995
4839,442,683,14036
4761,442,724,14073
4684,456,741,14119
4602,459,770,14169
4512,480,798,14210
4415,499,832,14254
4317,494,884,14305
4228,497,918,14357
4116,517,939,14428
4025,510,959,14506
3942,502,973,14583
3845,503,979,14673
3737,531,973,14759
3632,553,972,14843
3561,533,988,14918
3476,520,1008,14996
3405,506,1008,15081
3323,493,1012,15172
3249,454,1008,15289
3168,470,993,15369
3099,444,1009,15448
3037,440,1003,15520
2987,432,985,15596
2939,434,972,15655
2906,401,978,15715
2870,403,951,15776
2828,376,947,15849
2804,356,922,15918
2782,361,900,15957
2758,380,851,16011
2750,382,809,16059
2729,366,791,16114
2723,336,788,16153
2713,309,786,16192
2730,277,789,16204
2711,283,765,16241
2726,283,727,16264
2747,270,707,16276
2755,270,685,16290
2766,278,647,16309
2772,275,642,16311
