S,E,I,R
19968,12,17,3
19950,25,19,6
19933,36,24,7
19905,51,35,9
19873,68,42,17
19821,100,58,21
19766,127,75,32
19677,179,103,41
19573,235,139,53
19441,306,171,82
19252,408,241,99
19016,531,325,128
18719,679,413,189
18335,873,541,251
17850,1126,703,321
17207,1468,909,416
16408,1868,1184,540
15393,2364,1569,674
14180,2896,2041,883
12831,3429,2565,1175
11344,3969,3179,1508
9699,4477,3904,1920
8062,4880,4601,2457
6501,5031,5388,3080
5116,5031,6080,3773
3948,4762,6702,4588
2996,4353,7213,5438
2243,3873,7445,6439
1691,3363,7545,7401
1288,2800,7488,8424
971,2341,7305,9383
756,1921,6978,10345
604,1542,6604,11250
495,1238,6194,12073
425,975,5719,12881
363,803,5233,13601
352,632,4726,14290
347,511,4277,14865
345,426,3838,15391
352,337,3451,15860
362,281,3060,16297
360,248,2734,16658
377,209,2458,16956
402,175,2160,17263
442,158,1911,17489
479,142,1695,17684
526,131,1496,17847
569,124,1324,17983
606,108,1174,18112
645,110,1044,18201
706,80,931,18283
739,92,827,18342
780,106,741,18373
812,80,686,18422
875,77,622,18426
920,86,538,18456
969,75,485,18471
1028,63,441,18468
1082,53,399,18466
1145,58,355,18442
1180,62,323,18435
1244,55,278,18423
1284,50,258,18408
1332,41,242,18385
1393,39,220,18348
1446,43,196,18315
1485,42,181,18292
1543,43,165,18249
1590,36,149,18225
1660,35,140,18165
1714,37,131,18118
1761,39,117,18083
1830,33,112,18025
1880,28,100,17992
1948,21,98,17933
1994,24,87,17895
2042,25,84,17849
2089,25,76,17810
2143,25,76,17756
2196,25,75,17704
2250,20,73,17657
2307,18,68,17607
2354,26,62,17558
2405,21,61,17513
2454,18,56,17472
2508,19,52,17421
2563,16,52,17369
2611,16,49,17324
2653,20,44,17283
2700,24,40,17236
2750,25,39,17186
2797,27,39,17137
2847,27,41,17085
2899,19,42,17040
2950,18,42,16990
3000,19,38,16943
3047,18,36,16899
3092,14,40,16854
3137,15,37,16811
3182,21,38,16759
3224,19,43,16714
3275,23,39,16663
3308,24,42,16626
3342,26,45,16587
3397,19,48,16536
3431,23,44,16502
3472,23,44,16461
3516,21,46,16417
3565,19,52,16364
3603,15,51,16331
3644,21,46,16289
3690,25,42,16243
3736,24,44,16196
3785,23,46,16146
3834,19,47,16100
3859,23,43,16075
3901,30,46,16023
3935,29,48,15988
3987,32,49,15932
4032,31,51,15886
4068,29,56,15847
4124,27,55,15794
4169,28,57,15746
4212,26,56,15706
4258,29,56,15657
4289,31,58,15622
4339,36,55,15570
4382,31,52,15535
4409,33,60,15498
4447,34,65,15454
4479,37,66,15418
4505,35,73,15387
4541,34,75,15350
4568,43,71,15318
4593,39,76,15292
4614,40,84,15262
4640,46,82,15232
4664,45,83,15208
4696,41,90,15173
4737,44,95,15124
4771,49,97,15083
4786,59,107,15048
4802,62,113,15023
4817,62,111,15010
4846,60,115,14979
4865,71,117,14947
4884,65,128,14923
4901,75,138,14886
4916,83,130,14871
4939,87,135,14839
4951,89,146,14814
4968,88,156,14788
4983,98,152,14767
5009,92,157,14742
5039,97,161,14703
5034,105,174,14687
5033,115,183,14669
5048,112,195,14645
5044,126,200,14630
5057,132,207,14604
5059,131,212,14598
5057,139,219,14585
5061,145,226,14568
5055,152,244,14549
5055,156,251,14538
5043,165,261,14531
5020,174,274,14532
4999,184,293,14524
4971,196,318,14515
4958,202,324,14516
4955,190,337,14518
4949,203,344,14504
4919,215,358,14508
4884,221,376,14519
4852,222,390,14536
4840,235,396,14529
4825,230,403,14542
4814,241,417,14528
4802,254,431,14513
4776,253,458,14513
4742,268,459,14531
4694,281,466,14559
4643,292,486,14579
4595,302,501,14602
4559,308,519,14614
4501,325,550,14624
4455,333,568,14644
4413,344,582,14661
4371,329,586,14714
4301,362,576,14761
4255,361,592,14792
4190,379,595,14836
4145,379,619,14857
4085,372,641,14902
4033,371,676,14920
3980,366,689,14965
3927,381,695,14997
3906,369,696,15029
3865,352,740,15043
3797,378,740,15085
3744,376,761,15119
3693,386,760,15161
3657,365,763,15215
3628,355,780,15237
3587,356,782,15275
3529,375,758,15338
3487,367,747,15399
3466,346,755,15433
3444,330,760,15466
3414,326,764,15496
3378,335,758,15529
3336,351,747,15566
3306,349,742,15603
3275,351,731,15643
3252,342,736,15670
3236,341,713,15710
3226,334,702,15738
3215,330,697,15758
3210,311,669,15810
3183,317,653,15847
3178,306,662,15854
3197,298,636,15869
3184,291,632,15893
3175,289,642,15894
3176,301,627,15896
3184,295,632,15889
3157,310,644,15889
3161,285,660,15894
3150,278,639,15933
3160,269,636,15935
3158,273,617,15952
3151,275,628,15946
3134,297,626,15943
3138,289,637,15936
3155,285,633,15927
3171,269,661,15899
3180,271,644,15905
3197,265,620,15918
3219,246,624,15911
3218,260,616,15906
3222,250,604,15924
3230,259,582,15929
3242,258,584,15916
3256,254,567,15923
3288,264,563,15885
3299,266,554,15881
3327,265,535,15873
3323,276,520,15881
3341,262,523,15874
3349,263,527,15861
3371,251,536,15842
3395,250,533,15822
3405,267,527,15801
3423,251,535,15791
3437,251,545,15767
3462,233,535,15770
3477,237,510,15776
3506,225,514,15755
3508,232,509,15751
3523,229,497,15751
3542,228,479,15751
3578,235,461,15726
3570,240,467,15723
3592,239,465,15704
3602,249,450,15699
3653,223,469,15655
3668,221,468,15643
3679,223,464,15634
3707,232,460,15601
3741,229,465,15565
3771,233,465,15531
3794,255,471,15480
3826,241,466,15467
3832,245,478,15445
3849,249,486,15416
3840,263,492,15405
3870,255,491,15384
3877,253,488,15382
3885,268,477,15370
3909,272,470,15349
3929,263,506,15302
3938,267,500,15295
3938,269,503,15290
3935,287,504,15274
3943,276,513,15268
3951,280,517,15252
3963,269,533,15235
3948,287,542,15223
3929,295,563,15213
3919,309,567,15205
3901,319,584,15196
3868,336,602,15194
3862,327,621,15190
3863,324,632,15181
3896,339,625,15140
3870,353,637,15140
3858,361,661,15120
3835,374,692,15099
3799,367,713,15121
3783,377,710,15130
3761,387,712,15140
3759,376,750,15115
3760,380,748,15112
3734,393,764,15109
3694,402,799,15105
3686,407,803,15104
3661,406,804,15129
3663,378,820,15139
3637,384,813,15166
3613,389,801,15197
3576,392,796,15236
3565,385,779,15271
3544,390,790,15276
3551,381,773,15295
3512,375,790,15323
3466,401,779,15354
3429,400,777,15394
3410,399,763,15428
3387,398,780,15435
3347,413,768,15472
3300,424,774,15502
3280,407,796,15517
3264,407,792,15537
3248,382,822,15548
