S,E,I,R
19967,13,14,6
19957,16,18,9
19930,39,22,9
19901,58,30,11
19864,80,42,14
19813,109,58,20
19737,155,78,30
19639,207,119,35
19487,288,170,55
19311,372,247,70
19071,516,309,104
18704,714,444,138
18283,934,595,188
17727,1218,778,277
17027,1587,1001,385
16150,1997,1320,533
15165,2426,1705,704
13947,2959,2164,930
12513,3556,2731,1200
11059,4008,3330,1603
9498,4438,4006,2058
7839,4824,4713,2624
6304,4999,5430,3267
4964,4946,6079,4011
3876,4670,6659,4795
2932,4322,7097,5649
2202,3836,7394,6568
1696,3257,7559,7488
1275,2792,7431,8502
970,2353,7195,9482
741,1927,6927,10405
580,1609,6514,11297
494,1299,6096,12111
432,1016,5647,12905
396,784,5207,13613
370,644,4752,14234
353,495,4274,14878
362,404,3831,15403
341,355,3402,15902
328,303,3034,16335
339,256,2682,16723
378,215,2391,17016
414,185,2106,17295
454,145,1831,17570
484,143,1623,17750
517,115,1456,17912
537,115,1292,18056
574,101,1123,18202
627,89,1010,18274
656,84,880,18380
714,77,782,18427
756,84,696,18464
809,76,629,18486
857,76,553,18514
900,57,504,18539
950,54,443,18553
1000,47,382,18571
1041,51,350,18558
1106,42,317,18535
1140,47,286,18527
1200,55,254,18491
1273,42,244,18441
1315,46,220,18419
1379,41,197,18383
1428,45,176,18351
1474,44,166,18316
1537,32,159,18272
1601,32,147,18220
1643,30,134,18193
1705,40,109,18146
1754,36,106,18104
1813,31,100,18056
1873,27,95,18005
1909,30,87,17974
1962,20,85,17933
2026,16,77,17881
2081,19,72,17828
2125,18,63,17794
2178,19,60,17743
2233,20,54,17693
2289,22,48,17641
2340,21,44,17595
2385,20,43,17552
2435,18,45,17502
2490,16,46,17448
2547,11,47,17395
2586,11,42,17361
2628,18,39,17315
2672,19,38,17271
2722,14,39,17225
2768,8,41,17183
2825,13,37,17125
2861,22,32,17085
2932,18,35,17015
2975,14,34,16977
3024,15,34,16927
3067,19,28,16886
3112,24,27,16837
