S,E,I,R
19962,18,19,1
19950,25,22,3
19933,36,25,6
19898,59,31,12
19861,73,51,15
19815,101,62,22
19752,134,84,30
19657,185,116,42
19543,235,163,59
19373,346,203,78
19138,464,300,98
18799,671,399,131
18423,844,548,185
17917,1091,721,271
17225,1472,938,365
16409,1881,1232,478
15374,2405,1610,611
14192,2920,2065,823
12772,3484,2670,1074
11250,4011,3320,1419
9657,4477,4031,1835
7967,4873,4829,2331
6364,5079,5645,2912
4932,5072,6328,3668
3733,4880,6886,4501
2802,4416,7409,5373
2079,3893,7680,6348
1550,3359,7738,7353
1157,2813,7680,8350
886,2297,7461,9356
695,1858,7146,10301
555,1504,6787,11154
458,1213,6354,11975
379,972,5935,12714
353,771,5410,13466
343,609,4898,14150
318,482,4444,14756
330,366,3981,15323
328,309,3546,15817
340,277,3153,16230
357,242,2788,16613
378,194,2504,16924
412,165,2229,17194
447,168,2009,17376
456,162,1810,17572
488,145,1608,17759
520,117,1434,17929
552,114,1258,18076
585,110,1109,18196
634,100,965,18301
678,84,877,18361
727,84,761,18428
783,81,679,18457
845,77,620,18458
910,74,541,18475
961,76,473,18490
1003,69,425,18503
1051,58,387,18504
1109,55,344,18492
1161,46,318,18475
1223,38,288,18451
1282,45,246,18427
1350,46,212,18392
1405,44,197,18354
1466,39,184,18311
1529,45,168,18258
1590,37,160,18213
1644,33,153,18170
1694,33,145,18128
1752,31,135,18082
1801,36,114,18049
1849,32,110,18009
1907,29,94,17970
1970,25,90,17915
2041,22,80,17857
2114,20,70,17796
2162,17,69,17752
2221,21,62,17696
2281,17,59,17643
2333,13,55,17599
2382,16,49,17553
2435,13,42,17510
2489,13,40,17458
2542,13,36,17409
2587,12,36,17365
2637,14,32,17317
2686,14,28,17272
2756,12,32,17200
2805,12,33,17150
2859,9,27,17105
2913,8,23,17056
2958,8,22,17012
3013,7,23,16957
3068,10,18,16904
3124,8,18,16850
3186,5,19,16790
3246,5,16,16733
3306,6,15,16673
3354,12,14,16620
3403,13,15,16569
3454,13,17,16516
3502,12,18,16468
3545,11,19,16425
3586,11,20,16383
3628,10,23,16339
3673,11,22,16294
3723,10,23,16244
3766,10,20,16204
3830,11,22,16137
3864,15,22,16099
3909,16,23,16052
3959,20,19,16002
4000,20,19,15961
4042,20,19,15919
4095,18,20,15867
4138,15,22,15825
4184,11,29,15776
4222,13,28,15737
4267,14,31,15688
4314,21,32,15633
4338,25,30,15607
4384,22,30,15564
4411,20,35,15534
4449,18,38,15495
4490,27,41,15442
4552,25,43,15380
4599,26,46,15329
4635,26,45,15294
4681,19,48,15252
4710,23,49,15218
4753,24,48,15175
4791,20,49,15140
4819,20,47,15114
4873,25,44,15058
4908,25,39,15028
4956,23,45,14976
4974,25,44,14957
5017,20,49,14914
5046,19,51,14884
5061,33,51,14855
5089,39,48,14824
5127,33,56,14784
5158,35,49,14758
5192,28,57,14723
5222,36,51,14691
5246,38,55,14661
5275,34,64,14627
5302,35,70,14593
5334,40,75,14551
5352,43,78,14527
5389,45,75,14491
5417,42,82,14459
5435,52,73,14440
5457,54,79,14410
5480,60,86,14374
5494,66,97,14343
5521,68,105,14306
5534,74,101,14291
5552,77,109,14262
5569,77,126,14228
5581,90,127,14202
5595,87,136,14182
5600,102,136,14162
5617,108,150,14125
5629,110,166,14095
5630,123,163,14084
5634,125,169,14072
5650,128,178,14044
5652,132,201,14015
5653,142,219,13986
5654,154,237,13955
5645,165,239,13951
5624,190,253,13933
5601,213,281,13905
5588,208,305,13899
5562,216,330,13892
5528,228,339,13905
5482,261,339,13918
5434,276,373,13917
5390,273,424,13913
5343,290,457,13910
5293,307,465,13935
5250,315,478,13957
5180,336,499,13985
5101,353,540,14006
5029,369,559,14043
4967,378,585,14070
4912,408,591,14089
4823,423,646,14108
4721,426,707,14146
4652,439,724,14185
4575,429,758,14238
4487,450,775,14288
4392,456,802,14350
4318,457,830,14395
4220,464,876,14440
4117,480,876,14527
4013,503,904,14580
3891,526,940,14643
3791,511,972,14726
