S,E,I,R
19956,24,19,1
19936,36,25,3
19917,44,30,9
19890,59,39,12
19843,83,57,17
19777,123,77,23
19695,176,96,33
19609,214,124,53
19449,305,182,64
19274,397,241,88
19040,513,322,125
18771,644,391,194
18385,836,540,239
17902,1091,684,323
17320,1342,906,432
16502,1773,1184,541
15537,2224,1535,704
14463,2672,1945,920
13118,3232,2478,1172
11634,3808,3074,1484
10027,4405,3699,1869
8431,4750,4461,2358
6830,5030,5223,2917
5402,5046,5982,3570
4250,4826,6563,4361
3211,4466,7133,5190
2380,4032,7487,6101
1751,3499,7649,7101
1308,2948,7591,8153
953,2524,7329,9194
746,2041,7107,10106
596,1632,6786,10986
507,1292,6301,11900
429,1036,5787,12748
408,841,5242,13509
386,675,4788,14151
369,547,4295,14789
358,430,3910,15302
348,359,3510,15783
364,293,3172,16171
351,270,2832,16547
374,228,2532,16866
412,195,2252,17141
431,174,2001,17394
453,141,1790,17616
483,130,1581,17806
513,121,1392,17974
550,115,1203,18132
605,97,1058,18240
658,84,944,18314
712,61,861,18366
753,57,781,18409
797,54,692,18457
851,60,598,18491
894,70,523,18513
952,52,488,18508
1005,56,425,18514
1061,59,383,18497
1123,50,335,18492
1168,47,297,18488
1239,47,262,18452
1270,52,231,18447
1343,46,217,18394
1413,40,202,18345
1454,34,186,18326
1510,32,172,18286
1577,24,163,18236
1634,30,147,18189
1683,35,137,18145
1724,38,124,18114
1785,30,117,18068
1843,26,111,18020
1906,21,101,17972
1956,21,96,17927
2022,22,91,17865
2071,21,84,17824
2128,22,77,17773
2190,17,73,17720
2244,17,67,17672
2299,19,60,17622
2359,22,57,17562
2413,24,51,17512
2468,20,53,17459
2518,21,48,17413
2572,23,44,17361
2609,23,43,17325
2662,18,49,17271
2716,21,46,17217
2768,21,39,17172
2808,20,37,17135
2858,15,36,17091
2901,14,33,17052
2932,15,37,17016
2979,11,37,16973
3032,9,34,16925
3065,12,31,16892
3105,12,34,16849
3147,15,30,16808
3194,14,32,16760
3251,13,26,16710
3307,11,27,16655
3365,9,28,16598
3431,7,27,16535
3482,10,22,16486
3528,8,21,16443
3574,7,22,16397
3626,7,21,16346
3658,6,19,16317
3708,6,16,16270
3761,6,14,16219
3807,4,17,16172
3870,2,15,16113
3919,2,13,16066
3972,1,12,16015
4037,1,9,15953
4089,2,6,15903
4136,3,6,15855
4191,5,4,15800
4257,4,5,15734
4295,3,7,15695
4343,5,6,15646
4402,5,6,15587
4453,5,6,15536
4504,5,5,15486
4541,7,3,15449
4583,7,4,15406
4637,8,6,15349
4678,8,8,15306
4729,6,9,15256
4760,7,7,15226
4802,7,8,15183
4848,4,9,15139
4882,7,8,15103
4926,4,11,15059
4973,7,10,15010
5011,9,10,14970
5052,9,11,14928
5086,7,14,14893
5127,9,17,14847
5166,8,19,14807
5206,9,17,14768
5247,9,17,14727
5279,17,17,14687
5318,17,23,14642
5356,13,26,14605
5381,16,24,14579
5409,14,30,14547
5443,21,29,14507
5480,23,30,14467
5518,25,36,14421
5550,29,34,14387
5579,28,42,14351
5608,31,38,14323
5641,31,45,14283
5671,30,47,14252
5694,31,49,14226
5730,29,57,14184
5766,31,55,14148
5789,42,56,14113
5802,51,59,14088
5829,45,68,14058
5860,47,70,14023
5894,39,72,13995
5923,46,68,13963
5947,47,73,13933
5972,54,78,13896
5990,59,81,13870
6021,62,82,13835
6034,69,92,13805
6039,77,99,13785
6057,89,109,13745
6070,87,120,13723
6081,98,130,13691
6085,107,132,13676
6104,98,141,13657
6111,111,154,13624
6109,106,177,13608
6096,131,175,13598
6088,137,193,13582
6095,149,203,13553
6082,157,209,13552
6058,176,230,13536
6049,162,260,13529
6039,175,256,13530
6013,183,274,13530
5977,204,287,13532
5942,218,307,13533
5917,212,346,13525
5900,206,364,13530
5854,230,379,13537
5821,249,393,13537
5779,270,412,13539
5729,280,421,13570
5670,306,446,13578
5625,304,460,13611
5551,343,488,13618
5489,332,536,13643
5417,357,551,13675
5336,376,585,13703
5259,404,594,13743
5165,436,611,13788
5064,454,650,13832
4967,471,683,13879
4865,494,703,13938
4791,488,728,13993
4691,508,770,14031
4591,514,797,14098
4473,542,818,14167
4374,537,868,14221
4303,514,902,14281
4191,514,960,14335
4066,551,984,14399
3926,584,1035,14455
3815,603,1047,14535
3725,592,1072,14611
3620,568,1125,14687
3517,573,1121,14789
3429,524,1143,14904
3345,520,1121,15014
3271,525,1096,15108
3198,514,1109,15179
3143,494,1101,15262
3067,486,1092,15355
3011,452,1110,15427
2947,441,1078,15534
2894,450,1044,15612
2844,440,1035,15681
2813,426,1006,15755
2765,417,991,15827
2726,407,971,15896
2716,374,940,15970
2669,362,924,16045
2644,368,879,16109
2613,355,866,16166
2598,350,865,16187
2590,336,839,16235
2590,307,823,16280
2595,306,801,16298
2603,307,765,16325
2614,292,745,16349
2613,293,703,16391
2620,296,686,16398
2632,277,675,16416
2658,255,672,16415
2673,247,676,16404
2694,251,639,16416
2703,239,634,16424
2716,227,620,16437
2744,205,603,16448
2780,213,584,16423
2800,225,569,16406
2816,220,569,16395
2848,221,550,16381
2873,220,539,16368
2883,224,523,16370
2898,213,501,16388
2920,205,495,16380
2960,192,472,16376
3001,172,452,16375
3052,166,432,16350
3086,179,407,16328
3104,182,388,16326
3135,181,381,16303
3162,183,367,16288
3199,179,367,16255
3250,174,368,16208
3300,175,373,16152
3354,166,381,16099
3411,165,373,16051
3437,171,369,16023
3483,165,363,15989
3515,166,365,15954
3550,156,338,15956
3579,151,342,15928
3603,159,342,15896
3666,164,325,15845
3719,159,332,15790
3791,158,313,15738
3820,155,316,15709
3873,162,316,15649
3924,160,330,15586
3942,177,319,15562
3987,178,330,15505
4009,186,316,15489
4050,182,328,15440
4098,181,331,15390
4160,169,329,15342
4175,186,311,15328
4201,189,319,15291
4238,179,345,15238
4269,191,345,15195
4298,206,338,15158
4349,204,337,15110
4384,212,346,15058
4411,200,368,15021
4423,218,382,14977
4439,220,381,14960
4459,216,402,14923
4472,231,401,14896
4495,239,409,14857
4511,261,420,14808
4506,272,452,14770
4518,279,476,14727
4516,276,495,14713
4522,297,506,14675
4501,312,513,14674
4503,315,527,14655
4503,322,557,14618
4504,305,571,14620
4474,334,585,14607
4441,343,618,14598
4410,358,636,14596
4389,378,624,14609
4365,368,655,14612
4354,378,675,14593
4320,392,687,14601
4282,394,716,14608
4247,401,720,14632
4211,418,727,14644
4173,415,754,14658
4129,419,764,14688
4103,413,796,14688
4054,465,776,14705
4018,455,807,14720
3990,433,816,14761
3943,438,797,14822
3912,453,822,14813
3886,458,824,14832
3854,457,839,14850
3810,465,843,14882
3766,454,855,14925
3735,463,858,14944
3696,436,890,14978
3660,444,897,14999
3599,469,900,15032
3595,452,896,15057
3532,461,923,15084
3492,457,931,15120
3501,418,956,15125
3479,422,953,15146
3449,418,940,15193
3428,427,916,15229
3397,426,907,15270
3387,414,908,15291
3352,416,906,15326
3327,397,918,15358
3324,386,905,15385
3303,407,863,15427
3286,416,858,15440
3287,386,867,15460
3257,397,847,15499
3251,393,861,15495
3269,398,823,15510
3270,381,806,15543
3260,366,809,15565
3234,377,813,15576
3251,353,818,15578
3258,333,807,15602
3250,345,802,15603
3243,359,792,15606
3244,348,791,15617
3260,359,773,15608
3271,357,771,15601
3270,348,773,15609
3263,343,770,15624
