S,E,I,R
19965,15,19,1
19949,28,18,5
19930,40,20,10
19911,51,25,13
19892,58,31,19
19867,63,49,21
19824,86,62,28
19767,124,76,33
19686,169,108,37
19590,230,134,46
19447,305,188,60
19262,393,260,85
19024,536,327,113
18699,719,429,153
18316,910,566,208
17837,1154,720,289
17179,1484,977,360
16317,1919,1271,493
15336,2381,1601,682
14169,2889,2062,880
12843,3436,2547,1174
11258,4017,3228,1497
9632,4485,4016,1867
7939,4917,4759,2385
6307,5161,5551,2981
4906,5073,6315,3706
3753,4770,6938,4539
2774,4370,7399,5457
2083,3871,7636,6410
1533,3328,7729,7410
1133,2805,7640,8422
871,2299,7383,9447
679,1856,7071,10394
541,1487,6675,11297
443,1174,6237,12146
372,931,5740,12957
343,741,5241,13675
340,596,4719,14345
318,485,4264,14933
320,402,3843,15435
320,329,3401,15950
325,283,3040,16352
342,230,2705,16723
363,188,2405,17044
397,172,2136,17295
436,150,1895,17519
473,127,1670,17730
496,117,1481,17906
512,108,1321,18059
541,111,1168,18180
561,104,1043,18292
626,90,942,18342
663,85,841,18411
698,85,732,18485
748,81,665,18506
812,81,569,18538
866,83,515,18536
911,82,472,18535
935,69,441,18555
984,62,384,18570
1026,52,343,18579
1077,50,294,18579
1127,41,261,18571
1200,37,231,18532
1269,31,192,18508
1320,27,174,18479
1382,24,162,18432
1444,22,146,18388
1497,25,135,18343
1548,20,119,18313
1596,22,107,18275
1667,15,92,18226
1728,14,78,18180
1779,17,69,18135
1834,14,63,18089
1888,11,62,18039
1947,14,59,17980
2002,16,54,17928
2044,12,54,17890
2090,10,50,17850
2146,8,47,17799
2207,9,47,17737
2270,9,48,17673
2327,15,45,17613
2377,16,43,17564
2429,14,42,17515
2493,11,42,17454
2553,12,40,17395
2610,7,39,17344
2650,8,34,17308
2714,10,33,17243
2773,11,32,17184
2826,10,31,17133
2872,9,28,17091
2923,9,24,17044
2955,8,23,17014
2994,10,22,16974
3046,8,20,16926
3096,7,22,16875
3152,7,23,16818
3196,8,22,16774
3242,8,22,16728
3294,6,24,16676
3359,7,20,16614
3393,10,17,16580
3440,7,17,16536
3477,8,19,16496
3524,8,18,16450
3570,9,14,16407
3615,9,15,16361
3659,8,14,16319
3701,8,16,16275
3750,8,15,16227
3793,12,18,16177
3835,11,21,16133
3873,13,23,16091
3911,13,25,16051
3958,10,30,16002
4003,16,29,15952
4037,17,23,15923
4067,12,30,15891
4115,15,30,15840
4163,17,33,15787
4199,17,33,15751
4237,21,36,15706
4268,22,38,15672
4301,23,36,15640
4331,28,39,15602
4365,27,41,15567
4405,25,42,15528
4440,23,44,15493
4463,25,43,15469
4495,27,50,15428
4538,29,44,15389
4583,33,46,15338
4630,28,47,15295
4668,28,51,15253
4690,38,55,15217
4726,41,58,15175
4770,44,61,15125
4816,47,62,15075
4849,46,69,15036
4886,48,60,15006
4941,49,61,14949
4977,50,65,14908
5002,52,72,14874
5035,50,79,14836
5059,53,81,14807
5094,54,77,14775
5113,55,84,14748
5141,53,89,14717
5179,55,91,14675
5212,60,91,14637
5238,62,96,14604
5264,63,101,14572
5278,67,109,14546
5293,65,129,14513
5307,79,121,14493
5319,78,128,14475
5336,78,122,14464
5348,91,122,14439
5365,85,142,14408
5366,94,146,14394
5367,112,152,14369
5374,115,163,14348
5375,116,179,14330
5380,117,187,14316
5375,131,191,14303
5390,123,205,14282
5409,135,208,14248
5403,148,216,14233
5402,139,237,14222
5377,161,249,14213
5354,180,270,14196
5340,183,289,14188
5322,188,315,14175
5313,197,316,14174
5276,217,329,14178
5256,222,338,14184
5234,233,348,14185
5212,237,350,14201
5190,254,364,14192
5176,253,395,14176
5149,252,424,14175
5106,261,457,14176
5058,285,473,14184
5018,308,480,14194
4966,333,491,14210
4927,337,534,14202
4878,340,545,14237
4801,367,564,14268
4718,381,602,14299
4639,405,635,14321
4559,423,664,14354
4470,442,689,14399
4394,453,729,14424
4307,440,779,14474
4216,457,809,14518
4108,467,845,14580
4064,443,869,14624
3963,468,879,14690
3885,496,869,14750
3807,481,893,14819
3735,468,903,14894
3641,468,937,14954
3577,480,941,15002
3490,465,947,15098
3442,437,956,15165
3374,424,959,15243
3299,433,950,15318
3233,430,930,15407
3180,423,934,15463
3133,403,948,15516
3081,381,930,15608
3033,387,907,15673
2960,387,909,15744
2942,368,880,15810
2917,370,860,15853
2897,356,846,15901
2878,335,839,15948
2864,319,826,15991
2868,313,796,16023
2852,322,763,16063
2846,310,735,16109
2853,282,751,16114
2861,266,741,16132
2855,265,728,16152
2856,257,719,16168
2857,277,674,16192
2846,279,679,16196
2836,276,663,16225
2848,267,641,16244
2851,263,633,16253
2887,239,619,16255
2921,231,617,16231
2935,240,602,16223
2950,230,582,16238
2972,234,551,16243
2996,218,532,16254
3011,235,514,16240
3033,220,489,16258
3071,210,483,16236
3070,223,481,16226
3092,199,489,16220
3122,198,487,16193
3154,200,485,16161
3172,189,478,16161
3196,193,467,16144
3224,199,460,16117
3256,200,457,16087
3274,203,454,16069
3288,209,438,16065
3311,212,451,16026
3328,223,454,15995
3383,208,453,15956
3395,209,446,15950
3415,208,447,15930
3426,203,467,15904
3448,202,472,15878
3469,196,449,15886
3514,201,434,15851
3534,205,439,15822
3540,217,432,15811
3587,199,432,15782
3605,205,432,15758
3617,226,432,15725
3633,222,428,15717
3682,201,431,15686
3693,211,408,15688
3737,209,413,15641
3755,233,417,15595
3794,231,413,15562
3822,223,420,15535
3835,237,409,15519
3888,223,421,15468
3889,240,435,15436
3884,230,443,15443
3894,229,457,15420
3915,225,450,15410
3947,224,461,15368
3946,226,460,15368
3969,235,468,15328
3963,254,479,15304
3978,248,473,15301
3998,243,482,15277
3990,272,484,15254
3988,275,497,15240
3994,286,504,15216
3992,277,531,15200
4001,273,543,15183
4007,288,547,15158
3989,304,562,15145
3974,319,580,15127
3927,340,582,15151
3928,331,620,15121
3906,337,637,15120
3922,318,634,15126
3914,320,643,15123
3888,355,632,15125
3875,350,656,15119
3839,353,661,15147
3800,371,681,15148
3779,355,705,15161
3758,349,712,15181
3738,372,710,15180
3712,359,722,15207
3714,356,736,15194
3738,348,736,15178
3703,381,727,15189
3690,364,746,15200
3669,371,748,15212
3668,345,778,15209
3667,332,771,15230
3639,361,762,15238
3610,374,753,15263
3608,379,760,15253
3591,365,782,15262
3578,368,785,15269
3571,370,792,15267
3566,378,763,15293
3557,358,781,15304
3539,359,776,15326
3553,349,783,15315
3534,373,777,15316
3513,403,760,15324
3524,393,757,15326
3522,381,757,15340
3519,356,764,15361
3520,363,757,15360
3514,352,760,15374
3510,367,754,15369
3513,381,726,15380
3494,372,746,15388
3489,337,766,15408
3486,350,752,15412
3470,369,750,15411
3463,358,761,15418
3434,355,766,15445
3440,335,789,15436
3421,355,742,15482
3418,358,741,15483
3427,355,741,15477
3419,349,742,15490
3418,347,754,15481
3423,334,738,15505
3436,323,730,15511
3442,317,716,15525
3430,322,725,15523
3413,316,717,15554
3434,327,699,15540
3438,337,680,15545
3438,347,683,15532
3449,335,695,15521
3482,330,713,15475
3495,316,715,15474
3499,332,727,15442
3475,362,725,15438
3470,369,725,15436
3480,350,736,15434
3487,343,716,15454
3474,341,739,15446
3481,324,744,15451
3496,319,740,15445
3482,327,740,15451
3478,324,723,15475
3509,311,735,15445
3504,347,719,15430
3510,349,705,15436
3506,352,705,15437
3531,333,738,15398
3495,355,752,15398
3493,346,773,15388
3462,369,768,15401
3467,345,771,15417
3464,339,779,15418
3476,333,788,15403
3465,343,772,15420
3465,351,755,15429
3462,340,748,15450
3461,335,746,15458
3469,342,745,15444
3464,376,704,15456
3461,362,716,15461
3449,339,722,15490
3451,355,718,15476
3454,341,730,15475
3442,334,740,15484
3434,340,739,15487
3448,319,726,15507
3461,326,712,15501
3459,337,693,15511
3456,346,699,15499
3466,340,685,15509
3470,340,706,15484
3484,343,700,15473
3494,331,707,15468
3495,343,680,15482
3493,345,677,15485
3473,350,684,15493
3511,334,699,15456
3510,329,684,15477
3558,315,696,15431
3571,313,687,15429
3579,319,675,15427
3581,330,666,15423
