S,E,I,R
19963,17,18,2
19948,29,20,3
19931,37,27,5
19898,59,35,8
19856,83,48,13
19815,99,66,20
19772,118,83,27
19681,167,108,44
19598,211,131,60
19475,268,184,73
19296,365,237,102
19076,485,308,131
18760,672,391,177
18378,869,524,229
17846,1149,712,293
17180,1455,965,400
16373,1866,1228,533
15370,2317,1623,690
14104,2915,2086,895
12746,3479,2601,1174
11220,4029,3232,1519
9603,4535,3893,1969
8047,4785,4666,2502
6539,4960,5432,3069
5125,4942,6120,3813
3984,4741,6649,4626
3007,4394,7082,5517
2221,3946,7357,6476
1659,3433,7505,7403
1247,2882,7480,8391
987,2357,7290,9366
813,1878,7005,10304
633,1566,6571,11230
547,1221,6132,12100
491,960,5718,12831
431,762,5251,13556
409,606,4786,14199
395,480,4351,14774
395,408,3940,15257
389,347,3538,15726
398,307,3128,16167
408,260,2777,16555
427,223,2480,16870
451,199,2210,17140
477,176,1983,17364
510,153,1743,17594
558,131,1555,17756
596,113,1377,17914
632,102,1231,18035
685,92,1110,18113
729,95,973,18203
770,92,858,18280
806,94,767,18333
847,81,679,18393
888,82,603,18427
949,70,520,18461
1003,67,474,18456
1058,55,424,18463
1112,57,365,18466
1171,56,329,18444
1228,49,300,18423
1283,50,267,18400
1329,41,242,18388
1391,31,217,18361
1446,33,184,18337
1504,30,167,18299
1570,34,154,18242
1624,29,135,18212
1658,33,128,18181
1719,27,121,18133
1755,21,117,18107
1816,21,103,18060
1873,28,92,18007
1925,32,83,17960
1972,29,81,17918
2030,22,83,17865
2076,22,75,17827
2129,17,72,17782
2180,17,67,17736
2233,20,61,17686
2292,22,54,17632
2336,25,46,17593
2398,20,48,17534
2454,17,37,17492
2502,15,36,17447
2559,16,35,17390
2620,14,34,17332
2685,12,38,17265
2737,10,31,17222
2783,13,27,17177
2833,11,26,17130
2887,10,25,17078
2933,8,26,17033
2991,11,27,16971
3049,11,30,16910
3089,9,28,16874
3135,9,29,16827
3188,10,25,16777
3244,11,19,16726
3300,12,20,16668
3353,8,22,16617
3402,9,19,16570
3440,8,18,16534
3483,8,17,16492
3538,10,17,16435
3593,12,17,16378
3632,16,17,16335
3680,14,20,16286
3723,11,20,16246
3762,11,23,16204
3802,11,22,16165
3845,8,24,16123
3895,9,24,16072
3930,12,21,16037
3978,14,18,15990
4013,14,19,15954
4055,17,18,15910
4098,14,17,15871
4153,11,20,15816
4201,10,22,15767
4237,9,24,15730
4273,12,22,15693
4322,13,22,15643
4356,13,21,15610
4396,14,20,15570
4429,16,19,15536
4475,11,23,15491
4514,11,24,15451
4556,12,20,15412
4599,10,23,15368
4639,11,20,15330
4680,12,18,15290
4726,10,20,15244
4771,9,20,15200
4818,7,23,15152
4857,11,20,15112
4893,14,25,15068
4939,16,25,15020
4969,16,32,14983
5008,22,32,14938
5040,28,30,14902
5059,29,37,14875
5103,31,38,14828
5142,30,40,14788
5182,26,43,14749
5217,27,41,14715
5237,30,41,14692
5284,33,42,14641
5312,34,41,14613
5347,31,40,14582
5371,28,44,14557
5400,29,49,14522
5443,33,48,14476
5483,33,50,14434
5517,31,50,14402
5540,36,57,14367
5570,38,62,14330
5598,35,71,14296
5619,40,67,14274
5647,44,72,14237
5680,44,77,14199
5698,52,76,14174
5737,46,77,14140
5772,48,75,14105
5795,55,77,14073
5815,60,74,14051
5851,57,81,14011
5854,67,92,13987
5880,72,97,13951
5899,74,106,13921
5902,86,111,13901
5903,90,131,13876
5924,89,139,13848
5933,93,143,13831
5918,111,148,13823
5917,113,165,13805
5919,125,170,13786
5909,139,191,13761
5891,149,204,13756
5877,156,220,13747
5857,157,241,13745
5845,178,236,13741
5818,186,255,13741
5807,183,277,13733
5786,201,297,13716
5750,227,316,13707
5711,237,349,13703
5681,254,364,13701
5651,255,385,13709
5621,264,406,13709
5572,273,431,13724
5511,292,452,13745
5435,320,483,13762
5369,335,515,13781
5303,353,524,13820
5229,386,547,13838
5156,384,584,13876
5094,368,610,13928
5016,389,623,13972
4935,406,658,14001
4836,428,696,14040
4732,447,758,14063
4669,443,782,14106
4571,472,804,14153
4483,480,814,14223
4362,497,859,14282
4275,490,881,14354
4187,500,898,14415
4116,501,902,14481
4011,513,930,14546
3944,487,965,14604
3842,500,967,14691
3771,500,960,14769
3676,507,976,14841
3587,476,1016,14921
3531,471,996,15002
3468,439,1016,15077
3401,453,998,15148
3357,450,965,15228
3294,464,955,15287
3214,474,948,15364
3167,445,964,15424
3132,434,954,15480
3061,437,965,15537
3029,424,955,15592
2983,407,927,15683
2947,404,898,15751
2883,402,877,15838
2836,421,846,15897
2814,390,848,15948
2791,372,829,16008
2799,357,826,16018
2758,345,841,16056
2749,324,824,16103
2742,320,807,16131
2735,310,773,16182
2732,285,772,16211
2730,280,752,16238
2721,295,734,16250
2718,293,701,16288
2725,279,685,16311
2749,255,689,16307
2763,252,658,16327
2769,254,643,16334
2778,245,607,16370
2808,249,598,16345
2820,234,582,16364
2846,235,568,16351
2867,235,556,16342
2882,227,540,16351
2908,230,514,16348
2929,217,509,16345
2967,191,510,16332
2990,203,507,16300
3016,216,484,16284
3051,217,481,16251
3079,214,471,16236
3112,187,476,16225
3145,192,457,16206
3180,199,449,16172
3209,194,434,16163
3255,187,430,16128
3269,205,416,16110
3316,194,422,16068
3356,195,405,16044
3392,207,392,16009
3438,185,405,15972
3467,197,394,15942
3499,209,390,15902
3540,195,391,15874
3568,193,399,15840
3607,205,387,15801
3655,190,394,15761
3679,185,396,15740
3728,181,382,15709
3759,198,389,15654
3791,180,384,15645
3813,197,375,15615
3855,187,390,15568
3877,201,384,15538
3930,197,393,15480
3949,205,395,15451
3975,200,405,15420
3984,217,399,15400
4029,220,406,15345
4059,208,419,15314
4079,226,409,15286
4109,228,431,15232
4130,239,433,15198
4139,236,426,15199
4144,233,440,15183
4170,224,466,15140
4185,244,456,15115
4181,254,463,15102
4166,271,481,15082
4145,292,489,15074
4147,295,489,15069
4174,271,520,15035
4179,249,534,15038
4186,266,527,15021
4152,284,538,15026
4177,275,559,14989
4146,292,560,15002
4169,284,563,14984
4166,305,555,14974
4165,305,569,14961
4148,312,596,14944
4129,325,597,14949
4142,318,603,14937
4137,328,594,14941
4119,342,604,14935
4109,354,604,14933
4097,342,619,14942
4116,333,626,14925
4097,344,631,14928
4084,337,646,14933
4077,340,650,14933
4065,339,660,14936
4052,339,675,14934
4063,348,658,14931
4022,372,670,14936
4014,369,694,14923
3985,389,706,14920
3943,394,723,14940
3904,397,743,14956
3894,393,752,14961
3870,396,761,14973
3850,396,787,14967
3833,404,779,14984
3811,403,812,14974
3782,403,823,14992
3767,400,841,14992
3766,384,834,15016
3740,399,804,15057
3708,409,816,15067
3691,405,820,15084
3699,366,841,15094
3656,385,836,15123
3640,380,814,15166
3641,378,802,15179
3614,383,802,15201
3613,366,793,15228
3596,370,776,15258
3602,365,777,15256
3581,358,771,15290
3556,359,769,15316
3556,351,775,15318
3542,371,767,15320
3516,365,791,15328
3507,376,776,15341
3496,367,762,15375
3489,369,756,15386
3467,381,723,15429
3476,379,722,15423
3497,349,720,15434
3502,364,716,15418
3491,362,729,15418
3487,370,717,15426
3465,376,736,15423
3467,366,744,15423
3456,368,755,15421
3467,361,740,15432
3472,359,738,15431
3467,364,733,15436
3486,352,719,15443
3482,363,718,15437
3467,374,729,15430
3498,351,738,15413
3512,328,748,15412
3481,347,752,15420
3492,346,753,15409
3482,352,743,15423
3475,352,731,15442
3486,354,729,15431
3491,351,727,15431
3495,334,712,15459
3503,331,735,15431
3500,343,727,15430
3514,339,716,15431
3525,349,711,15415
3519,341,727,15413
3531,337,728,15404
3552,333,720,15395
3584,301,720,15395
3582,324,704,15390
3594,340,683,15383
3587,344,687,15382
3578,344,676,15402
3611,341,686,15362
3603,345,693,15359
3606,335,681,15378
3614,331,669,15386
3605,338,669,15388
3629,331,678,15362
3657,332,689,15322
3679,326,692,15303
3674,331,707,15288
3686,341,693,15280
3665,336,706,15293
3667,335,701,15297
3668,346,706,15280
3659,345,704,15292
3652,341,712,15295
3646,329,711,15314
3648,336,705,15311
3645,337,702,15316
3607,365,705,15323
3604,371,690,15335
3622,343,712,15323
3616,341,725,15318
3604,346,718,15332
3598,337,724,15341
3574,345,737,15344
3575,353,719,15353
3560,357,726,15357
3524,390,712,15374
3524,381,719,15376
3512,364,743,15381
3505,355,748,15392
3501,363,756,15380
3511,344,758,15387
3501,356,754,15389
3494,357,743,15406
3469,358,757,15416
3447,370,749,15434
3410,390,765,15435
3396,403,755,15446
3391,382,770,15457
3373,380,775,15472
3363,370,785,15482
3351,362,799,15488
3349,367,779,15505
3339,368,758,15535
3343,355,775,15527
3329,357,746,15568
3323,338,749,15590
3308,361,739,15592
3309,338,748,15605
3314,320,757,15609
