S,E,I,R
19956,24,17,3
19948,25,22,5
19932,34,26,8
19901,54,31,14
19870,72,40,18
19827,91,58,24
19774,116,83,27
19683,179,101,37
19570,236,142,52
19423,311,199,67
19229,420,261,90
19000,540,336,124
18650,743,440,167
18231,945,593,231
17682,1226,783,309
16998,1539,1044,419
16093,2006,1357,544
15060,2443,1773,724
13761,3033,2274,932
12331,3626,2786,1257
10824,4117,3433,1626
9276,4488,4133,2103
7689,4822,4829,2660
6174,4973,5624,3229
4805,4878,6291,4026
3670,4591,6853,4886
2771,4183,7229,5817
2083,3728,7449,6740
1535,3226,7527,7712
1175,2682,7452,8691
909,2212,7156,9723
743,1780,6864,10613
593,1436,6466,11505
490,1165,5981,12364
434,917,5537,13112
400,752,5037,13811
375,619,4592,14414
372,496,4146,14986
375,381,3766,15478
359,315,3379,15947
368,252,3046,16334
379,207,2728,16686
393,175,2423,17009
402,159,2122,17317
436,141,1856,17567
474,126,1632,17768
528,108,1455,17909
558,104,1265,18073
604,100,1120,18176
660,88,997,18255
713,83,879,18325
755,76,814,18355
800,71,740,18389
852,74,661,18413
889,61,606,18444
942,68,542,18448
994,63,471,18472
1051,69,400,18480
1123,65,360,18452
1161,64,330,18445
1203,66,302,18429
1256,65,272,18407
1319,63,245,18373
1357,52,224,18367
1415,48,207,18330
1467,51,174,18308
1531,35,166,18268
1586,31,141,18242
1628,34,123,18215
1692,28,121,18159
1741,25,119,18115
1795,25,112,18068
1832,25,112,18031
1883,27,101,17989
1932,26,82,17960
1983,21,79,17917
2019,23,72,17886
2064,28,69,17839
2129,24,64,17783
2186,23,57,17734
2259,19,56,17666
2312,21,42,17625
2371,18,40,17571
2424,19,38,17519
2481,13,43,17463
2526,15,36,17423
2589,14,29,17368
2644,13,27,17316
2700,12,29,17259
2752,13,23,17212
2792,15,21,17172
2844,11,25,17120
2892,14,21,17073
2940,10,25,17025
2981,9,23,16987
3043,7,22,16928
3093,9,19,16879
3133,8,19,16840
3186,13,18,16783
3242,12,18,16728
3294,13,20,16673
3351,12,19,16618
3413,11,19,16557
3456,9,21,16514
3501,11,19,16469
3545,16,15,16424
3601,16,16,16367
3653,12,19,16316
3704,14,14,16268
3745,13,20,16222
3801,9,23,16167
3839,4,27,16130
3894,7,23,16076
3930,15,21,16034
3963,14,23,16000
3999,14,27,15960
4041,9,31,15919
4084,8,30,15878
4109,12,30,15849
4149,14,26,15811
4194,16,24,15766
4236,15,26,15723
4275,17,28,15680
4309,18,27,15646
4350,21,23,15606
4385,24,19,15572
4423,20,23,15534
4461,17,25,15497
4504,21,24,15451
4545,17,26,15412
4587,19,23,15371
4644,16,23,15317
4679,16,23,15282
4729,18,23,15230
4772,17,22,15189
4823,16,24,15137
4869,18,23,15090
4900,17,25,15058
4925,17,26,15032
4955,16,24,15005
4980,19,25,14976
5021,21,24,14934
5067,20,26,14887
5117,21,31,14831
5153,24,32,14791
5193,23,37,14747
5238,22,40,14700
5268,24,40,14668
