S,E,I,R
19967,13,17,3
19945,29,20,6
19925,40,26,9
19900,57,30,13
19869,72,42,17
19833,85,60,22
19770,124,80,26
19711,159,91,39
19618,214,118,50
19479,277,183,61
19307,366,243,84
19096,477,308,119
18794,651,408,147
18404,861,543,192
17883,1155,703,259
17254,1465,930,351
16427,1892,1222,459
15408,2351,1620,621
14227,2888,2037,848
12932,3374,2563,1131
11373,3936,3219,1472
9771,4462,3857,1910
8189,4837,4548,2426
6718,4949,5248,3085
5323,4940,5902,3835
4151,4730,6512,4607
3174,4340,7026,5460
2398,3883,7375,6344
1810,3377,7522,7291
1372,2880,7455,8293
1037,2444,7237,9282
834,1934,7005,10227
681,1556,6596,11167
549,1264,6122,12065
461,1015,5663,12861
400,804,5223,13573
377,639,4727,14257
368,514,4225,14893
362,420,3830,15388
374,343,3408,15875
382,289,3082,16247
393,254,2733,16620
420,208,2432,16940
429,171,2157,17243
442,166,1874,17518
475,148,1665,17712
506,143,1456,17895
555,131,1279,18035
610,127,1152,18111
657,118,1034,18191
697,105,914,18284
743,95,811,18351
777,106,711,18406
814,114,630,18442
871,99,572,18458
918,90,527,18465
976,62,487,18475
1033,67,425,18475
1093,59,383,18465
1152,52,338,18458
1207,54,300,18439
1245,62,265,18428
1297,59,241,18403
1346,60,218,18376
1409,44,207,18340
1474,38,177,18311
1527,41,166,18266
1580,35,148,18237
1635,31,140,18194
1693,23,135,18149
1764,26,120,18090
1822,26,110,18042
1889,21,105,17985
1945,16,90,17949
1991,14,87,17908
2045,16,85,17854
2091,21,74,17814
2150,22,70,17758
2203,19,64,17714
2257,24,56,17663
2306,25,51,17618
2358,20,52,17570
2405,19,45,17531
2466,19,42,17473
2526,20,40,17414
2574,24,38,17364
2627,17,51,17305
2663,15,50,17272
2707,20,50,17223
2771,19,50,17160
2832,24,41,17103
2872,19,39,17070
2914,21,41,17024
2959,16,45,16980
3015,16,38,16931
3056,16,38,16890
3108,14,38,16840
3165,13,40,16782
3206,18,34,16742
3267,11,37,16685
3309,12,32,16647
3343,12,29,16616
3383,13,29,16575
3432,9,28,16531
3473,11,29,16487
3524,9,25,16442
3560,13,21,16406
3610,7,24,16359
3673,8,21,16298
3711,8,19,16262
3760,5,19,16216
3822,5,20,16153
3863,6,17,16114
3902,9,15,16074
3948,11,14,16027
3998,11,14,15977
4048,12,14,15926
4100,8,17,15875
4150,4,18,15828
4198,8,14,15780
4247,9,13,15731
4294,8,14,15684
4328,7,14,15651
4363,7,16,15614
4411,11,13,15565
4457,11,12,15520
4503,12,14,15471
4548,10,14,15428
4582,10,16,15392
4621,9,13,15357
4672,8,14,15306
4715,7,18,15260
4753,5,16,15226
4793,6,15,15186
4832,8,16,15144
4861,14,17,15108
4904,16,17,15063
4945,17,21,15017
4988,15,22,14975
5027,15,19,14939
5070,17,23,14890
5106,18,21,14855
5136,19,20,14825
5174,15,25,14786
5207,21,23,14749
5252,21,27,14700
5291,25,29,14655
5326,33,32,14609
5358,31,41,14570
5388,32,45,14535
5421,36,46,14497
5445,33,50,14472
5476,34,50,14440
5513,32,56,14399
5538,37,55,14370
5567,43,59,14331
5599,44,67,14290
5627,52,60,14261
5639,58,74,14229
5654,65,78,14203
5660,68,93,14179
5681,55,102,14162
5703,62,93,14142
5720,65,98,14117
5737,73,101,14089
5752,84,98,14066
5767,74,117,14042
5761,101,108,14030
5772,96,122,14010
5788,92,131,13989
5806,99,143,13952
5821,99,160,13920
5821,102,169,13908
5833,115,173,13879
5827,112,197,13864
5821,126,199,13854
5814,128,212,13846
5822,134,227,13817
5800,158,238,13804
5789,171,242,13798
5780,178,258,13784
5760,185,256,13799
5744,193,276,13787
5709,204,292,13795
