S,E,I,R
19964,16,17,3
19951,24,21,4
19930,37,27,6
19898,58,33,11
19856,82,43,19
19816,101,58,25
19763,127,77,33
19670,176,117,37
19562,236,151,51
19423,309,192,76
19195,441,266,98
18908,595,360,137
18581,760,477,182
18108,1004,649,239
17576,1263,850,311
16861,1628,1091,420
15931,2109,1406,554
14802,2646,1821,731
13543,3137,2362,958
12054,3761,2917,1268
10468,4314,3548,1670
8895,4686,4291,2128
7330,4964,5062,2644
5802,5096,5792,3310
4549,4898,6472,4081
3431,4654,7004,4911
2596,4215,7414,5775
1967,3644,7662,6727
1468,3145,7631,7756
1102,2625,7546,8727
858,2187,7229,9726
668,1786,6856,10690
539,1437,6480,11544
465,1150,6016,12369
421,922,5545,13112
376,729,5049,13846
348,578,4549,14525
344,471,4053,15132
351,370,3666,15613
359,311,3271,16059
378,253,2917,16452
423,206,2600,16771
447,189,2341,17023
469,170,2066,17295
503,156,1845,17496
526,133,1629,17712
563,107,1474,17856
604,104,1302,17990
646,95,1162,18097
691,83,1039,18187
737,84,921,18258
766,84,816,18334
802,84,743,18371
863,76,663,18398
893,85,592,18430
940,78,534,18448
981,67,478,18474
1048,55,430,18467
1099,51,396,18454
1138,55,354,18453
1193,42,330,18435
1259,48,277,18416
1304,40,265,18391
1354,41,240,18365
1415,41,213,18331
1459,42,196,18303
1518,39,182,18261
1571,41,165,18223
1622,37,145,18196
1674,36,134,18156
1734,37,122,18107
1791,34,114,18061
1822,35,114,18029
1873,37,106,17984
1932,25,102,17941
2004,25,91,17880
2057,24,84,17835
2112,23,70,17795
2182,17,66,17735
2245,20,65,17670
2289,25,50,17636
2340,27,45,17588
2387,26,52,17535
2430,21,52,17497
2484,22,43,17451
2537,15,45,17403
2592,13,41,17354
2650,16,36,17298
2715,19,33,17233
2764,15,33,17188
2818,13,31,17138
2867,15,31,17087
2931,13,31,17025
2997,9,34,16960
3045,12,30,16913
3107,16,29,16848
3149,10,34,16807
3190,13,37,16760
3237,10,36,16717
3280,10,36,16674
3324,11,30,16635
3357,14,25,16604
3418,13,25,16544
3468,14,25,16493
3506,14,27,16453
3544,15,29,16412
3591,15,32,16362
3638,14,30,16318
3677,19,30,16274
3720,20,32,16228
3775,17,39,16169
3833,18,36,16113
3889,18,34,16059
3940,14,31,16015
3974,14,31,15981
4016,15,37,15932
4060,16,34,15890
4104,21,32,15843
4158,15,37,15790
4193,17,36,15754
4232,20,35,15713
4277,20,34,15669
4325,16,40,15619
4361,15,41,15583
4406,13,38,15543
4451,11,36,15502
4492,10,38,15460
4529,14,32,15425
4577,11,31,15381
4624,13,30,15333
4662,12,31,15295
4703,12,28,15257
4744,12,29,15215
4777,19,30,15174
4816,17,35,15132
4851,23,35,15091
4898,23,35,15044
4926,33,33,15008
4959,26,38,14977
4992,26,39,14943
5039,25,40,14896
5069,29,41,14861
5099,29,44,14828
5132,31,48,14789
5153,35,51,14761
5178,39,53,14730
5213,35,50,14702
5249,35,49,14667
5269,38,52,14641
5297,36,51,14616
5330,37,55,14578
5352,45,63,14540
5382,43,70,14505
5412,50,73,14465
5441,42,80,14437
5467,52,80,14401
5478,68,85,14369
5502,75,89,14334
5527,71,89,14313
5543,84,97,14276
5557,85,107,14251
5578,84,112,14226
5595,80,125,14200
5608,92,128,14172
5618,93,144,14145
5626,93,157,14124
5635,102,156,14107
5657,105,157,14081
5646,110,171,14073
5658,117,177,14048
5652,136,185,14027
5647,142,210,14001
5631,170,215,13984
5626,172,221,13981
5606,184,243,13967
5584,183,280,13953
5570,184,305,13941
5544,200,312,13944
5521,211,330,13938
5496,226,348,13930
5476,251,356,13917
5443,263,362,13932
5402,268,357,13973
5378,273,373,13976
5341,271,396,13992
5297,268,417,14018
5253,273,432,14042
5213,287,461,14039
5175,305,497,14023
5126,328,502,14044
5061,350,539,14050
4995,368,584,14053
4914,405,583,14098
4835,410,624,14131
4728,429,663,14180
4625,440,723,14212
4527,455,758,14260
4435,469,787,14309
4363,474,801,14362
4268,483,831,14418
4174,514,848,14464
4083,505,874,14538
3970,520,908,14602
3876,512,931,14681
3794,525,963,14718
3725,523,968,14784
3637,505,993,14865
3596,469,1023,14912
3487,534,983,14996
3410,516,1028,15046
3351,499,1028,15122
3284,505,1021,15190
3196,488,1042,15274
3135,469,1041,15355
3079,464,1040,15417
3034,443,1024,15499
2957,451,1011,15581
2902,443,990,15665
2858,424,1002,15716
2825,395,1008,15772
2777,407,953,15863
2771,379,933,15917
2734,368,918,15980
2707,367,882,16044
2653,380,863,16104
2642,368,852,16138
2626,357,840,16177
2637,320,809,16234
2616,323,781,16280
2643,297,761,16299
2660,276,731,16333
2659,279,698,16364
2654,273,681,16392
2663,270,655,16412
2675,255,642,16428
2719,234,614,16433
2727,238,592,16443
2755,224,584,16437
2789,220,574,16417
2820,222,565,16393
2866,209,544,16381
2890,194,512,16404
2907,204,495,16394
2931,199,491,16379
2952,200,483,16365
2981,205,466,16348
3036,185,464,16315
3065,180,455,16300
3100,186,420,16294
3139,181,421,16259
3163,190,411,16236
3215,175,412,16198
3256,167,403,16174
3303,174,397,16126
3330,173,394,16103
3351,180,383,16086
3387,185,374,16054
3415,185,372,16028
3471,176,370,15983
3530,154,386,15930
3545,169,376,15910
3586,175,374,15865
3639,173,378,15810
3685,157,392,15766
3712,169,388,15731
3729,187,371,15713
3766,203,359,15672
3812,193,366,15629
3829,191,377,15603
3859,192,394,15555
3875,198,395,15532
3922,194,381,15503
3949,196,401,15454
3988,194,401,15417
4025,200,387,15388
4041,214,394,15351
4077,228,392,15303
4084,229,408,15279
4112,217,428,15243
4134,223,413,15230
4147,235,413,15205
4156,240,421,15183
4167,255,424,15154
4182,252,432,15134
4202,267,429,15102
4208,269,445,15078
4217,259,471,15053
4235,262,470,15033
4255,272,470,15003
4256,283,484,14977
4238,296,501,14965
4229,293,518,14960
4210,303,530,14957
4202,317,537,14944
4217,322,554,14907
4221,319,577,14883
4195,334,598,14873
4179,338,600,14883
4125,372,610,14893
4107,378,621,14894
4101,375,635,14889
4078,380,664,14878
4029,399,665,14907
4012,375,681,14932
3982,376,709,14933
3959,398,713,14930
3940,400,719,14941
3908,397,721,14974
3883,414,722,14981
3864,403,741,14992
3871,380,740,15009
3859,364,765,15012
3834,365,755,15046
3799,377,758,15066
3772,380,773,15075
3751,371,788,15090
