S,E,I,R
19970,10,14,6
19957,20,16,7
19938,33,20,9
19919,42,27,12
19886,61,38,15
19838,93,52,17
19788,124,62,26
19712,162,89,37
19635,198,117,50
19528,249,159,64
19378,328,205,89
19173,449,257,121
18890,597,359,154
18560,764,471,205
18127,983,629,261
17537,1283,828,352
16813,1644,1069,474
15977,2022,1376,625
14885,2533,1787,795
13593,3061,2349,997
12066,3734,2914,1286
10424,4332,3583,1661
8752,4786,4346,2116
7140,5043,5142,2675
5646,5103,5892,3359
4363,4896,6582,4159
3263,4602,7102,5033
2493,4083,7465,5959
1854,3572,7631,6943
1377,3035,7594,7994
1037,2533,7463,8967
789,2047,7211,9953
634,1636,6826,10904
528,1300,6329,11843
435,1054,5783,12728
380,839,5321,13460
346,658,4869,14127
326,553,4350,14771
332,439,3965,15264
342,358,3546,15754
358,295,3174,16173
363,241,2863,16533
389,215,2527,16869
405,196,2260,17139
424,188,1999,17389
463,154,1782,17601
489,148,1579,17784
516,129,1391,17964
557,114,1231,18098
593,102,1081,18224
632,95,966,18307
660,87,862,18391
710,71,745,18474
758,77,657,18508
814,75,588,18523
876,69,523,18532
924,68,464,18544
972,61,432,18535
1031,60,400,18509
1082,56,363,18499
1147,52,322,18479
1200,43,281,18476
1252,40,250,18458
1299,34,235,18432
1359,36,203,18402
1418,40,183,18359
1484,37,177,18302
1535,36,159,18270
1603,30,150,18217
1658,33,127,18182
1721,33,116,18130
1767,31,111,18091
1834,22,101,18043
1882,23,88,18007
1946,25,81,17948
2006,26,73,17895
2059,18,73,17850
2122,14,69,17795
2176,20,64,17740
2231,21,58,17690
2283,20,56,17641
2339,21,51,17589
2377,22,48,17553
2440,13,51,17496
2491,14,44,17451
2542,10,45,17403
2585,12,42,17361
2633,15,43,17309
2689,11,36,17264
2747,13,34,17206
2808,11,31,17150
2850,7,30,17113
2913,8,27,17052
2959,14,22,17005
3011,11,25,16953
3061,9,23,16907
3108,9,18,16865
3160,7,21,16812
3205,12,21,16762
3267,15,20,16698
3313,12,23,16652
3378,12,24,16586
3421,15,21,16543
3453,19,21,16507
3505,16,26,16453
3540,15,28,16417
3589,15,28,16368
3628,10,28,16334
3668,11,25,16296
3702,11,26,16261
3754,12,28,16206
3802,11,26,16161
3840,14,26,16120
3880,15,24,16081
3923,12,26,16039
3956,14,25,16005
4001,13,22,15964
4045,9,26,15920
4099,8,29,15864
4142,12,31,15815
4177,15,30,15778
4226,18,34,15722
4263,21,34,15682
4298,21,36,15645
4334,28,32,15606
4373,26,35,15566
4413,23,39,15525
4465,29,36,15470
4504,25,39,15432
4542,26,38,15394
4567,28,40,15365
4606,23,42,15329
4636,28,41,15295
4679,26,48,15247
4729,28,42,15201
4764,25,48,15163
4799,32,43,15126
4825,29,46,15100
4864,27,49,15060
4902,29,45,15024
4943,29,47,14981
4987,25,50,14938
5017,28,48,14907
5080,22,49,14849
5111,34,45,14810
5136,34,49,14781
5171,35,50,14744
5206,38,53,14703
5239,37,52,14672
5274,32,61,14633
5281,38,58,14623
5314,39,58,14589
5343,42,62,14553
5373,44,70,14513
5411,31,76,14482
5453,33,74,14440
5483,34,72,14411
5498,46,78,14378
5531,47,77,14345
5547,48,81,14324
5564,46,87,14303
5588,52,90,14270
5610,56,88,14246
5643,50,94,14213
5666,53,104,14177
5688,61,97,14154
5707,66,90,14137
5728,66,100,14106
5739,71,115,14075
5753,69,119,14059
5771,83,119,14027
5788,83,129,14000
5809,84,133,13974
5817,95,144,13944
5818,116,148,13918
5818,123,159,13900
5834,118,165,13883
5841,118,168,13873
5840,123,178,13859
5856,121,191,13832
5850,138,207,13805
5839,151,213,13797
5823,164,227,13786
5816,161,251,13772
5807,174,252,13767
5808,177,290,13725
5782,209,295,13714
5757,214,325,13704
5711,229,345,13715
5681,228,370,13721
5648,250,380,13722
5614,243,417,13726
5557,273,418,13752
5505,290,431,13774
5445,293,461,13801
5412,299,481,13808
5355,316,498,13831
5303,323,538,13836
5242,334,563,13861
5170,367,579,13884
5089,385,609,13917
5017,392,632,13959
4945,397,666,13992
4852,433,684,14031
4753,468,694,14085
4681,471,751,14097
4566,496,768,14170
4492,465,821,14222
4432,454,844,14270
4331,468,876,14325
4218,521,880,14381
4136,523,892,14449
4035,523,930,14512
3966,499,954,14581
3898,481,982,14639
3801,496,994,14709
3700,533,982,14785
3614,516,1010,14860
3541,527,1008,14924
3478,513,1011,14998
3417,505,1006,15072
3363,470,1026,15141
3295,462,1012,15231
3249,461,1007,15283
3162,479,966,15393
3085,476,990,15449
3028,457,983,15532
2961,455,971,15613
2920,448,958,15674
2909,430,930,15731
2869,412,920,15799
2835,392,927,15846
2795,378,915,15912
2760,356,916,15968
2736,345,890,16029
2706,359,856,16079
2691,344,837,16128
2657,346,801,16196
2657,340,788,16215
2630,333,777,16260
2652,306,753,16289
2664,311,698,16327
2670,286,686,16358
2676,263,662,16399
2692,264,647,16397
2726,245,636,16393
2755,245,597,16403
2755,246,584,16415
2766,241,578,16415
2791,242,546,16421
2811,243,525,16421
2834,236,517,16413
2852,218,521,16409
2887,205,499,16409
2916,195,495,16394
2937,191,488,16384
2970,191,476,16363
3016,177,483,16324
3036,180,464,16320
3070,167,447,16316
3120,163,430,16287
3171,168,429,16232
3214,182,407,16197
3256,181,399,16164
3308,185,391,16116
3341,168,405,16086
3361,166,404,16069
3393,171,397,16039
3418,181,401,16000
3463,183,396,15958
3510,175,395,15920
3533,178,387,15902
3584,180,369,15867
3632,181,370,15817
3690,166,366,15778
3705,180,365,15750
