S,E,I,R
19968,12,18,2
19955,21,20,4
19928,41,23,8
19895,57,39,9
19870,70,44,16
19822,94,62,22
19751,131,90,28
19658,195,108,39
19552,251,147,50
19396,343,196,65
19173,466,276,85
18903,593,380,124
18491,810,531,168
17979,1097,694,230
17314,1469,891,326
16502,1858,1209,431
15538,2300,1556,606
14432,2753,2023,792
13021,3411,2536,1032
11508,3981,3158,1353
9891,4482,3872,1755
8228,4873,4647,2252
6674,5064,5402,2860
5289,4974,6114,3623
4055,4826,6686,4433
3089,4423,7125,5363
2283,3992,7416,6309
1721,3413,7572,7294
1296,2887,7520,8297
984,2425,7340,9251
773,1960,7117,10150
610,1615,6730,11045
516,1277,6265,11942
443,1051,5818,12688
399,815,5289,13497
369,663,4784,14184
360,554,4324,14762
355,437,3923,15285
357,367,3506,15770
385,290,3162,16163
397,238,2805,16560
403,224,2481,16892
422,193,2198,17187
437,168,1974,17421
469,140,1748,17643
491,133,1543,17833
522,125,1373,17980
569,112,1218,18101
595,108,1096,18201
641,97,972,18290
680,98,860,18362
724,99,769,18408
778,86,693,18443
827,81,608,18484
871,66,533,18530
933,60,472,18535
987,68,416,18529
1032,70,393,18505
1086,68,359,18487
1143,58,324,18475
1212,53,290,18445
1270,40,263,18427
1336,35,227,18402
1397,39,201,18363
1463,33,187,18317
1525,38,170,18267
1581,38,156,18225
1638,38,138,18186
1692,37,137,18134
1743,42,131,18084
1787,36,125,18052
1835,35,107,18023
1889,36,110,17965
1947,33,98,17922
2005,37,91,17867
2072,28,96,17804
2137,22,96,17745
2203,28,89,17680
2251,25,82,17642
2303,26,83,17588
2360,22,85,17533
2412,16,84,17488
2466,18,77,17439
2512,20,70,17398
2560,22,68,17350
2611,26,59,17304
2651,26,52,17271
2712,24,52,17212
2757,15,52,17176
2808,14,46,17132
2867,15,44,17074
2911,10,50,17029
2951,12,46,16991
2997,10,42,16951
3047,11,39,16903
3094,15,29,16862
3148,14,23,16815
3209,14,26,16751
3265,14,26,16695
3313,18,26,16643
3362,16,25,16597
3404,12,30,16554
3445,13,30,16512
3503,15,30,16452
3570,13,26,16391
3617,12,29,16342
3673,10,30,16287
