S,E,I,R,
3871,199,392,15538
3899,201,403,15497
3947,207,394,15452
3974,222,388,15416
4012,206,416,15366
4035,208,414,15343
4050,212,408,15330
4073,218,413,15296
4100,211,414,15275
4119,214,420,15247
4143,211,422,15224
4172,222,423,15183
4178,214,438,15170
4217,220,435,15128
4225,215,442,15118
4274,224,431,15071
4291,230,439,15040
4321,219,442,15018
4337,237,457,14969
4334,249,461,14956
4333,254,455,14958
4355,256,460,14929
4385,241,470,14904
4386,254,493,14867
4404,277,483,14836
4383,278,508,14831
4412,242,534,14812
4422,255,535,14788
4427,257,534,14782
4417,262,548,14773
4420,252,548,14780
4434,259,534,14773
4453,271,518,14758
4445,280,524,14751
4434,305,514,14747
4444,307,521,14728
4422,308,563,14707
4400,297,584,14719
4398,321,600,14681
4374,336,606,14684
4348,341,640,14671
4333,345,650,14672
4310,354,651,14685
4295,366,652,14687
4273,365,676,14686
4250,380,680,14690
4224,382,696,14698
4208,368,700,14724
4171,398,695,14736
4132,416,694,14758
4127,415,718,14740
4085,422,723,14770
4046,431,725,14798
4013,450,751,14786
3965,430,805,14800
3911,434,825,14830
3884,416,847,14853
3815,457,849,14879
3769,459,866,14906
3755,460,859,14926
3730,443,871,14956
3703,450,868,14979
3668,438,879,15015
3645,436,856,15063
3607,445,859,15089
3578,429,872,15121
3570,424,875,15131
3556,436,855,15153
3514,431,858,15197
3496,436,842,15226
3489,416,862,15233
3476,413,860,15251
3436,411,876,15277
3411,417,868,15304
3360,435,866,15339
3348,432,862,15358
3310,426,904,15360
3276,439,920,15365
3235,435,921,15409
3229,415,932,15424
3203,429,925,15443
3177,411,943,15469
3178,397,927,15498
3159,388,910,15543
3135,391,890,15584
3123,374,866,15637
3131,371,850,15648
3125,379,830,15666
3123,360,851,15666
3096,380,824,15700
3084,379,819,15718
3075,372,811,15742
3061,373,813,15753
3067,378,812,15743
3058,381,798,15763
3083,363,794,15760
3059,380,791,15770
3060,349,794,15797
3073,348,761,15818
3074,353,746,15827
3094,333,746,15827
3111,327,734,15828
3129,314,723,15834
3142,313,708,15837
3164,313,726,15797
3150,322,725,15803
3166,322,710,15802
3199,306,703,15792
3222,315,679,15784
3248,318,669,15765
3263,323,649,15765
3265,322,657,15756
3289,316,651,15744
3305,318,654,15723
3310,316,660,15714
3349,319,638,15694
3348,313,619,15720
3359,301,631,15709
3362,300,614,15724
3387,283,619,15711
3419,281,617,15683
3429,276,606,15689
3462,244,626,15668
3483,242,618,15657
3506,261,596,15637
3530,260,594,15616
3549,265,602,15584
3580,267,583,15570
3629,271,571,15529
3658,256,576,15510
3674,263,558,15505
3711,258,559,15472
3752,242,561,15445
3765,264,556,15415
3775,271,564,15390
3812,272,549,15367
3800,284,566,15350
3810,293,567,15330
3824,292,575,15309
3835,286,581,15298
3833,284,594,15289
3847,288,585,15280
3840,292,595,15273
3828,313,587,15272
3842,325,587,15246
3843,333,590,15234
3861,321,603,15215
3871,310,601,15218
3862,329,595,15214
3871,350,596,15183
3876,346,600,15178
3894,350,594,15162
3909,334,591,15166
3901,347,619,15133
3899,345,636,15120
3904,331,650,15115
3894,333,656,15117
3879,350,650,15121
3857,355,654,15134
3859,341,687,15113
3857,358,685,15100
3846,355,725,15074
3838,351,744,15067
3807,383,741,15069
3797,381,738,15084
3792,377,743,15088
3774,384,744,15098
3765,389,742,15104
3751,391,753,15105
3737,363,768,15132
3716,363,769,15152
3703,371,757,15169
