S,E,I,R
19958,22,18,2
19936,38,23,3
19904,57,34,5
19863,82,43,12
19814,105,64,17
19754,130,96,20
19656,189,123,32
19547,240,161,52
19378,347,198,77
19190,437,274,99
18899,613,360,128
18569,792,457,182
18110,1011,633,246
17516,1326,827,331
16831,1640,1092,437
15943,2074,1386,597
14836,2600,1778,786
13546,3147,2289,1018
12148,3655,2876,1321
10508,4266,3532,1694
8814,4728,4306,2152
7231,4972,5082,2715
5841,4977,5788,3394
4550,4839,6451,4160
3427,4582,6985,5006
2579,4207,7315,5899
1940,3639,7581,6840
1443,3120,7622,7815
1100,2647,7419,8834
841,2177,7205,9777
664,1776,6795,10765
543,1425,6450,11582
445,1146,6020,12389
407,874,5553,13166
367,706,5067,13860
341,566,4553,14540
325,473,4134,15068
326,375,3758,15541
330,305,3383,15982
339,260,3032,16369
351,235,2702,16712
395,190,2422,16993
409,175,2177,17239
440,154,1917,17489
461,136,1711,17692
496,125,1498,17881
524,110,1368,17998
569,99,1210,18122
610,95,1075,18220
664,85,951,18300
690,85,859,18366
748,80,765,18407
802,76,689,18433
860,69,614,18457
923,60,554,18463
978,54,487,18481
1035,54,430,18481
1094,49,374,18483
1164,47,325,18464
1226,50,291,18433
1288,45,258,18409
1342,42,238,18378
1409,41,220,18330
1474,38,199,18289
1539,31,176,18254
1609,30,165,18196
1657,29,159,18155
1705,29,149,18117
1757,29,135,18079
1808,35,123,18034
1879,35,111,17975
1943,33,106,17918
1991,30,105,17874
2042,24,93,17841
2101,27,87,17785
2159,29,85,17727
2210,27,79,17684
2254,22,79,17645
2307,21,76,17596
2339,21,72,17568
2388,25,66,17521
2447,29,58,17466
2506,28,52,17414
2565,24,50,17361
2615,24,50,17311
2665,24,53,17258
2719,22,51,17208
2759,24,49,17168
2815,13,54,17118
2863,20,45,17072
2926,19,45,17010
2968,19,49,16964
3004,25,42,16929
3046,25,45,16884
3097,22,49,16832
3139,22,42,16797
3194,18,46,16742
3234,24,43,16699
3274,22,40,16664
3322,17,42,16619
3374,17,43,16566
3414,16,39,16531
3459,22,31,16488
3498,22,34,16446
3545,21,37,16397
3583,20,37,16360
3625,17,37,16321
3674,17,35,16274
3723,19,34,16224
3768,22,33,16177
3813,18,36,16133
3866,17,33,16084
3907,19,33,16041
3945,21,35,15999
3997,17,35,15951
4034,19,31,15916
4079,18,33,15870
4116,13,32,15839
4166,15,28,15791
4207,12,33,15748
4251,13,33,15703
4288,14,32,15666
4338,12,28,15622
4372,13,29,15586
4417,14,23,15546
4452,15,27,15506
4498,16,26,15460
4534,14,28,15424
4578,17,26,15379
4620,14,26,15340
4671,14,25,15290
4720,11,25,15244
4759,10,26,15205
4793,11,24,15172
4831,12,22,15135
4869,12,23,15096
4903,18,25,15054
4941,19,25,15015
4965,19,27,14989
5007,15,34,14944
5027,20,34,14919
5059,19,37,14885
5099,27,32,14842
5140,23,36,14801
5174,20,45,14761
5202,28,45,14725
5231,31,47,14691
5257,30,46,14667
5306,28,49,14617
5334,25,48,14593
5367,35,46,14552
5410,33,55,14502
5428,34,62,14476
5454,39,65,14442
5479,42,68,14411
5497,49,71,14383
5524,63,69,14344
5552,63,77,14308
5566,67,83,14284
5573,69,90,14268
5596,72,100,14232
5622,74,105,14199
5644,83,106,14167
5664,85,112,14139
5667,94,123,14116
5679,109,128,14084
5696,103,147,14054
5706,119,156,14019
5708,129,170,13993
5714,127,183,13976
5721,127,187,13965
5724,144,199,13933
5727,150,196,13927
5723,149,222,13906
5716,159,234,13891
5696,174,247,13883
5681,195,252,13872
5665,201,264,13870
5642,203,301,13854
5612,219,318,13851
5588,225,332,13855
5559,247,336,13858
5528,254,360,13858
5497,253,381,13869
5465,273,389,13873
5424,272,431,13873
5387,273,445,13895
5351,282,451,13916
5309,290,465,13936
5279,295,491,13935
