S,E,I,R
19970,10,17,3
19963,13,18,6
19943,30,19,8
19929,38,23,10
19905,55,29,11
19873,72,39,16
19839,95,49,17
19771,132,72,25
19693,178,98,31
19578,236,146,40
19410,331,199,60
19185,470,261,84
18903,610,377,110
18536,781,531,152
18051,1052,673,224
17474,1362,868,296
16734,1721,1108,437
15867,2114,1441,578
14843,2556,1847,754
13515,3161,2338,986
12053,3703,2923,1321
10458,4251,3568,1723
8851,4647,4292,2210
7255,4931,5025,2789
5865,4968,5735,3432
4501,4906,6412,4181
3394,4650,6986,4970
2524,4208,7393,5875
1894,3704,7601,6801
1425,3140,7555,7880
1044,2672,7444,8840
826,2179,7210,9785
669,1722,6900,10709
540,1384,6525,11551
456,1118,6097,12329
403,889,5640,13068
372,719,5119,13790
344,578,4665,14413
336,450,4221,14993
337,368,3774,15521
340,299,3376,15985
367,259,3002,16372
375,227,2681,16717
392,199,2406,17003
425,175,2129,17271
453,163,1893,17491
505,132,1678,17685
533,121,1476,17870
565,113,1298,18024
620,103,1157,18120
665,100,1017,18218
724,86,897,18293
762,84,796,18358
799,90,700,18411
844,91,621,18444
880,93,554,18473
934,83,504,18479
976,77,466,18481
1030,72,423,18475
1073,69,402,18456
1125,62,366,18447
1155,61,335,18449
1211,60,305,18424
1267,57,277,18399
1323,49,258,18370
1370,56,234,18340
1433,49,210,18308
1482,48,193,18277
1548,38,183,18231
1602,35,177,18186
1653,38,163,18146
1712,46,135,18107
1767,30,125,18078
1833,28,116,18023
1889,28,106,17977
1941,35,91,17933
2001,30,78,17891
2058,25,80,17837
2108,27,77,17788
2171,20,77,17732
2236,21,73,17670
2304,20,68,17608
2359,16,61,17564
2425,15,59,17501
2478,13,58,17451
2537,17,52,17394
2593,14,51,17342
2662,14,43,17281
2725,12,39,17224
2777,12,35,17176
2841,13,35,17111
2892,12,34,17062
2949,9,30,17012
3012,10,29,16949
3057,11,26,16906
3109,9,28,16854
3154,11,26,16809
3202,10,27,16761
3242,7,29,16722
3304,6,28,16662
3364,7,26,16603
3417,7,19,16557
3465,5,19,16511
3515,6,20,16459
3567,8,16,16409
3619,9,14,16358
3673,8,12,16307
3726,8,14,16252
3763,9,16,16212
3812,10,20,16158
3861,12,21,16106
3903,11,20,16066
3947,10,19,16024
3993,11,20,15976
4036,11,22,15931
4072,13,22,15893
4111,11,22,15856
4156,11,20,15813
4212,12,19,15757
4270,11,21,15698
4319,6,22,15653
4356,6,25,15613
4389,9,23,15579
4423,14,25,15538
4459,15,24,15502
4506,15,23,15456
4533,17,27,15423
4573,18,30,15379
4622,18,24,15336
4657,16,27,15300
4698,17,30,15255
4736,18,31,15215
4762,19,31,15188
4798,18,31,15153
4822,23,29,15126
4854,21,28,15097
4893,16,33,15058
4938,13,38,15011
4981,15,34,14970
5009,16,37,14938
5051,17,38,14894
5104,14,39,14843
5135,17,38,14810
5171,13,42,14774
5195,17,40,14748
5229,28,39,14704
5262,31,39,14668
5288,34,37,14641
5328,32,41,14599
5350,30,47,14573
5377,35,52,14536
5408,36,52,14504
5454,37,52,14457
5483,38,52,14427
5507,34,56,14403
5533,43,54,14370
5571,44,64,14321
5587,46,71,14296
5625,38,80,14257
5645,45,82,14228
5674,46,81,14199
5689,54,83,14174
5717,60,92,14131
5736,62,102,14100
5745,74,113,14068
5750,88,120,14042
5768,86,127,14019
5775,92,132,14001
5771,112,134,13983
5791,102,143,13964
5794,105,155,13946
5804,102,167,13927
5801,109,182,13908
5809,113,195,13883
5802,130,207,13861
5786,149,214,13851
5763,165,240,13832
5743,174,253,13830
5724,181,264,13831
5691,208,266,13835
5677,202,291,13830
5643,223,300,13834
5607,239,308,13846
5580,240,343,13837
5562,233,370,13835
5529,246,376,13849
5480,272,393,13855
5440,272,409,13879
5377,289,437,13897
5338,301,454,13907
5286,309,477,13928
5218,349,472,13961
5168,335,519,13978
5113,353,543,13991
5065,339,589,14007
5013,352,609,14026
4919,397,618,14066
4849,397,655,14099
4753,406,681,14160
4678,418,715,14189
4577,442,721,14260
4516,426,752,14306
4439,444,764,14353
4346,455,787,14412
4233,479,822,14466
4139,494,862,14505
4048,479,878,14595
3970,487,873,14670
3888,482,910,14720
3816,503,899,14782
3749,473,931,14847
3678,469,946,14907
3623,468,939,14970
3547,463,954,15036
3458,481,978,15083
3376,472,975,15177
3309,465,967,15259
3253,470,947,15330
3214,451,944,15391
3166,438,935,15461
3107,420,956,15517
3099,381,952,15568
3048,404,938,15610
3006,390,911,15693
2981,367,902,15750
2964,355,883,15798
2949,330,859,15862
2904,354,852,15890
2905,337,843,15915
2863,347,825,15965
2831,356,815,15998
2817,344,800,16039
2815,329,788,16068
2811,318,780,16091
2816,309,752,16123
2816,308,751,16125
2803,321,746,16130
2807,301,740,16152
2794,302,728,16176
2808,293,688,16211
2822,261,687,16230
2837,261,662,16240
2861,243,643,16253
2844,248,634,16274
2875,239,618,16268
2907,237,612,16244
2906,239,606,16249
2942,239,578,16241
2966,218,574,16242
2983,241,547,16229
3008,235,554,16203
3041,229,545,16185
3049,232,537,16182
3079,230,499,16192
3121,213,493,16173
3152,211,488,16149
3162,214,487,16137
3192,214,478,16116
3242,215,466,16077
3247,216,475,16062
3259,204,485,16052
3287,192,502,16019
3298,202,473,16027
3311,209,455,16025
3345,211,448,15996
3371,222,432,15975
3406,222,423,15949
3417,206,442,15935
3452,204,425,15919
3470,215,430,15885
3497,209,442,15852
3533,209,445,15813
3576,195,436,15793
3589,211,446,15754
3595,222,440,15743
3636,211,454,15699
3667,215,453,15665
3697,205,453,15645
3717,209,454,15620
3745,218,455,15582
3769,214,440,15577
3809,204,453,15534
3839,190,459,15512
3866,198,444,15492
3907,205,437,15451
3911,210,425,15454
3933,211,426,15430
3963,209,428,15400
3987,222,422,15369
3999,212,432,15357
4010,224,452,15314
4019,238,445,15298
4021,241,468,15270
4035,254,483,15228
4038,262,499,15201
4075,248,495,15182
4067,260,499,15174
4079,267,517,15137
4084,286,522,15108
4057,312,539,15092
4056,317,555,15072
4036,302,585,15077
4037,312,594,15057
4040,301,606,15053
4047,296,608,15049
4049,321,584,15046
4039,306,618,15037
4024,317,629,15030
3994,349,621,15036
4005,345,612,15038
3991,349,633,15027
3962,349,647,15042
3944,351,643,15062
3902,381,651,15066
3900,387,644,15069
3899,363,652,15086
3885,368,649,15098
3897,352,672,15079
3888,360,652,15100
3862,361,660,15117
3861,345,666,15128
3822,370,678,15130
