S,E,I,R
19970,10,18,2
19953,26,15,6
19934,36,23,7
19913,48,32,7
19880,69,37,14
19840,92,50,18
19784,117,76,23
19702,163,102,33
19599,224,132,45
19465,298,172,65
19273,395,241,91
19041,513,310,136
18742,672,405,181
18355,875,542,228
17859,1136,704,301
17210,1465,922,403
16476,1808,1183,533
15550,2231,1520,699
14354,2765,1979,902
13055,3265,2507,1173
11534,3828,3117,1521
10001,4263,3769,1967
8357,4693,4475,2475
6828,4899,5167,3106
5466,4913,5861,3760
4251,4743,6501,4505
3252,4481,6889,5378
2425,4019,7276,6280
1824,3558,7368,7250
1368,3047,7377,8208
1065,2574,7109,9252
842,2081,6893,10184
685,1684,6593,11038
563,1351,6194,11892
463,1122,5708,12707
415,916,5188,13481
392,734,4720,14154
367,589,4273,14771
353,467,3914,15266
338,377,3513,15772
352,304,3150,16194
372,249,2843,16536
399,217,2564,16820
414,200,2265,17121
455,167,2002,17376
488,156,1781,17575
513,141,1595,17751
553,126,1377,17944
588,122,1222,18068
632,108,1119,18141
675,100,985,18240
713,87,883,18317
764,82,772,18382
814,85,681,18420
859,78,615,18448
900,72,537,18491
963,62,479,18496
1004,65,435,18496
1067,64,398,18471
1130,70,346,18454
1190,63,306,18441
1241,54,293,18412
1300,51,263,18386
1342,47,232,18379
1403,45,215,18337
1448,38,196,18318
1511,38,175,18276
1573,38,153,18236
1647,39,143,18171
1702,29,144,18125
1746,25,126,18103
1802,35,107,18056
1854,32,100,18014
1894,26,97,17983
1949,25,89,17937
2005,23,84,17888
2061,26,76,17837
2105,30,70,17795
2163,28,64,17745
2213,27,62,17698
2263,28,57,17652
2309,22,60,17609
2354,26,50,17570
2387,30,52,17531
2438,22,57,17483
2482,23,54,17441
2539,21,52,17388
2578,21,58,17343
2620,20,52,17308
2681,23,48,17248
2711,25,52,17212
2765,21,50,17164
2821,21,46,17112
2872,22,47,17059
2918,22,43,17017
2966,24,41,16969
3013,23,45,16919
3059,21,46,16874
3098,20,37,16845
3155,19,39,16787
3208,18,39,16735
3239,18,36,16707
3292,9,40,16659
3344,11,38,16607
3392,13,35,16560
3441,13,34,16512
3488,12,34,16466
3528,18,35,16419
3574,15,36,16375
3623,16,31,16330
3680,15,33,16272
3728,12,35,16225
