S,E,I,R
19965,15,18,2
19954,21,20,5
19931,36,27,6
19902,54,36,8
19847,97,45,11
19773,128,80,19
19696,161,119,24
19594,221,147,38
19448,296,194,62
19242,425,261,72
19002,543,342,113
18622,760,461,157
18208,982,590,220
17707,1213,788,292
16999,1589,1006,406
16153,2005,1316,526
15171,2415,1723,691
13922,2989,2175,914
12489,3591,2718,1202
10944,4164,3329,1563
9372,4536,4088,2004
7719,4899,4838,2544
6174,5058,5597,3171
4804,4977,6293,3926
3612,4710,6951,4727
2746,4277,7393,5584
2072,3779,7621,6528
1564,3316,7629,7491
1187,2782,7491,8540
892,2301,7315,9492
706,1828,7035,10431
561,1510,6603,11326
468,1229,6187,12116
412,951,5725,12912
353,791,5204,13652
335,595,4738,14332
317,512,4218,14953
308,429,3753,15510
321,335,3359,15985
328,284,2973,16415
341,238,2654,16767
364,202,2368,17066
406,178,2097,17319
456,148,1867,17529
500,130,1662,17708
539,115,1490,17856
568,100,1306,18026
595,98,1148,18159
650,93,1023,18234
682,101,890,18327
731,96,785,18388
782,89,704,18425
820,81,625,18474
862,76,565,18497
923,78,521,18478
973,72,462,18493
1027,67,419,18487
1057,65,388,18490
1108,63,341,18488
1150,59,313,18478
1207,61,286,18446
1276,49,259,18416
1339,50,237,18374
1388,49,219,18344
1451,43,202,18304
1515,38,177,18270
1593,25,166,18216
1658,31,146,18165
1718,25,124,18133
1778,20,114,18088
1827,22,102,18049
1874,25,92,18009
1917,23,85,17975
1985,23,79,17913
2032,22,74,17872
2082,17,71,17830
2126,18,67,17789
2181,17,63,17739
2231,21,63,17685
2287,14,63,17636
2333,23,58,17586
2381,21,54,17544
2435,17,50,17498
2495,10,53,17442
2573,11,50,17366
2624,13,45,17318
2672,8,43,17277
2719,8,34,17239
2773,12,30,17185
2830,8,33,17129
2888,9,30,17073
2921,10,26,17043
2975,9,21,16995
3019,12,21,16948
3068,12,23,16897
3114,12,24,16850
3151,14,25,16810
3202,11,20,16767
3234,11,17,16738
3281,12,16,16691
3325,13,20,16642
3361,14,20,16605
3403,13,21,16563
3444,15,22,16519
3491,18,20,16471
3540,17,27,16416
3581,14,29,16376
3621,15,30,16334
3673,15,28,16284
3722,10,32,16236
3762,17,30,16191
3802,18,29,16151
3842,17,31,16110
3893,17,35,16055
3939,20,34,16007
3979,22,36,15963
4016,21,40,15923
4049,16,41,15894
4083,18,43,15856
4131,21,41,15807
4161,24,41,15774
4210,26,39,15725
4247,20,41,15692
4292,23,38,15647
4324,22,43,15611
4363,26,40,15571
4396,27,46,15531
4424,27,45,15504
4461,26,46,15467
4490,27,49,15434
4524,25,50,15401
4554,28,55,15363
4593,28,56,15323
4617,32,57,15294
4656,23,61,15260
4687,27,58,15228
4713,32,57,15198
4748,34,56,15162
4778,36,52,15134
4796,29,62,15113
4822,33,59,15086
4866,35,58,15041
4891,42,65,15002
4920,49,66,14965
4946,42,72,14940
4979,45,66,14910
5012,51,62,14875
5045,50,70,14835
5086,53,71,14790
5125,48,73,14754
5151,53,83,14713
5193,47,86,14674
5207,60,88,14645
5233,61,91,14615
5260,69,88,14583
5297,67,97,14539
5312,80,101,14507
5339,84,108,14469
5353,82,119,14446
5376,79,112,14433
5398,80,132,14390
5425,81,136,14358
5440,79,147,14334
5441,100,152,14307
5453,110,150,14287
5464,118,156,14262
5484,110,178,14228
5479,129,177,14215
5488,135,193,14184
5488,148,193,14171
5489,143,220,14148
5489,150,237,14124
5491,156,249,14104
5493,167,254,14086
5472,192,256,14080
5464,185,280,14071
5465,203,293,14039
5444,215,309,14032
5410,225,331,14034
5389,229,352,14030
5341,250,386,14023
5297,259,404,14040
5244,265,436,14055
5230,248,459,14063
5181,281,461,14077
5144,284,481,14091
5094,300,500,14106
5043,300,529,14128
4970,331,542,14157
4909,338,568,14185
4845,356,580,14219
4779,381,597,14243
4705,398,628,14269
4640,389,651,14320
4579,399,661,14361
4520,416,665,14399
4472,411,694,14423
4393,439,695,14473
4328,435,727,14510
4276,454,730,14540
4212,440,736,14612
4122,452,758,14668
4060,452,766,14722
4006,443,763,14788
3940,439,801,14820
3868,439,826,14867
3811,438,820,14931
3749,446,824,14981
3678,441,843,15038
3627,451,834,15088
3555,460,845,15140
3486,454,858,15202
3431,449,873,15247
3330,474,890,15306
3294,460,888,15358
3255,438,904,15403
3206,411,918,15465
3166,407,907,15520
3127,393,914,15566
3082,376,903,15639
3038,375,903,15684
3007,359,886,15748
2997,365,850,15788
2967,346,847,15840
2950,325,835,15890
2939,329,832,15900
2908,332,818,15942
2897,324,779,16000
2875,340,768,16017
2878,333,766,16023
2886,323,755,16036
2878,312,737,16073
2876,308,734,16082
2877,288,706,16129
2890,276,697,16137
2885,274,696,16145
2902,270,670,16158
2906,255,654,16185
2930,252,620,16198
2933,246,601,16220
2958,244,585,16213
2981,249,548,16222
2978,258,559,16205
2966,273,562,16199
2975,264,558,16203
2996,260,561,16183
3016,267,549,16168
3036,257,539,16168
3056,249,538,16157
3073,251,514,16162
3094,242,503,16161
3108,239,493,16160
3118,244,496,16142
3165,227,491,16117
3188,220,478,16114
3204,203,482,16111
3214,220,466,16100
3223,221,468,16088
3245,221,453,16081
3281,207,437,16075
3316,204,445,16035
3351,214,450,15985
3363,229,440,15968
3395,219,441,15945
3420,226,429,15925
3434,224,426,15916
3476,201,424,15899
3512,195,417,15876
3554,188,409,15849
3582,182,417,15819
3600,199,405,15796
3625,201,410,15764
3655,203,426,15716
3704,191,422,15683
3735,198,411,15656
3759,201,419,15621
3775,202,405,15618
3799,211,401,15589
3822,208,416,15554
3854,205,407,15534
3886,217,399,15498
3901,226,398,15475
3915,237,412,15436
3925,249,420,15406
3958,256,425,15361
3961,265,431,15343
3987,260,433,15320
4016,261,440,15283
4031,250,458,15261
4026,267,474,15233
4056,278,469,15197
4086,257,474,15183
4082,286,471,15161
4098,272,491,15139
4135,267,505,15093
4140,273,495,15092
4142,265,521,15072
4147,283,534,15036
4153,287,530,15030
4144,290,553,15013
4118,311,563,15008
4089,327,575,15009
4066,337,581,15016
4069,342,583,15006
4064,334,589,15013
4033,336,622,15009
3989,375,625,15011
3982,371,645,15002
3985,342,684,14989
3976,344,671,15009
3971,342,698,14989
3926,390,668,15016
3910,382,682,15026
3878,396,708,15018
3843,383,737,15037
3835,375,742,15048
3810,381,755,15054
3801,382,748,15069
3767,396,762,15075
3748,388,766,15098
3706,416,759,15119
3695,399,779,15127
3642,406,804,15148
3603,415,798,15184
3576,414,799,15211
3540,418,828,15214
3495,409,842,15254
3482,405,850,15263
3467,403,828,15302
3468,393,836,15303
3443,381,838,15338
3403,387,826,15384
3389,385,822,15404
3392,379,821,15408
3373,355,833,15439
3362,367,830,15441
3361,367,813,15459
3349,373,784,15494
3338,379,793,15490
3327,385,789,15499
3314,394,760,15532
3313,389,785,15513
3330,365,773,15532
3327,337,774,15562
3338,342,748,15572
3324,364,755,15557
3309,355,775,15561
3325,351,764,15560
3332,352,736,15580
3323,361,750,15566
3331,359,736,15574
3324,376,715,15585
3331,365,713,15591
3333,379,685,15603
3344,353,701,15602
3350,366,670,15614
3385,344,696,15575
3398,323,708,15571
3404,319,695,15582
3409,343,687,15561
3418,334,679,15569
3413,356,671,15560
3414,348,676,15562
3434,353,675,15538
3423,355,658,15564
3405,361,662,15572
3402,347,672,15579
3407,339,687,15567
3424,335,673,15568
3436,325,676,15563
3464,306,659,15571
3467,309,646,15578
3474,307,630,15589
3514,302,614,15570
3557,285,611,15547
3591,268,604,15537
3595,282,599,15524
