S,E,I,R
19968,12,18,2
19956,20,19,5
19935,33,24,8
19920,39,28,13
19887,63,33,17
19848,83,49,20
19786,121,64,29
19716,165,82,37
19628,210,112,50
19532,265,136,67
19397,322,194,87
19186,441,268,105
18892,597,371,140
18555,767,494,184
18100,1008,654,238
17484,1318,872,326
16686,1708,1164,442
15736,2170,1483,611
14563,2749,1882,806
13322,3255,2394,1029
11780,3881,3007,1332
10148,4430,3675,1747
8499,4817,4459,2225
6943,5000,5248,2809
5492,5020,5964,3524
4281,4810,6580,4329
3256,4476,7065,5203
2464,4071,7339,6126
1845,3578,7526,7051
1395,3003,7529,8073
1074,2461,7395,9070
826,2004,7093,10077
654,1648,6642,11056
519,1354,6234,11893
457,1086,5785,12672
408,878,5308,13406
377,706,4872,14045
358,558,4399,14685
346,445,3985,15224
359,359,3574,15708
368,292,3195,16145
395,239,2863,16503
428,186,2584,16802
451,187,2263,17099
491,160,1981,17368
506,139,1731,17624
524,119,1557,17800
558,106,1402,17934
582,107,1214,18097
625,109,1074,18192
669,105,948,18278
712,102,829,18357
745,91,750,18414
787,82,656,18475
840,69,585,18506
895,70,520,18515
962,66,466,18506
1022,56,415,18507
1089,50,386,18475
1143,45,353,18459
1184,48,321,18447
1227,55,280,18438
1287,51,250,18412
1333,44,241,18382
1382,48,227,18343
1430,52,209,18309
1470,43,203,18284
1514,36,189,18261
1570,38,175,18217
1620,40,156,18184
1688,37,147,18128
1744,38,127,18091
1796,35,117,18052
1868,27,106,17999
1927,23,101,17949
1984,22,101,17893
2039,21,87,17853
2094,19,80,17807
2152,18,68,17762
2211,18,66,17705
2256,22,66,17656
2294,25,66,17615
2341,26,65,17568
2407,24,65,17504
2454,24,60,17462
2497,20,59,17424
2546,22,55,17377
2582,19,54,17345
2629,19,55,17297
2689,16,52,17243
2750,16,51,17183
2773,21,48,17158
2821,19,45,17115
2868,24,44,17064
2918,26,42,17014
2987,26,45,16942
3036,25,48,16891
3072,18,52,16858
3117,17,56,16810
3171,18,56,16755
3229,18,54,16699
3259,19,54,16668
3291,21,56,16632
3336,17,54,16593
3381,19,50,16550
3421,22,48,16509
3475,22,45,16458
3504,22,44,16430
3546,23,47,16384
3583,22,45,16350
3624,21,45,16310
3658,21,45,16276
3697,16,56,16231
3742,13,52,16193
3799,17,52,16132
3819,18,53,16110
3872,21,50,16057
3905,19,54,16022
3948,24,50,15978
3983,24,52,15941
4005,27,49,15919
4043,27,50,15880
4082,34,45,15839
4121,32,50,15797
4156,31,54,15759
4189,35,60,15716
4232,34,69,15665
4269,36,65,15630
4309,35,61,15595
4340,40,57,15563
4374,35,55,15536
4419,37,57,15487
4450,33,64,15453
4497,26,70,15407
4529,31,68,15372
4559,37,70,15334
4600,40,68,15292
4635,43,61,15261
4662,45,59,15234
4688,48,65,15199
4712,58,66,15164
4746,57,74,15123
4768,54,76,15102
4792,54,78,15076
4824,50,80,15046
4879,48,74,14999
4909,59,76,14956
4941,55,83,14921
4975,56,83,14886
4998,62,84,14856
5017,63,95,14825
5057,62,99,14782
5095,57,101,14747
5115,68,100,14717
5138,54,116,14692
5141,75,117,14667
5156,79,131,14634
5163,91,134,14612
5169,98,144,14589
5189,93,153,14565
5210,102,154,14534
5213,118,159,14510
5225,120,169,14486
5222,132,169,14477
5222,129,185,14464
5225,132,193,14450
5224,152,186,14438
5244,142,201,14413
5255,141,224,14380
5261,162,224,14353
5277,154,238,14331
5276,148,256,14320
5249,169,258,14324
5244,178,262,14316
5231,187,277,14305
5219,188,293,14300
5207,193,299,14301
5201,197,311,14291
5156,216,341,14287
5132,223,366,14279
5109,233,385,14273
5089,251,394,14266
5045,278,392,14285
4991,301,412,14296
4968,293,445,14294
4935,290,461,14314
4897,299,478,14326
4846,309,483,14362
4817,299,507,14377
4769,326,543,14362
4712,335,573,14380
4640,375,564,14421
4573,396,592,14439
4531,389,594,14486
4488,385,616,14511
4422,385,629,14564
4383,376,646,14595
4332,381,636,14651
4292,377,653,14678
4238,397,668,14697
4177,389,700,14734
4102,394,728,14776
4055,398,740,14807
4025,377,760,14838
3943,407,763,14887
3892,385,792,14931
3818,402,794,14986
3774,393,820,15013
3719,397,819,15065
3654,407,821,15118
3587,433,807,15173
3528,432,836,15204
3457,432,844,15267
3400,431,843,15326
3359,441,859,15341
3307,418,871,15404
3273,394,876,15457
3247,382,867,15504
3223,377,854,15546
3179,374,850,15597
3159,377,832,15632
3127,375,822,15676
3102,363,802,15733
3082,351,795,15772
3070,331,786,15813
3048,327,773,15852
3052,305,768,15875
3034,300,739,15927
3023,299,722,15956
