S,E,I,R
19959,21,17,3
19945,30,20,5
19930,39,24,7
19902,57,31,10
19871,74,44,11
19838,90,57,15
19790,117,76,17
19709,169,99,23
19610,224,131,35
19448,318,184,50
19264,404,259,73
18994,561,341,104
18659,733,465,143
18196,987,623,194
17614,1298,818,270
16879,1658,1084,379
15944,2110,1426,520
14844,2607,1825,724
13571,3199,2276,954
12140,3689,2898,1273
10638,4163,3548,1651
9057,4594,4207,2142
7513,4867,4928,2692
5985,5029,5650,3336
4740,4915,6289,4056
3666,4606,6856,4872
2778,4180,7283,5759
2082,3693,7514,6711
1588,3160,7544,7708
1220,2664,7472,8644
940,2186,7247,9627
724,1831,6877,10568
587,1459,6477,11477
518,1197,5952,12333
442,971,5456,13131
401,782,5028,13789
389,628,4583,14400
372,512,4148,14968
356,421,3775,15448
358,350,3390,15902
365,304,3022,16309
382,265,2680,16673
389,232,2364,17015
417,197,2121,17265
459,167,1873,17501
491,138,1700,17671
520,124,1526,17830
553,113,1371,17963
597,102,1231,18070
631,97,1064,18208
681,89,939,18291
714,85,840,18361
755,85,755,18405
804,86,676,18434
843,77,623,18457
882,80,541,18497
925,69,501,18505
970,73,460,18497
1032,58,414,18496
1087,50,375,18488
1138,48,333,18481
1187,43,306,18464
1252,42,269,18437
1314,46,242,18398
1361,39,226,18374
1417,30,213,18340
1474,35,187,18304
1530,36,167,18267
1590,30,147,18233
1649,31,131,18189
1706,25,116,18153
1770,20,99,18111
1835,14,97,18054
1887,23,84,18006
1940,28,74,17958
1998,25,71,17906
2058,23,70,17849
2115,23,65,17797
2174,22,64,17740
2208,20,60,17712
2269,19,58,17654
2329,19,51,17601
2380,16,44,17560
2423,18,43,17516
2477,17,43,17463
2546,12,47,17395
2600,11,50,17339
2637,14,47,17302
2696,19,40,17245
2736,20,37,17207
2788,21,41,17150
2843,18,39,17100
2895,21,40,17044
2940,20,44,16996
2991,23,39,16947
3040,19,39,16902
3079,13,44,16864
3125,13,41,16821
3171,15,33,16781
3223,12,30,16735
3273,11,28,16688
3318,12,28,16642
3362,13,26,16599
3411,10,28,16551
3465,14,26,16495
3506,14,27,16453
3540,14,26,16420
3587,18,22,16373
3633,14,25,16328
3673,18,23,16286
3707,21,24,16248
3753,20,21,16206
3804,17,24,16155
3853,14,29,16104
3890,11,31,16068
3934,14,26,16026
3975,12,24,15989
4010,16,24,15950
4051,20,24,15905
4105,19,25,15851
4150,15,25,15810
4182,21,23,15774
