S,E,I,R
19969,11,18,2
19954,22,19,5
19934,38,21,7
19913,52,25,10
19892,62,35,11
19854,86,48,12
19820,99,58,23
19749,134,85,32
19670,182,107,41
19550,241,153,56
19405,316,202,77
19183,443,275,99
18919,587,362,132
18546,792,476,186
18112,1007,637,244
17489,1346,830,335
16700,1762,1099,439
15779,2191,1428,602
14703,2683,1831,783
13375,3263,2351,1011
11873,3851,2974,1302
10274,4279,3737,1710
8566,4749,4532,2153
6960,5048,5263,2729
5501,5043,6035,3421
4237,4874,6667,4222
3206,4550,7119,5125
2443,4074,7464,6019
1823,3519,7654,7004
1389,2978,7584,8049
1041,2525,7398,9036
798,2031,7215,9956
632,1633,6862,10873
522,1324,6371,11783
440,1084,5902,12574
398,856,5409,13337
365,683,4973,13979
352,540,4521,14587
348,419,4068,15165
349,349,3612,15690
366,281,3197,16156
370,249,2850,16531
392,219,2525,16864
420,196,2248,17136
460,169,2003,17368
482,162,1773,17583
520,134,1616,17730
552,124,1448,17876
596,115,1278,18011
638,99,1154,18109
681,97,1037,18185
715,98,929,18258
763,101,819,18317
807,93,722,18378
840,84,650,18426
897,76,577,18450
954,70,526,18450
998,71,459,18472
1071,63,407,18459
1123,63,372,18442
1170,57,332,18441
1230,50,300,18420
1284,43,267,18406
1343,38,227,18392
1392,34,195,18379
1442,35,184,18339
1504,39,162,18295
1564,36,150,18250
1613,35,143,18209
1659,34,132,18175
1707,31,129,18133
1761,24,124,18091
1816,27,118,18039
1873,28,107,17992
1923,31,99,17947
1978,32,89,17901
2028,25,96,17851
2085,30,83,17802
2136,28,76,17760
2177,28,66,17729
2236,25,62,17677
2290,16,64,17630
2341,17,53,17589
2407,12,56,17525
2458,10,54,17478
2512,15,47,17426
2560,17,42,17381
2612,19,41,17328
2652,19,40,17289
2703,17,43,17237
2766,15,44,17175
2807,12,48,17133
2855,11,45,17089
2909,9,42,17040
2950,8,37,17005
2995,11,35,16959
3041,14,35,16910
3082,13,33,16872
3132,16,30,16822
3183,16,35,16766
3232,15,34,16719
3271,15,33,16681
3303,13,28,16656
3351,12,30,16607
3387,15,25,16573
3429,13,28,16530
3481,15,28,16476
3523,17,29,16431
3564,18,26,16392
3614,15,32,16339
3649,16,32,16303
3693,14,30,16263
3744,13,31,16212
3790,15,33,16162
3829,11,34,16126
3882,16,31,16071
3917,11,32,16040
3958,14,30,15998
4003,12,27,15958
4051,11,27,15911
4085,10,29,15876
4144,11,30,15815
4175,10,30,15785
4221,15,25,15739
4268,14,26,15692
4314,17,25,15644
4354,22,25,15599
4399,20,23,15558
4438,16,25,15521
4475,20,25,15480
4511,13,34,15442
4543,16,28,15413
4574,20,27,15379
4626,16,33,15325
4659,12,32,15297
4693,12,29,15266
4737,16,28,15219
4782,17,22,15179
4836,20,25,15119
4883,17,28,15072
4921,20,31,15028
4965,18,32,14985
5003,17,33,14947
5049,13,32,14906
5091,16,35,14858
5130,19,37,14814
5160,22,38,14780
5192,26,32,14750
5234,27,35,14704
5280,31,37,14652
5318,34,40,14608
5367,37,44,14552
5391,42,46,14521
5432,40,55,14473
5460,40,59,14441
5482,49,60,14409
5511,48,56,14385
5537,50,64,14349
5562,45,76,14317
5591,48,81,14280
5618,55,83,14244
5642,51,92,14215
5661,59,94,14186
5678,57,98,14167
5685,62,105,14148
5704,73,98,14125
5724,77,97,14102
5754,79,108,14059
5773,78,116,14033
5769,95,122,14014
5780,102,131,13987
5799,108,139,13954
5808,101,165,13926
