S,E,I,R
19968,12,18,2
19951,25,21,3
19933,34,29,4
19908,50,35,7
19865,74,49,12
19810,108,66,16
19753,134,88,25
19650,207,112,31
19525,272,160,43
19353,357,226,64
19113,487,304,96
18815,645,405,135
18388,887,538,187
17888,1144,713,255
17269,1427,974,330
16513,1796,1232,459
15524,2243,1593,640
14303,2843,2000,854
12975,3406,2480,1139
11517,3887,3115,1481
9948,4386,3795,1871
8321,4745,4565,2369
6762,4951,5304,2983
5323,4999,5991,3687
4117,4882,6511,4490
3175,4498,7052,5275
2365,4068,7360,6207
1776,3510,7496,7218
1324,2969,7528,8179
1025,2461,7362,9152
813,1987,7139,10061
650,1607,6749,10994
536,1313,6273,11878
460,1041,5815,12684
395,860,5285,13460
353,708,4819,14120
325,577,4329,14769
305,470,3904,15321
323,375,3531,15771
342,293,3154,16211
367,242,2842,16549
375,217,2550,16858
401,179,2246,17174
430,158,1997,17415
451,130,1787,17632
478,120,1550,17852
503,114,1341,18042
554,106,1176,18164
582,95,1036,18287
621,90,934,18355
671,81,836,18412
720,76,752,18452
769,77,661,18493
806,73,616,18505
853,65,557,18525
890,63,501,18546
939,62,440,18559
990,55,400,18555
1057,51,349,18543
1100,45,319,18536
1159,44,287,18510
1205,48,259,18488
1293,45,230,18432
1347,45,208,18400
1387,38,188,18387
1445,34,172,18349
1519,42,147,18292
1576,42,135,18247
1634,39,121,18206
1685,37,109,18169
1763,25,106,18106
1812,27,91,18070
1865,28,80,18027
1930,24,77,17969
1975,25,73,17927
2029,22,69,17880
2074,20,72,17834
2116,18,68,17798
2160,17,62,17761
2220,13,59,17708
2275,12,55,17658
2315,15,48,17622
2366,22,43,17569
2422,22,40,17516
2469,21,38,17472
2516,18,42,17424
2578,23,42,17357
2628,19,42,17311
2681,20,42,17257
2737,17,40,17206
2796,15,37,17152
2841,18,35,17106
2889,14,37,17060
2927,14,37,17022
2970,13,37,16980
3027,12,31,16930
3071,10,32,16887
3120,9,32,16839
3163,10,33,16794
3210,8,37,16745
3258,6,38,16698
3302,6,37,16655
3345,11,32,16612
3401,10,28,16561
3440,11,26,16523
3488,12,26,16474
3540,9,25,16426
3581,12,22,16385
3631,10,24,16335
3683,14,26,16277
3719,5,34,16242
3758,7,30,16205
3797,10,30,16163
3842,10,28,16120
3878,13,28,16081
3915,16,30,16039
3948,20,28,16004
3993,21,28,15958
4037,19,26,15918
4081,19,23,15877
4119,18,26,15837
4162,18,27,15793
4205,19,27,15749
4259,19,31,15691
4294,26,28,15652
4331,25,26,15618
4381,24,28,15567
4425,22,31,15522
4463,22,33,15482
4505,20,38,15437
4541,19,36,15404
4583,17,40,15360
4629,16,38,15317
4659,17,38,15286
4691,19,35,15255
4726,21,31,15222
4758,25,32,15185
4791,27,34,15148
4838,21,35,15106
4884,23,35,15058
4932,21,33,15014
4968,22,37,14973
5003,23,37,14937
5036,25,39,14900
5076,29,44,14851
5118,31,46,14805
5159,36,48,14757
5184,44,49,14723
5209,48,58,14685
5234,44,64,14658
5254,53,67,14626
5286,42,79,14593
5313,47,76,14564
5326,52,77,14545
5352,55,84,14509
5384,50,90,14476
5408,65,84,14443
5420,69,90,14421
5439,69,98,14394
5473,81,97,14349
5504,67,112,14317
5505,86,113,14296
5506,92,120,14282
5526,86,127,14261
5542,89,127,14242
5556,94,144,14206
5560,109,154,14177
5576,113,162,14149
5572,131,175,14122
5586,131,184,14099
5579,135,194,14092
5586,143,212,14059
5567,152,228,14053
5558,170,239,14033
5540,177,259,14024
5511,185,288,14016
5505,173,303,14019
5477,201,301,14021
5448,214,314,14024
5414,238,315,14033
5396,260,322,14022
5377,243,361,14019
5355,243,393,14009
5287,267,408,14038
5237,272,442,14049
5192,292,466,14050
5157,292,477,14074
5096,312,498,14094
5043,337,524,14096
4980,360,538,14122
4931,366,559,14144
4862,384,580,14174
4794,395,602,14209
4712,424,618,14246
4664,401,656,14279
4603,409,662,14326
4547,407,663,14383
4478,427,672,14423
4383,451,707,14459
4330,448,725,14497
4267,431,759,14543
4167,469,789,14575
4088,451,826,14635
4003,456,852,14689
3918,450,873,14759
3836,455,881,14828
3796,435,876,14893
3724,446,857,14973
3649,425,879,15047
3583,423,877,15117
3533,406,871,15190
3471,396,887,15246
3412,412,870,15306
3364,396,873,15367
3308,393,878,15421
3267,409,836,15488
3231,394,831,15544
3213,384,813,15590
3174,363,823,15640
3128,372,810,15690
3090,353,811,15746
3056,345,803,15796
3026,364,774,15836
3004,377,772,15847
2990,350,782,15878
2993,329,766,15912
2972,322,757,15949
2951,315,744,15990
2925,318,730,16027
2917,318,730,16035
2922,314,692,16072
2922,300,691,16087
2934,283,665,16118
2933,273,661,16133
2940,257,657,16146
2941,267,635,16157
2956,252,643,16149
2952,265,627,16156
2950,282,620,16148
2954,277,606,16163
2976,259,587,16178
2978,249,600,16173
3006,238,574,16182
3018,242,567,16173
3019,240,559,16182
3027,223,558,16192
3050,228,549,16173
3069,226,529,16176
3080,230,518,16172
3108,224,493,16175
3116,217,500,16167
3151,220,499,16130
3170,223,496,16111
3177,236,485,16102
3190,229,498,16083
3235,218,504,16043
3248,233,455,16064
3277,211,462,16050
3291,214,462,16033
3322,199,464,16015
3339,212,449,16000
3343,221,435,16001
3385,211,438,15966
3438,202,417,15943
3452,209,422,15917
3476,222,434,15868
3503,246,419,15832
3529,238,424,15809
3538,252,433,15777
3526,261,434,15779
3546,248,435,15771
3559,247,444,15750
3568,244,467,15721
3589,249,463,15699
3631,233,477,15659
3674,225,481,15620
3698,218,465,15619
3713,247,446,15594
3726,234,457,15583
3747,229,466,15558
3767,228,459,15546
3786,204,464,15546
3780,232,450,15538
3802,231,468,15499
3825,233,464,15478
3843,239,460,15458
3860,237,469,15434
3895,231,475,15399
3882,247,487,15384
3902,245,487,15366
3928,244,479,15349
3939,241,505,15315
3939,255,482,15324
3953,265,471,15311
3961,261,497,15281
3985,247,495,15273
3995,242,502,15261
4030,251,483,15236
4052,230,515,15203
4061,250,497,15192
4051,260,504,15185
4059,259,520,15162
4081,270,524,15125
4065,299,531,15105
4053,318,529,15100
4034,320,541,15105
4019,332,557,15092
4014,312,582,15092
4013,310,588,15089
4020,318,588,15074
4036,324,606,15034
4043,313,627,15017
4039,348,609,15004
4032,339,609,15020
4028,343,607,15022
4024,338,621,15017
4030,340,632,14998
4029,344,635,14992
4036,327,633,15004
4038,308,630,15024
4026,331,616,15027
4025,315,635,15025
4051,299,656,14994
4032,323,660,14985
4023,341,673,14963
4005,359,688,14948
3988,374,698,14940
3962,390,714,14934
3917,394,738,14951
3906,412,728,14954
3863,401,758,14978
3842,398,768,14992
3844,403,761,14992
3813,416,763,15008
3815,389,775,15021
3789,393,778,15040
3786,395,784,15035
3773,402,777,15048
3766,413,769,15052
3755,407,778,15060
3749,410,760,15081
3723,412,778,15087
3709,404,783,15104
3695,417,788,15100
3672,412,805,15111
3655,411,794,15140
3646,391,797,15166
3614,414,783,15189
3586,414,801,15199
3567,405,803,15225
3557,389,814,15240
3507,406,821,15266
3490,408,802,15300
3476,405,799,15320
3451,412,777,15360
