S,E,I,R
19972,8,19,1
19952,26,19,3
19935,35,22,8
19907,50,32,11
19879,63,41,17
19844,85,48,23
19793,111,71,25
19689,188,91,32
19589,224,142,45
19463,289,188,60
19282,394,242,82
19059,517,303,121
18718,727,398,157
18337,903,547,213
17814,1163,718,305
17130,1519,973,378
16251,1975,1255,519
15227,2417,1668,688
14040,2931,2121,908
12643,3484,2669,1204
11095,4092,3210,1603
9508,4507,3937,2048
7913,4827,4680,2580
6477,4927,5410,3186
5123,4943,6040,3894
3970,4659,6696,4675
2999,4343,7106,5552
2291,3807,7432,6470
1724,3313,7495,7468
1306,2851,7394,8449
991,2359,7218,9432
819,1895,6933,10353
662,1559,6529,11250
546,1253,6080,12121
468,1035,5596,12901
410,811,5146,13633
357,662,4736,14245
354,538,4315,14793
331,443,3907,15319
331,364,3493,15812
323,314,3131,16232
337,250,2819,16594
372,190,2513,16925
408,168,2250,17174
449,144,1991,17416
472,141,1755,17632
513,129,1563,17795
546,116,1387,17951
593,105,1227,18075
641,96,1092,18171
694,91,961,18254
736,90,857,18317
781,78,753,18388
824,71,656,18449
876,61,586,18477
934,59,531,18476
1002,58,458,18482
1056,61,405,18478
1123,60,366,18451
1195,56,333,18416
1255,53,309,18383
1302,49,299,18350
1344,47,264,18345
1401,40,253,18306
1456,32,235,18277
1518,32,212,18238
1547,37,177,18239
1613,40,161,18186
1664,37,149,18150
1724,29,135,18112
1784,24,120,18072
1824,29,107,18040
1875,32,94,17999
1935,27,92,17946
2010,24,83,17883
2071,20,70,17839
2124,18,70,17788
2187,17,64,17732
2240,14,64,17682
2288,19,55,17638
2332,20,51,17597
2383,16,49,17552
2419,14,48,17519
2456,10,48,17486
2513,13,43,17431
2566,11,42,17381
2606,13,41,17340
2653,14,33,17300
2694,15,29,17262
2746,10,27,17217
2799,13,27,17161
2862,13,23,17102
2919,12,24,17045
2975,10,26,16989
3025,10,27,16938
3076,11,28,16885
3128,10,24,16838
3169,11,23,16797
3224,10,19,16747
3257,9,22,16712
3310,7,24,16659
3351,8,23,16618
3398,6,24,16572
3446,2,25,16527
3482,4,19,16495
3528,5,16,16451
3583,4,18,16395
3628,3,14,16355
3685,4,13,16298
3727,4,13,16256
3772,4,12,16212
3826,3,11,16160
3873,5,8,16114
3913,6,7,16074
3962,5,8,16025
4001,4,8,15987
4045,3,9,15943
4090,4,8,15898
4149,4,8,15839
4192,3,11,15794
4238,5,10,15747
4285,6,9,15700
4334,7,12,15647
4378,11,11,15600
4430,11,14,15545
4476,13,16,15495
4509,13,20,15458
4533,10,24,15433
4569,12,25,15394
4611,14,25,15350
4662,11,26,15301
4703,11,28,15258
4751,14,28,15207
4795,16,29,15160
4828,17,33,15122
4861,16,35,15088
4894,21,29,15056
4945,19,28,15008
4980,21,30,14969
5018,19,34,14929
5061,15,39,14885
5095,20,35,14850
5130,23,37,14810
5168,22,35,14775
5200,23,36,14741
5239,21,34,14706
5286,19,36,14659
5329,20,38,14613
5356,19,40,14585
5377,29,35,14559
5422,30,38,14510
5463,30,42,14465
5479,37,44,14440
5509,30,51,14410
5537,32,53,14378
5567,34,62,14337
5606,34,61,14299
5639,37,64,14260
5680,47,51,14222
5720,48,52,14180
5751,45,61,14143
5783,44,64,14109
5812,45,71,14072
5827,51,76,14046
5846,52,81,14021
5863,56,82,13999
5876,64,84,13976
5883,76,96,13945
5901,80,104,13915
5914,77,118,13891
5929,88,124,13859
5928,97,134,13841
5928,97,152,13823
5938,95,160,13807
5953,97,162,13788
5934,125,174,13767
5928,123,180,13769
5913,141,181,13765
5924,142,196,13738
5922,163,211,13704
5934,157,230,13679
5923,176,243,13658
5906,183,249,13662
5892,201,273,13634
5868,215,303,13614
5839,228,330,13603
5796,239,350,13615
5758,258,370,13614
5714,256,399,13631
5680,263,411,13646
5620,287,420,13673
5576,296,424,13704
5508,316,450,13726
5448,335,460,13757
5390,353,481,13776
5307,364,544,13785
5236,355,600,13809
5166,375,609,13850
5073,416,621,13890
4966,446,653,13935
4889,453,704,13954
4762,478,748,14012
4656,493,778,14073
4564,496,810,14130
4466,503,835,14196
4374,518,856,14252
4269,528,879,14324
4172,534,912,14382
4074,545,911,14470
3966,550,942,14542
3883,535,973,14609
3801,524,987,14688
3680,531,1021,14768
3588,537,1021,14854
3495,532,1027,14946
3437,513,1039,15011
3368,493,1045,15094
3298,475,1037,15190
3237,461,1032,15270
3161,465,1018,15356
3102,450,1017,15431
3047,427,994,15532
3018,421,972,15589
2972,423,963,15642
2936,416,956,15692
2914,394,960,15732
2849,411,940,15800
2803,401,929,15867
2809,384,894,15913
2767,361,892,15980
2765,354,862,16019
2746,344,863,16047
2732,333,836,16099
2696,331,834,16139
2697,327,804,16172
2693,315,804,16188
2696,320,771,16213
2705,312,758,16225
2720,287,756,16237
2714,259,739,16288
2721,266,701,16312
2720,265,679,16336
2744,273,645,16338
2765,251,639,16345
2786,243,623,16348
2795,246,590,16369
2846,231,591,16332
2869,223,567,16341
2878,219,549,16354
2905,214,535,16346
2941,216,498,16345
2961,216,482,16341
2990,211,493,16306
3025,188,493,16294
3038,185,497,16280
3056,184,479,16281
3100,176,439,16285
3130,165,430,16275
3135,183,417,16265
3182,167,422,16229
3239,153,422,16186
3278,151,406,16165
3303,185,387,16125
3352,192,371,16085
3397,182,370,16051
3429,190,377,16004
3471,183,376,15970
3481,181,381,15957
3524,176,385,15915
3555,184,386,15875
3582,178,387,15853
3624,182,379,15815
3646,196,377,15781
3691,191,380,15738
3734,194,379,15693
3776,189,382,15653
3804,182,389,15625
3843,176,388,15593
3867,173,384,15576
3897,175,387,15541
3922,174,404,15500
3950,189,401,15460
3960,192,388,15460
3971,202,380,15447
4005,205,389,15401
4046,201,389,15364
4072,198,401,15329
4091,215,409,15285
4121,209,403,15267
4138,211,408,15243
4158,221,405,15216
4178,235,399,15188
4203,234,413,15150
4236,235,425,15104
4231,244,436,15089
4240,249,432,15079
4260,242,440,15058
4300,243,453,15004
4319,243,457,14981
4351,243,461,14945
4358,231,470,14941
4354,265,462,14919
4380,258,475,14887
4367,281,483,14869
4362,291,484,14863
4342,309,493,14856
4336,300,522,14842
4351,298,536,14815
4320,322,557,14801
4292,349,596,14763
4300,350,612,14738
4271,350,646,14733
4246,361,646,14747
4216,369,668,14747
4188,377,686,14749
4149,392,697,14762
4136,362,740,14762
4099,379,734,14788
4101,387,727,14785
4071,396,720,14813
4026,404,726,14844
3987,406,747,14860
3941,409,766,14884
3917,431,779,14873
3871,455,779,14895
3843,439,797,14921
3825,426,809,14940
3797,409,831,14963
3772,418,853,14957
3732,428,848,14992
3680,423,886,15011
3643,428,881,15048
3604,431,899,15066
3579,435,878,15108
3528,442,906,15124
3522,427,912,15139
3492,447,905,15156
3474,448,912,15166
3443,431,907,15219
3410,448,903,15239
3374,435,915,15276
3355,424,923,15298
3327,419,931,15323
3297,429,907,15367
3292,415,906,15387
3265,445,882,15408
3251,424,879,15446
3242,424,891,15443
3224,413,894,15469
3230,407,871,15492
3191,413,863,15533
3207,403,865,15525
3189,396,848,15567
3200,355,849,15596
3221,361,830,15588
3213,356,811,15620
3207,357,816,15620
3197,348,810,15645
3191,357,785,15667
3194,344,786,15676
3206,342,794,15658
3199,347,780,15674
3205,355,752,15688
3219,338,762,15681
3225,344,742,15689
3248,322,747,15683
3236,330,750,15684
3246,339,730,15685
3272,356,686,15686
3277,308,720,15695
3305,319,708,15668
3349,316,688,15647
3384,317,683,15616
3398,323,684,15595
3419,320,662,15599
3405,335,658,15602
3424,337,657,15582
3430,349,653,15568
3454,342,655,15549
3474,319,684,15523
3484,323,678,15515
3508,347,649,15496
3525,327,658,15490
3526,314,678,15482
3507,322,681,15490
3514,325,667,15494
3538,324,656,15482
3535,342,653,15470
3548,353,668,15431
3556,339,654,15451
3572,317,679,15432
3589,294,703,15414
3617,294,689,15400
3616,323,676,15385
3613,319,678,15390
3617,317,681,15385
3626,325,671,15378
3589,359,669,15383
3610,350,665,15375
3583,379,682,15356
3598,366,681,15355
3613,348,669,15370
3612,365,673,15350
3583,363,697,15357
3561,369,706,15364
3542,363,729,15366
3544,366,736,15354
3551,359,745,15345
3559,360,749,15332
3576,343,746,15335
3581,337,733,15349
3585,341,739,15335
3596,353,737,15314
3607,343,726,15324
3599,342,714,15345
3574,347,707,15372
3565,362,704,15369
3568,346,705,15381
3563,354,691,15392
3579,344,698,15379
3576,350,703,15371
3568,338,705,15389
3565,338,706,15391
3563,313,739,15385
3556,331,718,15395
3570,327,700,15403
3549,335,696,15420
3513,354,707,15426
3507,366,697,15430
3528,339,721,15412
3530,343,715,15412
3528,347,695,15430
3522,350,697,15431
3533,324,728,15415
3536,332,712,15420
3515,363,705,15417
3518,363,722,15397
3474,396,728,15402
3454,392,730,15424
3449,370,753,15428
3436,359,783,15422
3426,376,767,15431
3409,375,756,15460
3411,365,769,15455
3387,372,774,15467
3396,370,756,15478
3398,357,746,15499
3370,377,746,15507
3364,384,753,15499
3353,374,763,15510
3335,360,780,15525
3340,340,786,15534
3336,344,785,15535
3312,352,789,15547
3297,362,770,15571
3295,371,777,15557
3270,381,761,15588
3263,366,773,15598
3285,349,768,15598
3290,358,738,15614
3306,346,741,15607
3287,378,721,15614
3273,375,738,15614
3275,379,754,15592
3265,374,761,15600
3263,359,762,15616
3260,377,766,15597
3268,363,751,15618
3257,378,768,15597
3233,374,745,15648
3227,350,756,15667
3238,336,741,15685
3253,342,720,15685
3242,347,728,15683
3269,306,741,15684
3255,310,718,15717
3236,336,709,15719
3248,326,683,15743
3246,341,669,15744
3282,322,663,15733
