S,E,I,R
19973,7,18,2
19951,28,15,6
19934,37,20,9
19916,49,23,12
19894,60,33,13
19847,86,51,16
19785,114,82,19
19705,152,115,28
19618,199,139,44
19475,290,178,57
19302,382,238,78
19069,509,316,106
18739,698,407,156
18366,891,538,205
17870,1145,703,282
17216,1484,932,368
16350,1927,1258,465
15292,2450,1633,625
14050,3004,2114,832
12703,3531,2657,1109
11196,4080,3272,1452
9578,4575,3969,1878
8035,4787,4795,2383
6446,5035,5547,2972
5041,5002,6268,3689
3764,4806,6946,4484
2806,4405,7390,5399
2065,3930,7629,6376
1565,3318,7750,7367
1198,2809,7618,8375
910,2310,7414,9366
697,1891,7053,10359
552,1532,6659,11257
458,1207,6237,12098
395,986,5710,12909
347,781,5192,13680
340,599,4725,14336
320,494,4241,14945
319,426,3809,15446
330,355,3393,15922
344,278,3025,16353
361,239,2710,16690
377,203,2438,16982
391,186,2138,17285
424,157,1905,17514
442,129,1713,17716
480,115,1557,17848
527,100,1364,18009
557,110,1196,18137
602,110,1061,18227
645,103,927,18325
688,88,829,18395
737,78,729,18456
780,73,650,18497
823,65,573,18539
882,59,511,18548
928,56,461,18555
975,52,407,18566
1015,54,364,18567
1060,50,322,18568
1125,49,298,18528
1184,51,264,18501
1251,46,234,18469
1308,38,208,18446
1392,33,190,18385
1435,44,170,18351
1492,40,151,18317
1557,39,142,18262
1615,33,134,18218
1677,36,123,18164
1728,32,117,18123
1788,28,113,18071
1836,26,112,18026
1892,27,92,17989
1957,23,90,17930
2011,21,86,17882
2062,22,80,17836
2108,26,80,17786
2155,31,72,17742
2207,27,72,17694
2247,27,77,17649
2303,19,75,17603
2376,14,67,17543
2438,17,52,17493
2486,19,55,17440
2540,23,47,17390
2600,20,45,17335
2650,16,49,17285
2709,14,45,17232
2748,18,40,17194
2791,17,37,17155
2852,17,36,17095
2891,15,41,17053
2928,18,39,17015
2977,16,39,16968
3029,14,37,16920
3067,17,36,16880
3111,14,34,16841
3160,17,34,16789
3201,17,36,16746
3245,21,35,16699
3279,16,39,16666
3332,15,39,16614
3357,18,36,16589
3393,19,37,16551
3441,20,39,16500
3494,17,41,16448
3541,15,45,16399
3580,18,44,16358
3618,18,43,16321
3646,19,41,16294
3683,16,40,16261
3723,17,38,16222
3767,20,39,16174
3809,23,42,16126
3845,25,42,16088
3887,22,46,16045
3922,23,39,16016
3963,21,41,15975
3996,24,42,15938
4023,30,43,15904
4051,26,49,15874
4082,27,52,15839
4141,29,47,15783
4184,27,46,15743
4215,30,49,15706
4255,27,46,15672
4294,25,43,15638
4337,20,45,15598
4365,29,43,15563
4396,35,43,15526
4428,30,55,15487
4469,30,56,15445
4496,36,57,15411
4527,44,58,15371
4557,46,65,15332
4595,48,63,15294
4625,53,69,15253
4656,57,71,15216
4683,50,84,15183
4713,50,87,15150
4742,55,83,15120
4784,55,79,15082
4821,56,86,15037
4845,63,86,15006
4871,57,89,14983
4896,54,95,14955
4929,54,100,14917
4957,62,93,14888
4974,62,93,14871
5001,59,100,14840
5034,50,107,14809
5048,61,103,14788
5080,62,108,14750
5105,69,112,14714
5122,74,114,14690
5140,82,121,14657
5173,80,122,14625
5188,72,134,14606
5199,73,142,14586
5228,72,159,14541
5243,81,162,14514
5254,85,164,14497
5269,96,159,14476
5281,101,169,14449
5279,127,172,14422
5295,120,182,14403
5300,124,193,14383
5319,125,194,14362
5314,136,204,14346
5317,145,213,14325
5337,135,214,14314
5328,137,242,14293
5311,162,243,14284
5302,158,255,14285
5282,174,254,14290
5263,184,277,14276
5252,193,297,14258
5217,220,315,14248
5187,218,339,14256
5175,219,349,14257
5145,238,362,14255
5121,237,386,14256
5098,239,391,14272
5082,260,395,14263
5056,256,419,14269
5050,256,440,14254
5022,265,467,14246
4966,302,476,14256
4935,282,501,14282
4876,306,519,14299
4839,301,538,14322
4787,327,558,14328
4722,350,572,14356
4669,361,569,14401
4608,383,602,14407
4557,377,637,14429
4479,402,656,14463
4413,405,688,14494
4339,427,712,14522
4264,438,714,14584
4198,441,739,14622
4135,421,782,14662
4069,408,810,14713
4021,400,795,14784
3960,424,803,14813
3880,451,794,14875
3810,459,818,14913
3754,426,839,14981
3687,422,849,15042
3635,416,860,15089
3593,391,873,15143
3513,400,878,15209
3468,414,868,15250
3408,420,875,15297
3349,431,880,15340
3307,437,881,15375
3256,433,875,15436
3197,412,902,15489
3149,400,910,15541
3112,381,914,15593
3077,391,900,15632
3029,387,897,15687
2979,400,892,15729
2963,359,881,15797
2937,359,883,15821
2904,377,841,15878
2868,376,833,15923
2856,343,826,15975
2865,323,806,16006
2850,319,791,16040
2822,312,793,16073
2816,320,769,16095
2802,327,732,16139
2806,301,714,16179
2799,305,704,16192
2787,310,694,16209
2791,312,666,16231
2825,285,670,16220
2818,273,669,16240
2807,287,651,16255
2824,291,628,16257
2835,291,615,16259
2864,293,616,16227
2881,270,610,16239
2880,277,591,16252
2912,272,587,16229
2920,246,595,16239
2934,235,588,16243
2954,227,580,16239
2959,244,560,16237
2986,246,538,16230
3003,231,549,16217
3031,217,536,16216
3047,215,537,16201
3062,218,522,16198
3087,218,514,16181
3101,226,507,16166
3125,232,510,16133
3146,244,499,16111
3188,238,493,16081
3201,237,496,16066
3229,222,509,16040
3251,227,502,16020
3274,225,492,16009
3300,224,495,15981
3325,232,481,15962
3372,226,479,15923
3406,215,477,15902
3458,205,468,15869
3491,193,469,15847
3512,190,494,15804
3527,200,483,15790
3562,189,473,15776
3576,199,457,15768
3615,203,447,15735
3636,203,431,15730
3663,205,422,15710
3692,189,434,15685
3713,205,430,15652
3746,203,441,15610
3785,201,454,15560
3791,214,452,15543
3800,220,445,15535
3817,229,457,15497
3846,235,448,15471
3865,232,467,15436
3869,251,458,15422
3867,254,473,15406
3870,277,469,15384
3922,256,485,15337
3932,261,489,15318
3950,261,489,15300
3966,271,477,15286
3952,293,478,15277
3982,272,503,15243
3995,278,488,15239
4008,277,510,15205
4016,290,512,15182
4016,271,531,15182
4017,276,527,15180
4036,280,533,15151
4032,287,544,15137
4019,298,554,15129
4026,285,584,15105
4019,288,586,15107
4009,321,566,15104
4009,319,570,15102
4026,301,593,15080
4010,326,591,15073
3978,344,612,15066
3977,334,633,15056
3955,346,641,15058
3947,346,666,15041
3925,363,660,15052
3913,363,677,15047
3863,382,702,15053
3851,367,712,15070
3842,368,697,15093
3837,384,701,15078
3812,392,713,15083
3786,393,713,15108
3788,366,733,15113
3773,352,745,15130
3740,376,768,15116
3735,369,794,15102
3718,378,792,15112
3717,381,781,15121
3712,391,794,15103
3687,395,799,15119
3659,405,810,15126
3667,375,811,15147
3624,389,813,15174
3609,402,799,15190
3584,406,801,15209
3553,407,807,15233
3525,399,832,15244
3481,424,819,15276
3489,401,833,15277
3454,404,853,15289
3439,414,863,15284
3422,411,870,15297
3391,418,863,15328
3382,396,874,15348
3343,413,851,15393
3312,405,880,15403
3297,399,881,15423
3286,402,874,15438
3250,395,863,15492
3225,386,860,15529
3207,375,867,15551
3204,373,853,15570
3208,386,829,15577
3231,362,823,15584
3245,345,817,15593
3226,359,805,15610
3228,353,787,15632
3246,322,791,15641
3242,336,780,15642
3258,348,761,15633
3263,345,736,15656
3266,327,742,15665
3247,342,733,15678
3260,328,743,15669
3242,335,731,15692
3228,346,744,15682
3244,341,754,15661
3245,320,752,15683
3254,314,741,15691
3241,319,734,15706
3231,327,743,15699
3224,338,724,15714
3216,340,710,15734
3242,339,700,15719
3238,352,701,15709
3227,356,707,15710
3254,346,714,15686
3265,341,714,15680
3281,333,711,15675
3286,348,702,15664
3298,333,717,15652
3289,339,711,15661
3279,332,724,15665
3285,317,719,15679
3286,312,713,15689
3300,299,711,15690
3320,298,702,15680
3339,312,699,15650
3342,320,701,15637
3332,324,700,15644
3368,309,683,15640
3358,311,664,15667
3384,315,658,15643
3408,304,658,15630
3424,298,655,15623
3424,291,650,15635
3442,291,639,15628
3451,296,652,15601
3456,306,642,15596
3456,300,637,15607
3461,312,631,15596
3474,314,640,15572
3494,279,656,15571
3499,289,640,15572
3518,296,629,15557
3529,305,614,15552
3532,301,639,15528
3533,313,632,15522
3531,328,618,15523
3557,309,639,15495
3561,316,637,15486
3560,326,633,15481
3566,309,643,15482
3583,312,636,15469
3615,297,634,15454
3621,303,644,15432
3626,323,638,15413
3634,325,660,15381
3610,332,666,15392
3614,314,685,15387
3620,318,693,15369
3610,346,670,15374
3629,321,691,15359
3618,333,684,15365
3618,315,713,15354
3617,320,726,15337
3593,322,738,15347
3584,332,695,15389
3605,338,668,15389
3609,331,669,15391
3610,328,655,15407
3602,335,686,15377
3601,348,659,15392
3588,324,649,15439
3601,318,654,15427
3608,330,653,15409
3605,321,648,15426
3614,327,653,15406
3598,320,655,15427
3600,330,672,15398
3582,355,672,15391
3618,337,664,15381
3621,348,659,15372
3625,341,647,15387
3610,315,668,15407
3607,325,650,15418
3591,359,637,15413
3609,351,658,15382
3595,353,652,15400
3583,354,669,15394
3578,347,675,15400
3578,327,687,15408
3591,331,681,15397
3564,363,661,15412
3559,359,661,15421
3565,367,668,15400
3566,359,675,15400
3554,360,666,15420
3585,345,689,15381
3599,337,695,15369
3608,334,712,15346
3581,331,712,15376
3531,358,702,15409
