S,E,I,R
19964,16,17,3
19945,31,19,5
19930,34,29,7
19899,51,36,14
19866,67,43,24
19817,94,58,31
19768,113,81,38
19706,143,100,51
19604,197,135,64
19468,276,181,75
19283,380,241,96
19067,482,324,127
18764,641,420,175
18348,875,550,227
17827,1161,715,297
17174,1489,955,382
16411,1849,1233,507
15441,2314,1584,661
14267,2850,2012,871
12854,3431,2562,1153
11373,3998,3125,1504
9770,4485,3844,1901
8222,4817,4531,2430
6609,5044,5344,3003
5173,5030,6085,3712
3978,4837,6670,4515
2996,4393,7259,5352
2240,3888,7578,6294
1690,3338,7656,7316
1252,2862,7586,8300
951,2359,7410,9280
710,1936,7139,10215
566,1554,6738,11142
449,1248,6307,11996
392,989,5814,12805
352,788,5290,13570
337,656,4783,14224
332,546,4310,14812
323,451,3900,15326
320,365,3521,15794
330,287,3148,16235
335,238,2804,16623
343,208,2471,16978
376,178,2174,17272
394,149,1969,17488
427,140,1770,17663
452,134,1546,17868
501,121,1378,18000
550,114,1239,18097
574,108,1092,18226
606,110,976,18308
646,100,872,18382
705,89,771,18435
748,71,705,18476
800,77,631,18492
854,66,563,18517
898,65,507,18530
939,71,462,18528
990,66,415,18529
1029,57,370,18544
1092,54,333,18521
1137,51,295,18517
1205,41,269,18485
1248,41,225,18486
1318,33,209,18440
1362,32,191,18415
1409,32,180,18379
1463,25,159,18353
1535,31,141,18293
1585,28,136,18251
1634,29,123,18214
1689,29,110,18172
1749,22,111,18118
1813,20,94,18073
1865,23,75,18037
1914,20,73,17993
1983,14,72,17931
2045,14,68,17873
2102,12,69,17817
2148,14,60,17778
2198,18,57,17727
2249,18,51,17682
2305,19,53,17623
2367,24,51,17558
2420,22,49,17509
2478,20,53,17449
2518,21,50,17411
2589,19,42,17350
2640,22,40,17298
2697,20,38,17245
2743,22,36,17199
2804,19,37,17140
2851,17,43,17089
2902,19,46,17033
2950,22,43,16985
3012,18,40,16930
3055,19,44,16882
3100,15,44,16841
3147,16,38,16799
3199,17,37,16747
3252,20,34,16694
3301,17,34,16648
3352,18,36,16594
3395,22,36,16547
3445,20,32,16503
3493,15,36,16456
3536,15,37,16412
3582,16,40,16362
3634,18,45,16303
3691,18,44,16247
3739,17,45,16199
3780,20,44,16156
3815,21,42,16122
3857,24,36,16083
3885,26,40,16049
3917,27,45,16011
3959,24,53,15964
4004,22,53,15921
4036,25,54,15885
4071,28,56,15845
4097,29,59,15815
4131,31,60,15778
4162,30,63,15745
4204,33,64,15699
4237,40,66,15657
4284,38,69,15609
4312,41,69,15578
4347,45,70,15538
4379,48,74,15499
4403,48,84,15465
4442,50,79,15429
4467,53,83,15397
4489,55,95,15361
4529,53,97,15321
4567,52,102,15279
4576,66,93,15265
4602,59,106,15233
4633,56,111,15200
4657,47,120,15176
4680,58,119,15143
4685,74,122,15119
4693,67,139,15101
4701,89,135,15075
4721,94,141,15044
4732,98,148,15022
4746,102,153,14999
4747,121,163,14969
4758,121,163,14958
4784,111,178,14927
4787,120,189,14904
4801,122,198,14879
4798,125,206,14871
4811,118,217,14854
4814,117,215,14854
4827,131,210,14832
4823,143,218,14816
4837,137,225,14801
4854,124,242,14780
4857,141,243,14759
4857,141,250,14752
4846,149,267,14738
4824,165,280,14731
4819,173,292,14716
4816,185,289,14710
4806,177,305,14712
4793,199,308,14700
4797,211,315,14677
4799,194,335,14672
4789,190,344,14677
4765,191,362,14682
4764,191,371,14674
4736,200,385,14679
4727,208,385,14680
4694,228,399,14679
4665,233,413,14689
4650,231,416,14703
4617,254,417,14712
4583,254,423,14740
4541,254,450,14755
4515,263,464,14758
4472,265,492,14771
4424,289,496,14791
4405,285,505,14805
4372,291,507,14830
4340,301,522,14837
4300,296,547,14857
4258,309,559,14874
4234,321,575,14870
4170,318,601,14911
4128,318,617,14937
4110,304,626,14960
4058,310,638,14994
4025,318,619,15038
3968,343,624,15065
3928,326,652,15094
3879,339,651,15131
3844,340,648,15168
3800,346,655,15199
3760,345,671,15224
3736,335,697,15232
3699,323,709,15269
3649,332,709,15310
3624,324,702,15350
3565,349,706,15380
3542,335,716,15407
3514,332,693,15461
3480,351,671,15498
3467,345,666,15522
3434,344,694,15528
3412,344,702,15542
3390,337,697,15576
3360,339,683,15618
3325,334,695,15646
3308,318,703,15671
3268,321,708,15703
3256,299,722,15723
