S,E,I,R
19966,14,19,1
19948,24,24,4
19931,35,28,6
19908,47,33,12
19873,71,41,15
19825,102,55,18
19762,137,74,27
19674,183,111,32
19554,261,139,46
19410,332,192,66
19178,459,276,87
18923,587,360,130
18570,777,482,171
18110,1013,632,245
17531,1336,813,320
16785,1699,1080,436
15855,2136,1418,591
14729,2673,1807,791
13403,3230,2309,1058
11913,3794,2952,1341
10335,4256,3683,1726
8701,4654,4432,2213
7069,4951,5181,2799
5627,5032,5874,3467
4335,4897,6536,4232
3389,4464,7070,5077
2546,4025,7448,5981
1909,3506,7563,7022
1435,3068,7524,7973
1081,2566,7408,8945
817,2146,7113,9924
662,1701,6765,10872
544,1335,6380,11741
457,1077,5925,12541
398,870,5403,13329
368,701,4931,14000
349,549,4510,14592
331,431,4087,15151
319,355,3669,15657
314,325,3256,16105
321,279,2907,16493
339,237,2581,16843
348,201,2341,17110
381,164,2091,17364
397,144,1874,17585
438,131,1657,17774
468,129,1474,17929
498,120,1319,18063
524,114,1185,18177
565,96,1051,18288
610,85,925,18380
654,84,826,18436
714,78,735,18473
766,63,667,18504
805,49,593,18553
868,54,525,18553
934,51,453,18562
990,54,384,18572
1056,56,342,18546
1113,56,319,18512
1177,41,303,18479
1235,38,272,18455
1306,36,239,18419
1354,41,217,18388
1407,34,194,18365
1468,30,167,18335
1546,35,149,18270
1603,35,130,18232
1656,40,116,18188
1717,34,111,18138
1768,30,103,18099
1822,24,96,18058
1883,24,79,18014
1930,22,74,17974
1993,16,74,17917
2039,11,68,17882
2111,11,65,17813
2170,9,57,17764
2211,9,49,17731
2267,9,41,17683
2317,15,37,17631
2359,18,37,17586
2416,16,32,17536
2466,13,34,17487
2534,12,33,17421
2592,12,34,17362
2643,14,26,17317
2690,14,24,17272
2737,15,24,17224
2799,11,27,17163
2851,9,26,17114
2907,10,25,17058
2969,8,19,17004
3009,4,21,16966
3050,4,22,16924
3115,2,19,16864
3161,5,15,16819
3209,8,16,16767
