S,E,I,R
19969,11,18,2
19945,32,18,5
19927,43,22,8
19909,49,31,11
19883,65,39,13
19837,92,52,19
19774,130,69,27
19714,153,100,33
19611,214,134,41
19480,276,188,56
19275,406,247,72
19039,525,330,106
18721,682,446,151
18325,870,600,205
17773,1189,765,273
17107,1511,1026,356
16266,1924,1309,501
15224,2428,1670,678
14049,2878,2155,918
12641,3520,2643,1196
11108,4031,3315,1546
9503,4492,4001,2004
7860,4846,4734,2560
6252,5077,5442,3229
4922,4977,6161,3940
3766,4710,6785,4739
2867,4241,7210,5682
2164,3769,7446,6621
1625,3239,7567,7569
1223,2775,7430,8572
935,2311,7188,9566
752,1857,6929,10462
612,1498,6622,11268
513,1200,6103,12184
454,950,5640,12956
390,767,5126,13717
374,625,4619,14382
362,525,4180,14933
348,430,3791,15431
350,369,3412,15869
349,316,3080,16255
360,244,2741,16655
376,210,2402,17012
405,191,2091,17313
441,148,1872,17539
479,140,1627,17754
516,124,1442,17918
558,117,1303,18022
598,107,1163,18132
640,96,1056,18208
666,103,942,18289
700,98,847,18355
740,89,760,18411
803,90,675,18432
841,84,591,18484
882,78,524,18516
929,71,467,18533
1005,52,416,18527
1057,48,357,18538
1111,37,331,18521
1178,34,299,18489
1248,39,257,18456
1306,39,237,18418
1354,38,215,18393
1408,41,189,18362
1456,38,170,18336
1506,32,157,18305
1561,33,136,18270
1606,30,131,18233
1662,32,117,18189
1711,29,111,18149
1774,26,103,18097
1835,30,94,18041
1882,29,94,17995
1932,22,98,17948
1994,17,94,17895
2048,17,84,17851
2097,15,75,17813
2148,14,72,17766
2188,15,60,17737
2237,14,56,17693
2280,11,55,17654
2339,8,52,17601
2397,9,46,17548
2469,7,43,17481
2529,10,36,17425
2586,11,26,17377
2630,9,25,17336
2682,8,25,17285
2735,10,19,17236
2794,9,19,17178
2848,8,18,17126
2894,7,15,17084
2933,9,12,17046
2999,8,13,16980
3052,7,14,16927
3106,6,14,16874
3153,7,13,16827
3200,7,16,16777
3263,5,15,16717
3305,6,15,16674
3352,5,18,16625
3386,4,19,16591
3434,5,14,16547
3483,7,15,16495
3520,3,20,16457
3555,6,16,16423
3601,5,16,16378
3656,8,14,16322
3694,8,11,16287
3747,8,8,16237
3787,9,7,16197
3837,7,8,16148
3873,8,8,16111
3918,8,8,16066
3964,7,9,16020
4012,7,8,15973
4063,4,11,15922
4097,3,14,15886
4140,7,13,15840
4183,8,12,15797
4226,8,9,15757
4263,4,13,15720
4303,4,12,15681
4351,6,10,15633
4390,6,9,15595
4436,6,8,15550
4482,6,10,15502
4526,6,12,15456
4561,6,13,15420
4597,6,13,15384
4635,7,9,15349
4690,7,10,15293
4737,8,9,15246
4783,8,8,15201
4827,6,11,15156
4880,6,10,15104
4921,8,10,15061
4960,8,8,15024
4991,7,8,14994
5034,7,10,14949
5071,10,10,14909
5110,9,9,14872
5164,6,12,14818
5203,9,14,14774
5234,10,12,14744
5265,11,13,14711
5299,9,16,14676
5338,11,12,14639
5375,10,11,14604
5414,10,12,14564
5454,14,11,14521
5501,15,11,14473
5528,10,16,14446
5556,12,17,14415
5596,12,18,14374
5622,13,18,14347
5641,14,18,14327
5677,14,19,14290
5718,13,21,14248
5751,12,21,14216
5788,10,22,14180
5827,8,23,14142
5858,13,24,14105
5909,14,23,14054
5936,18,24,14022
5965,21,23,13991
5993,22,28,13957
6019,21,30,13930
6044,22,39,13895
6076,30,42,13852
6094,28,52,13826
6115,35,55,13795
6144,34,61,13761
6161,45,60,13734
6194,44,63,13699
6239,39,66,13656
6259,45,73,13623
6281,50,76,13593
6296,64,79,13561
6328,66,85,13521
6343,70,92,13495
6355,70,107,13468
6350,83,108,13459
6363,73,126,13438
6374,84,135,13407
6376,92,143,13389
6381,108,142,13369
6374,100,169,13357
6376,109,176,13339
6350,140,185,13325
6333,144,203,13320
6324,158,209,13309
6286,189,201,13324
6251,207,229,13313
6241,203,256,13300
6211,216,269,13304
6175,234,288,13303
6132,242,309,13317
6079,258,326,13337
6049,263,355,13333
6010,263,379,13348
5973,268,396,13363
5922,287,413,13378
5873,302,437,13388
5821,306,464,13409
5745,338,491,13426
5677,366,517,13440
5581,377,565,13477
5498,408,584,13510
5433,402,605,13560
5341,426,642,13591
5249,437,682,13632
5148,467,720,13665
5051,482,749,13718
4929,500,785,13786
4804,527,819,13850
4705,527,846,13922
4590,563,874,13973
4510,542,904,14044
4395,532,922,14151
4294,532,948,14226
4192,528,955,14325
4094,539,966,14401
4008,520,997,14475
3930,508,977,14585
3823,513,1004,14660
3716,516,993,14775
3650,494,1016,14840
3568,511,992,14929
3506,501,973,15020
3424,523,974,15079
3354,519,987,15140
3285,505,971,15239
3192,491,977,15340
3118,479,986,15417
3077,455,995,15473
3009,462,977,15552
2936,433,1002,15629
2893,423,974,15710
2857,404,967,15772
2809,419,952,15820
2768,411,944,15877
2752,399,925,15924
2727,396,914,15963
2716,373,893,16018
2691,357,874,16078
2663,346,865,16126
2628,342,852,16178
2626,330,824,16220
2589,329,801,16281
2604,312,763,16321
2593,298,755,16354
2582,288,759,16371
2589,278,742,16391
2577,264,725,16434
2589,247,725,16439
2616,242,686,16456
2641,237,657,16465
2641,251,611,16497
2642,237,580,16541
2659,233,567,16541
2690,220,554,16536
2719,206,541,16534
2743,183,548,16526
2775,182,528,16515
2789,189,511,16511
2828,188,487,16497
2858,194,461,16487
2909,186,450,16455
2968,158,451,16423
3004,170,430,16396
3016,183,426,16375
3062,178,409,16351
3114,173,402,16311
3150,186,378,16286
3188,164,393,16255
3209,158,405,16228
3252,164,386,16198
3286,167,384,16163
3342,165,382,16111
3401,168,379,16052
3442,167,375,16016
3482,165,360,15993
3530,156,352,15962
3560,158,348,15934
3596,161,348,15895
3645,148,343,15864
3682,151,333,15834
3725,159,330,15786
3771,164,326,15739
3814,164,327,15695
3846,177,324,15653
3871,172,333,15624
3916,175,330,15579
3948,174,339,15539
3987,185,325,15503
4021,190,327,15462
4027,199,342,15432
4056,229,326,15389
4093,221,344,15342
4113,211,368,15308
4126,203,389,15282
4158,204,386,15252
4146,228,389,15237
4154,219,404,15223
4158,226,414,15202
4161,224,435,15180
4176,224,426,15174
4193,228,434,15145
4224,218,444,15114
4228,232,444,15096
4226,245,451,15078
4226,258,467,15049
4235,262,477,15026
4206,288,490,15016
4210,285,511,14994
4233,282,524,14961
4237,300,516,14947
4254,302,533,14911
4235,308,536,14921
4232,313,541,14914
4231,327,533,14909
4239,333,546,14882
4229,324,568,14879
4217,340,556,14887
4201,341,584,14874
4170,365,596,14869
4156,379,593,14872
4168,345,624,14863
4143,367,619,14871
4126,368,618,14888
4130,353,632,14885
4097,371,652,14880
4080,368,665,14887
4073,371,682,14874
4077,356,683,14884
4024,368,707,14901
4036,353,717,14894
4013,369,717,14901
3990,380,719,14911
3975,357,718,14950
3978,333,735,14954
3962,349,738,14951
3943,366,741,14950
3909,384,741,14966
3895,382,746,14977
3872,400,751,14977
3859,385,757,14999
3847,398,763,14992
3802,397,792,15009
3759,427,794,15020
3717,435,819,15029
3684,429,825,15062
3650,418,827,15105
3644,415,810,15131
3613,416,798,15173
3603,404,808,15185
3595,399,802,15204
3587,407,807,15199
3580,399,786,15235
3550,408,793,15249
3537,407,795,15261
3510,417,794,15279
3500,411,773,15316
3469,415,771,15345
3467,388,764,15381
3459,399,778,15364
3423,393,809,15375
3415,380,831,15374
3391,361,834,15414
3389,377,812,15422
3380,392,783,15445
3385,384,796,15435
3375,373,804,15448
3355,379,805,15461
3337,382,810,15471
3361,360,816,15463
3341,364,813,15482
3326,362,796,15516
3350,352,792,15506
3334,349,779,15538
3316,380,742,15562
3315,377,742,15566
3307,398,747,15548
3297,397,738,15568
3303,373,754,15570
3321,356,768,15555
3323,364,755,15558
3326,357,749,15568
3345,335,750,15570
3361,335,732,15572
3330,348,747,15575
3336,343,731,15590
3319,362,717,15602
3305,381,733,15581
3300,371,747,15582
3321,360,743,15576
3343,357,739,15561
3344,347,732,15577
3363,346,704,15587
3375,339,700,15586
3384,335,680,15601
3380,348,671,15601
3384,355,666,15595
3389,335,689,15587
3397,319,705,15579
3393,344,683,15580
3372,352,682,15594
3396,328,681,15595
3422,316,674,15588
3454,312,660,15574
3455,314,661,15570
3461,310,671,15558
3477,297,652,15574
3480,294,658,15568
3478,305,643,15574
3471,328,619,15582
3472,327,619,15582
3482,308,646,15564
3450,320,650,15580
3458,304,666,15572
3462,306,666,15566
3456,315,656,15573
3466,320,645,15569
3467,341,649,15543
3469,352,641,15538
3467,353,632,15548
3469,335,653,15543
3498,316,641,15545
3517,331,624,15528
3518,346,628,15508
3533,339,627,15501
3540,338,641,15481
3557,325,652,15466
3554,315,656,15475
3556,313,655,15476
3590,308,647,15455
3598,286,651,15465
3583,308,635,15474
3604,293,627,15476
3588,306,622,15484
3599,296,616,15489
3623,296,621,15460
3632,300,610,15458
3626,304,591,15479
3657,297,593,15453
3660,314,585,15441
3684,299,585,15432
3696,289,582,15433
3695,307,572,15426
3731,310,571,15388
3756,309,571,15364
3769,293,590,15348
3775,285,597,15343
3804,279,581,15336
3827,278,588,15307
3819,294,597,15290
3826,305,613,15256
3832,310,605,15253
3860,295,612,15233
3842,299,630,15229
3820,334,607,15239
3830,329,634,15207
3844,309,648,15199
3815,323,651,15211
3808,334,647,15211
3804,343,654,15199
3806,328,652,15214
3821,324,645,15210
3819,344,645,15192
3827,327,667,15179
3778,377,642,15203
3754,368,665,15213
3764,340,683,15213
3757,346,682,15215
3732,363,676,15229
3739,356,671,15234
