S,E,I,R
19965,15,19,1
19945,30,22,3
19928,39,25,8
19911,48,32,9
19890,62,35,13
19854,72,56,18
19803,98,71,28
19741,127,94,38
19647,180,127,46
19533,245,163,59
19369,342,206,83
19149,466,269,116
18847,626,379,148
18434,876,489,201
17937,1122,684,257
17315,1432,905,348
16537,1801,1215,447
15555,2267,1574,604
14404,2764,1998,834
13113,3314,2466,1107
11629,3920,3020,1431
10015,4413,3756,1816
8425,4788,4431,2356
6889,5003,5128,2980
5498,4978,5849,3675
4218,4856,6497,4429
3174,4527,7001,5298
2386,4024,7336,6254
1806,3499,7433,7262
1389,2935,7465,8211
1063,2430,7309,9198
814,2049,6979,10158
642,1658,6626,11074
529,1338,6225,11908
449,1097,5749,12705
388,856,5326,13430
354,684,4873,14089
363,535,4375,14727
347,438,3911,15304
351,349,3522,15778
338,298,3154,16210
352,269,2799,16580
387,217,2493,16903
400,178,2207,17215
433,164,1925,17478
464,140,1710,17686
508,134,1484,17874
559,124,1322,17995
614,95,1190,18101
639,101,1048,18212
691,94,940,18275
745,95,825,18335
813,99,711,18377
873,86,639,18402
913,88,572,18427
967,84,527,18422
1013,74,477,18436
1058,72,434,18436
1099,78,379,18444
1150,76,340,18434
1189,77,306,18428
1242,66,283,18409
1292,55,260,18393
1361,57,234,18348
1425,42,227,18306
1487,43,206,18264
1550,36,191,18223
1614,30,173,18183
1673,29,147,18151
1731,37,132,18100
1777,43,121,18059
1825,35,118,18022
1868,32,109,17991
1923,24,106,17947
1974,23,93,17910
2029,29,91,17851
2082,29,89,17800
2134,21,81,17764
2200,24,67,17709
2261,21,66,17652
2303,25,58,17614
2352,22,57,17569
2404,20,55,17521
2458,17,55,17470
2508,15,58,17419
2564,14,56,17366
2612,18,52,17318
2656,16,54,17274
2720,18,48,17214
2781,9,48,17162
2837,9,45,17109
2876,12,38,17074
2921,15,34,17030
2970,9,35,16986
3019,7,37,16937
3067,10,34,16889
3113,13,33,16841
3160,13,34,16793
3208,12,31,16749
3260,11,30,16699
3313,13,30,16644
3362,14,30,16594
3395,21,32,16552
3447,26,32,16495
3487,24,34,16455
3543,21,31,16405
3590,19,31,16360
3630,25,31,16314
3668,24,30,16278
3714,26,33,16227
3763,19,40,16178
3801,17,41,16141
3853,13,43,16091
3897,22,41,16040
3939,21,41,15999
3989,23,43,15945
4022,21,42,15915
4060,24,39,15877
4101,28,41,15830
4134,27,48,15791
4177,24,44,15755
4220,20,41,15719
4241,22,47,15690
4283,23,44,15650
4320,21,50,15609
4346,25,48,15581
4388,26,48,15538
4426,30,49,15495
4457,27,51,15465
4485,27,53,15435
4523,25,54,15398
4547,31,48,15374
4587,32,51,15330
4623,29,55,15293
4661,31,55,15253
4689,35,58,15218
4725,36,64,15175
4766,33,60,15141
4812,28,66,15094
4855,27,73,15045
4891,31,68,15010
4929,31,70,14970
4964,30,67,14939
5000,30,64,14906
5041,29,58,14872
5080,33,54,14833
5107,41,53,14799
5144,43,54,14759
5186,40,61,14713
5217,45,68,14670
5250,43,68,14639
5280,43,63,14614
5292,53,72,14583
5336,47,74,14543
5364,50,70,14516
5386,53,69,14492
5408,52,70,14470
5439,46,74,14441
5474,52,71,14403
5506,46,84,14364
5545,46,90,14319
5573,47,100,14280
5593,53,96,14258
5611,60,91,14238
5644,62,95,14199
5659,73,99,14169
5672,76,111,14141
5687,75,117,14121
5695,83,128,14094
5692,94,138,14076
5711,91,145,14053
5724,105,141,14030
5716,113,159,14012
5717,125,173,13985
5713,121,196,13970
5699,147,210,13944
5694,151,223,13932
5684,162,238,13916
5687,161,237,13915
5680,162,240,13918
5675,168,235,13922
5661,170,254,13915
5654,177,259,13910
5644,188,265,13903
5631,211,257,13901
5628,201,289,13882
5623,202,297,13878
5597,204,326,13873
5561,222,341,13876
5518,240,349,13893
5492,248,367,13893
5435,283,380,13902
5415,283,403,13899
5357,295,434,13914
5306,310,445,13939
5257,289,497,13957
5202,304,513,13981
5146,312,537,14005
5103,320,545,14032
5054,332,539,14075
4976,357,556,14111
4921,370,580,14129
4838,387,608,14167
4766,402,626,14206
4715,405,641,14239
4647,398,682,14273
4571,418,702,14309
4504,418,735,14343
4426,415,756,14403
4340,442,788,14430
4256,474,787,14483
4180,474,810,14536
4086,491,822,14601
4001,510,862,14627
3930,497,891,14682
3868,497,891,14744
3778,507,920,14795
3709,488,942,14861
3601,489,971,14939
3514,497,986,15003
3441,486,970,15103
3387,490,947,15176
3335,468,962,15235
3265,474,939,15322
3207,463,953,15377
3170,438,935,15457
3121,437,926,15516
3081,410,919,15590
3072,391,905,15632
3033,377,874,15716
3004,361,859,15776
2976,350,838,15836
2952,338,845,15865
2922,347,819,15912
2889,353,801,15957
2872,350,782,15996
2888,317,779,16016
2854,330,759,16057
2852,339,717,16092
2844,347,702,16107
2851,308,700,16141
2862,289,685,16164
2880,272,680,16168
2908,250,662,16180
2938,245,606,16211
2964,242,585,16209
2986,243,559,16212
2975,243,581,16201
2992,228,596,16184
3018,247,588,16147
3021,249,575,16155
3034,248,570,16148
3043,246,559,16152
3076,230,554,16140
3107,211,540,16142
3145,220,524,16111
3163,214,511,16112
3170,226,493,16111
3191,213,491,16105
3214,207,478,16101
3219,213,479,16089
3250,210,472,16068
3279,202,473,16046
3299,211,455,16035
3336,204,441,16019
3352,202,427,16019
3383,183,437,15997
3401,187,447,15965
3431,196,460,15913
3467,202,455,15876
3474,216,437,15873
3487,229,432,15852
3512,233,443,15812
3528,244,444,15784
3555,255,434,15756
3569,232,464,15735
3585,240,449,15726
3617,224,457,15702
3639,217,451,15693
3661,224,451,15664
3686,227,454,15633
3718,229,442,15611
3740,224,445,15591
3790,220,439,15551
3810,212,434,15544
3830,218,434,15518
3855,215,428,15502
3877,200,441,15482
3904,218,422,15456
3957,213,423,15407
3963,232,436,15369
3982,234,427,15357
4002,255,428,15315
4024,252,442,15282
4056,244,442,15258
4057,249,461,15233
4074,250,477,15199
4096,248,483,15173
4123,246,503,15128
4126,252,505,15117
4111,262,502,15125
4100,265,509,15126
4087,282,516,15115
4086,286,510,15118
4076,301,515,15108
4099,299,522,15080
4099,315,517,15069
4085,328,523,15064
4102,309,532,15057
4095,306,553,15046
4098,310,568,15024
4101,318,583,14998
4103,326,582,14989
4082,343,586,14989
4098,334,605,14963
4080,338,612,14970
4067,351,629,14953
4070,351,631,14948
4054,357,642,14947
4036,348,644,14972
4035,330,659,14976
4029,346,665,14960
4012,341,676,14971
3996,336,678,14990
3993,339,681,14987
3974,348,693,14985
3972,348,680,15000
3933,371,694,15002
3922,382,686,15010
3909,349,707,15035
3905,341,711,15043
3885,365,699,15051
3861,381,693,15065
3854,369,708,15069
3832,368,721,15079
3847,358,717,15078
3821,356,721,15102
3789,371,716,15124
3767,368,735,15130
3718,390,727,15165
3702,381,733,15184
3701,390,744,15165
3693,384,756,15167
3670,384,777,15169
3639,409,778,15174
3630,410,800,15160
3636,392,788,15184
3632,382,776,15210
3629,383,755,15233
3610,383,783,15224
3584,396,787,15233
3567,399,785,15249
3524,422,791,15263
3506,420,811,15263
3495,411,808,15286
3481,422,824,15273
3453,423,819,15305
3449,404,812,15335
3439,407,791,15363
3434,410,794,15362
3433,396,790,15381
3420,386,791,15403
3399,410,769,15422
3393,397,784,15426
3373,372,804,15451
3369,370,798,15463
3357,390,772,15481
3358,378,771,15493
3355,360,782,15503
3372,350,781,15497
3362,370,760,15508
3383,352,752,15513
3386,346,757,15511
3385,352,756,15507
3394,351,743,15512
3410,349,737,15504
3424,363,722,15491
3439,339,736,15486
3451,347,728,15474
3464,329,741,15466
3467,340,734,15459
3464,348,749,15439
3481,348,751,15420
3464,358,753,15425
3458,360,747,15435
3480,336,735,15449
