S,E,I,R
19967,13,15,5
19959,15,20,6
19942,28,19,11
19927,37,24,12
19911,45,25,19
19883,59,40,18
19836,92,48,24
19782,121,63,34
19725,144,85,46
19612,208,127,53
19476,299,158,67
19316,379,215,90
19087,505,291,117
18786,684,380,150
18410,853,528,209
17895,1115,713,277
17234,1436,980,350
16401,1832,1307,460
15333,2417,1628,622
14124,2919,2113,844
12772,3449,2660,1119
11225,4021,3277,1477
9585,4558,3907,1950
7984,4853,4697,2466
6472,4964,5475,3089
5112,4934,6144,3810
3906,4772,6739,4583
2967,4362,7211,5460
2208,3890,7444,6458
1678,3371,7474,7477
1235,2857,7457,8451
968,2331,7261,9440
765,1877,7000,10358
615,1523,6602,11260
485,1271,6153,12091
430,1021,5698,12851
383,809,5239,13569
369,631,4808,14192
352,512,4372,14764
341,415,3976,15268
336,347,3598,15719
343,283,3209,16165
346,245,2837,16572
366,218,2525,16891
382,188,2241,17189
403,157,2022,17418
442,139,1789,17630
477,124,1588,17811
514,109,1433,17944
548,104,1255,18093
584,112,1092,18212
634,107,973,18286
664,103,891,18342
713,92,813,18382
765,74,738,18423
823,60,660,18457
861,66,585,18488
913,67,528,18492
962,61,495,18482
1009,67,435,18489
1074,44,387,18495
1122,41,337,18500
1186,35,289,18490
1229,45,261,18465
1284,34,247,18435
1338,32,213,18417
1388,31,183,18398
1442,30,164,18364
1500,24,147,18329
1553,23,136,18288
1620,24,121,18235
1680,25,107,18188
1742,21,91,18146
1814,20,79,18087
1879,20,73,18028
1927,14,78,17981
1978,16,72,17934
2035,11,73,17881
2083,13,60,17844
2136,15,51,17798
2183,21,49,17747
2238,20,45,17697
2299,17,47,17637
2358,14,49,17579
2413,12,41,17534
2470,16,40,17474
2527,16,43,17414
2579,16,39,17366
2614,21,38,17327
2662,16,39,17283
2704,19,36,17241
2750,16,35,17199
2804,15,33,17148
2842,15,31,17112
2895,8,36,17061
2948,8,32,17012
2997,10,29,16964
3048,8,27,16917
3092,12,24,16872
3163,8,23,16806
3215,7,21,16757
3255,8,21,16716
3290,10,21,16679
3345,11,20,16624
3400,13,19,16568
3452,12,21,16515
3493,10,21,16476
3532,11,22,16435
