S,E,I,R
19956,24,19,1
19948,28,20,4
19929,42,24,5
19903,58,32,7
19868,76,44,12
19821,105,57,17
19770,127,74,29
19691,169,101,39
19583,222,144,51
19444,298,193,65
19245,409,256,90
19005,534,327,134
18699,684,438,179
18275,901,584,240
17741,1168,781,310
17086,1486,1011,417
16259,1887,1299,555
15165,2420,1690,725
13909,2982,2176,933
12485,3569,2761,1185
10885,4133,3473,1509
9294,4600,4160,1946
7643,4929,4940,2488
6163,4996,5713,3128
4748,4982,6417,3853
3636,4724,6903,4737
2755,4271,7297,5677
2079,3750,7492,6679
1541,3200,7636,7623
1162,2690,7589,8559
895,2210,7346,9549
697,1778,7017,10508
544,1433,6596,11427
454,1174,6066,12306
391,906,5658,13045
372,713,5138,13777
335,597,4665,14403
325,463,4215,14997
326,373,3789,15512
340,314,3357,15989
345,273,3013,16369
358,243,2648,16751
383,200,2367,17050
403,175,2106,17316
440,165,1847,17548
461,147,1652,17740
499,134,1465,17902
526,107,1331,18036
546,111,1171,18172
584,96,1059,18261
644,86,933,18337
688,77,827,18408
745,71,696,18488
796,69,626,18509
841,72,549,18538
900,64,487,18549
940,67,433,18560
982,65,390,18563
1043,60,349,18548
1101,52,316,18531
1152,49,274,18525
1205,43,240,18512
1251,50,218,18481
1311,48,201,18440
1366,40,187,18407
1437,41,166,18356
1497,31,157,18315
1563,31,136,18270
1619,34,126,18221
1688,22,118,18172
1745,27,107,18121
1805,25,104,18066
1863,27,93,18017
1908,25,92,17975
1968,22,91,17919
2016,27,79,17878
2087,21,85,17807
2155,20,81,17744
2214,22,76,17688
2282,24,71,17623
2310,23,72,17595
2368,18,73,17541
2425,19,68,17488
2466,20,61,17453
2513,19,52,17416
2559,23,48,17370
2607,18,49,17326
2668,24,45,17263
2724,27,48,17201
2787,24,48,17141
2828,26,47,17099
2870,25,50,17055
2921,24,57,16998
2955,24,59,16962
3007,23,54,16916
3057,29,51,16863
3105,27,51,16817
3161,27,50,16762
3218,28,48,16706
3267,30,44,16659
3312,23,50,16615
3360,22,48,16570
3403,18,49,16530
3457,18,51,16474
3501,16,46,16437
3557,17,44,16382
3600,18,42,16340
3643,17,36,16304
3686,19,34,16261
3731,17,33,16219
3789,16,30,16165
3842,16,31,16111
3893,9,39,16059
3931,17,34,16018
3973,18,31,15978
4031,17,32,15920
4081,14,37,15868
4118,17,35,15830
4150,16,37,15797
4196,20,32,15752
4248,24,30,15698
4294,19,34,15653
4328,17,37,15618
4361,15,39,15585
4390,21,40,15549
4441,21,38,15500
4485,24,38,15453
4529,24,36,15411
4570,23,37,15370
4612,24,39,15325
4644,26,35,15295
4685,25,35,15255
4723,23,39,15215
4759,25,40,15176
4796,27,42,15135
4831,26,46,15097
4857,30,41,15072
4893,28,43,15036
4943,23,43,14991
4962,27,45,14966
5001,27,50,14922
5038,31,52,14879
5072,33,55,14840
5103,36,58,14803
5138,33,61,14768
5172,34,59,14735
5197,39,64,14700
5230,41,67,14662
5258,48,61,14633
5284,47,69,14600
5316,47,67,14570
5354,49,72,14525
5374,51,79,14496
5390,54,79,14477
5416,46,84,14454
5433,48,91,14428
5454,57,89,14400
5476,59,98,14367
5502,71,92,14335
5515,77,98,14310
5539,73,103,14285
5557,84,108,14251
5577,78,121,14224
5584,87,124,14205
5607,94,128,14171
5623,97,134,14146
5646,101,137,14116
5666,92,154,14088
5676,96,167,14061
5683,111,176,14030
5685,118,178,14019
5700,124,171,14005
5689,135,183,13993
5687,132,208,13973
5682,141,203,13974
5672,155,208,13965
5678,155,228,13939
5656,174,242,13928
5632,171,251,13946
5617,189,262,13932
5597,202,294,13907
5571,208,309,13912
5544,215,326,13915
5513,229,338,13920
5495,226,357,13922
5444,244,373,13939
5397,259,401,13943
5360,272,425,13943
5313,263,454,13970
5267,280,476,13977
5193,310,508,13989
5117,343,505,14035
5047,360,547,14046
4965,394,562,14079
4910,403,589,14098
4820,417,629,14134
4744,429,666,14161
4637,451,697,14215
4564,451,713,14272
4482,459,736,14323
4398,455,756,14391
4310,428,815,14447
4215,457,809,14519
4147,447,830,14576
4084,433,840,14643
4012,451,862,14675
3942,447,877,14734
3882,437,906,14775
3808,449,897,14846
3717,457,913,14913
3640,453,916,14991
3582,438,917,15063
3510,444,918,15128
3447,429,934,15190
3395,450,918,15237
3355,447,915,15283
3297,440,930,15333
3263,418,934,15385
3195,443,928,15434
3142,442,930,15486
3080,430,945,15545
3045,418,969,15568
3000,418,961,15621
2966,397,977,15660
2943,359,963,15735
2920,359,940,15781
2891,349,933,15827
2856,355,903,15886
2831,349,869,15951
2799,366,846,15989
2790,367,817,16026
2763,358,830,16049
2741,343,817,16099
2733,312,830,16125
2720,333,794,16153
2705,333,784,16178
2682,311,787,16220
2693,311,740,16256
2696,291,720,16293
2703,265,711,16321
2713,267,673,16347
2723,255,645,16377
2737,242,631,16390
2762,244,620,16374
2794,230,601,16375
2813,223,582,16382
2848,237,544,16371
2861,234,527,16378
2898,236,508,16358
2919,226,512,16343
2942,206,522,16330
2973,197,513,16317
3007,191,496,16306
3027,201,486,16286
3071,211,450,16268
3106,212,448,16234
3149,193,450,16208
3188,180,443,16189
3228,178,435,16159
3257,192,429,16122
3314,181,415,16090
3351,175,404,16070
3411,176,387,16026
3441,185,405,15969
3496,174,393,15937
3530,183,378,15909
3564,181,371,15884
3625,169,368,15838
3649,180,371,15800
3700,161,380,15759
3745,154,373,15728
3785,161,360,15694
3836,171,353,15640
3851,198,352,15599
3870,200,372,15558
3900,199,381,15520
3938,190,373,15499
3979,201,382,15438
3998,210,381,15411
4034,209,389,15368
4082,205,385,15328
4109,207,385,15299
4128,215,371,15286
4155,195,390,15260
4197,170,402,15231
4218,187,414,15181
4254,186,420,15140
4248,219,407,15126
4276,218,403,15103
4296,212,415,15077
4315,217,424,15044
4334,215,431,15020
4345,229,420,15006
4359,240,418,14983
4372,245,420,14963
4370,277,429,14924
4382,268,470,14880
4381,265,485,14869
4381,270,494,14855
4392,270,524,14814
4407,275,520,14798
4385,276,509,14830
4387,281,524,14808
4377,290,533,14800
4361,318,511,14810
4344,343,535,14778
4327,325,563,14785
4317,327,577,14779
4310,325,592,14773
4294,330,608,14768
4288,349,620,14743
4251,386,613,14750
4200,397,642,14761
4186,388,664,14762
4142,398,672,14788
4159,386,685,14770
4108,413,716,14763
4095,403,740,14762
4063,413,761,14763
4032,407,771,14790
4003,421,792,14784
3976,401,803,14820
3943,420,805,14832
3910,436,831,14823
3879,432,863,14826
3829,444,856,14871
3779,435,887,14899
3728,438,897,14937
3703,428,895,14974
3655,420,909,15016
3623,426,888,15063
3570,444,896,15090
3544,435,887,15134
3496,455,885,15164
3454,463,890,15193
3428,439,932,15201
3391,443,933,15233
3357,435,929,15279
3324,439,923,15314
3291,433,917,15359
3246,443,906,15405
3240,413,882,15465
3196,413,884,15507
3173,409,892,15526
3182,413,887,15518
3177,402,888,15533
3178,404,898,15520
3172,392,887,15549
3170,387,869,15574
3161,398,850,15591
3171,379,845,15605
3151,386,830,15633
3136,364,831,15669
3159,352,817,15672
3155,373,810,15662
3160,356,809,15675
3162,337,803,15698
3194,325,787,15694
3196,325,764,15715
3196,320,769,15715
3205,337,733,15725
3227,335,739,15699
3247,310,735,15708
3244,317,723,15716
3244,322,720,15714
3276,314,725,15685
3268,340,719,15673
3280,334,726,15660
3278,338,743,15641
3276,318,744,15662
3271,324,724,15681
3289,307,723,15681
3263,330,709,15698
3245,362,684,15709
3254,362,678,15706
3248,337,693,15722
3254,318,676,15752
3277,306,662,15755
3311,309,648,15732
3341,297,623,15739
3374,300,626,15700
3404,300,643,15653
3424,294,638,15644
3453,294,612,15641
3444,282,630,15644
3452,299,618,15631
3482,288,610,15620
3492,310,600,15598
3527,285,601,15587
3559,273,602,15566
3580,277,579,15564
3606,265,592,15537
3619,271,592,15518
3625,281,597,15497
3622,285,599,15494
3632,279,600,15489
3659,291,600,15450
3664,299,592,15445
3656,305,615,15424
3634,324,628,15414
3640,321,628,15411
3632,337,655,15376
3649,341,647,15363
3662,342,635,15361
3680,347,640,15333
3670,344,670,15316
3686,343,690,15281
3667,361,683,15289
3661,360,701,15278
3635,381,711,15273
3635,370,736,15259
3658,338,761,15243
3639,334,779,15248
3629,356,772,15243
3625,379,768,15228
3622,383,762,15233
3598,393,767,15242
3581,397,771,15251
3541,426,777,15256
3493,419,785,15303
3481,414,774,15331
3475,429,771,15325
3459,427,763,15351
3462,432,767,15339
3447,413,780,15360
3430,398,785,15387
3420,388,792,15400
3422,378,793,15407
3425,388,778,15409
3396,375,779,15450
3399,376,780,15445
3391,367,784,15458
3384,334,791,15491
3375,342,790,15493
3373,328,774,15525
3367,346,772,15515
3366,334,769,15531
3369,353,762,15516
3362,337,767,15534
3353,349,757,15541
3334,346,736,15584
3354,329,724,15593
3365,315,713,15607
3369,327,687,15617
3380,303,694,15623
3378,325,687,15610
3374,334,671,15621
3380,335,658,15627
3381,331,682,15606
3374,324,689,15613
3372,335,683,15610
3366,323,685,15626
3378,314,690,15618
3368,319,685,15628
3380,310,695,15615
3401,304,688,15607
3404,312,666,15618
3396,313,661,15630
3423,295,639,15643
3433,286,625,15656
3456,284,627,15633
3460,290,616,15634
3467,305,598,15630
3496,279,617,15608
3511,275,623,15591
3522,277,628,15573
3513,305,610,15572
3521,301,608,15570
3522,293,623,15562
3513,290,633,15564
3525,296,641,15538
3521,311,645,15523
3533,307,666,15494
3505,319,672,15504
3508,310,675,15507
3519,313,665,15503
3493,316,655,15536
3518,302,653,15527
3520,290,680,15510
3534,305,671,15490
3542,303,665,15490
3550,302,674,15474
3550,321,659,15470
3544,329,657,15470
3552,318,674,15456
3567,316,665,15452
3562,314,662,15462
3567,306,678,15449
3550,318,663,15469
3567,309,668,15456
3575,310,648,15467
3580,309,656,15455
3589,323,637,15451
3595,319,634,15452
3623,293,647,15437
3599,311,642,15448
3595,311,655,15439
3598,307,658,15437
3614,308,643,15435
3606,320,638,15436
3612,313,637,15438
3611,311,629,15449
3635,303,622,15440
3653,305,629,15413
3670,325,629,15376
3669,343,628,15360
3677,337,625,15361
3687,333,618,15362
3664,354,599,15383
3651,340,632,15377
3667,322,657,15354
3673,315,664,15348
3647,344,652,15357
3660,330,665,15345
3648,316,676,15360
3628,336,660,15376
3602,360,664,15374
3610,356,681,15353
3588,353,715,15344
3603,318,722,15357
3615,318,696,15371
3625,306,696,15373
3618,325,677,15380
3621,335,652,15392
3606,341,652,15401
3599,317,686,15398
3602,338,651,15409
3616,329,658,15397
3630,313,666,15391
3624,340,646,15390
3649,330,648,15373
3674,333,654,15339
3701,318,653,15328
3718,314,652,15316
3724,329,636,15311
3723,334,650,15293
3729,322,648,15301
3754,310,666,15270
3750,314,664,15272
3752,333,659,15256
3744,348,666,15242
3729,347,671,15253
3748,329,675,15248
3747,321,688,15244
3722,328,686,15264
3725,343,691,15241
3738,331,676,15255
3703,353,693,15251
3715,361,684,15240
3697,364,719,15220
3704,344,723,15229
3681,370,712,15237
3660,388,737,15215
3680,372,753,15195
3691,336,766,15207
3670,349,765,15216
3628,398,738,15236
3597,401,749,15253
3559,423,766,15252
3581,400,767,15252
3591,395,752,15262
3604,383,772,15241
3565,412,775,15248
3560,391,793,15256
3573,383,803,15241
3563,398,796,15243
3570,370,810,15250
3571,351,806,15272
3549,367,818,15266
3525,394,795,15286
3512,395,801,15292
3523,385,781,15311
3501,403,797,15299
3520,397,778,15305
3531,375,779,15315
3528,355,805,15312
3539,359,797,15305
3527,352,797,15324
3524,353,809,15314
3513,362,801,15324
3514,359,795,15332
3524,355,772,15349
3493,371,739,15397
3472,370,746,15412
3478,347,741,15434
3490,341,729,15440
3487,360,723,15430
3483,350,744,15423
3503,336,762,15399
3513,326,766,15395
3520,344,750,15386
3538,336,737,15389
3553,316,729,15402
3558,319,725,15398
3556,339,723,15382
3547,332,734,15387
3550,341,735,15374
3558,336,723,15383
3561,343,714,15382
3579,320,709,15392
3602,334,699,15365
3640,318,709,15333
3639,336,701,15324
3647,357,701,15295
3639,366,701,15294
3657,377,698,15268
3666,365,716,15253
3666,385,704,15245
3666,383,709,15242
3664,378,709,15249
3677,369,719,15235
3674,364,726,15236
3676,353,723,15248
3699,339,716,15246
3701,348,715,15236
3690,368,714,15228
3710,350,753,15187
3684,381,739,15196
3704,380,750,15166
3674,387,764,15175
3669,382,763,15186
3629,394,769,15208
3610,390,780,15220
3606,381,749,15264
3602,385,756,15257
3610,394,764,15232
3604,394,781,15221
3603,373,790,15234
3591,386,807,15216
3569,386,824,15221
3549,393,811,15247
3520,394,818,15268
3528,381,825,15266
3512,357,863,15268
3473,384,851,15292
3452,373,870,15305
3445,367,865,15323
3447,372,839,15342
3445,355,837,15363
3447,373,804,15376
3456,350,830,15364
3435,373,827,15365
3444,376,833,15347
3438,344,821,15397
3412,368,809,15411
3400,380,813,15407
3378,390,813,15419
3413,383,821,15383
3404,399,801,15396
3374,407,801,15418
3372,396,806,15426
3387,382,808,15423
3385,351,817,15447
3385,362,778,15475
3387,352,776,15485
3360,354,780,15506
3345,357,784,15514
3328,371,779,15522
3328,376,765,15531
3335,367,747,15551
3339,380,756,15525
3345,378,746,15531
3344,358,753,15545
3362,357,740,15541
3385,351,736,15528
3378,357,734,15531
3391,354,724,15531
3413,347,712,15528
3434,321,712,15533
3430,317,706,15547
3435,325,715,15525
3438,313,719,15530
3440,336,688,15536
3450,336,673,15541
3468,314,685,15533
3475,327,700,15498
3461,336,714,15489
3460,340,718,15482
3473,351,688,15488
3505,333,708,15454
3516,337,704,15443
3504,347,698,15451
3517,341,687,15455
3525,321,703,15451
3518,310,711,15461
3508,329,704,15459
3525,318,687,15470
3538,317,693,15452
3529,334,711,15426
3540,323,707,15430
3543,327,706,15424
3555,319,701,15425
3558,307,703,15432
3561,319,703,15417
3576,326,673,15425
3576,333,682,15409
3572,329,695,15404
3597,313,703,15387
3612,309,704,15375
3602,344,681,15373
3627,329,697,15347
3623,319,694,15364
3606,325,709,15360
3615,322,706,15357
3621,328,707,15344
3602,360,702,15336
3583,362,722,15333
3574,358,709,15359
3578,342,715,15365
3562,345,724,15369
3531,347,741,15381
3523,356,753,15368
3515,350,752,15383
3523,352,742,15383
3531,346,744,15379
3544,342,742,15372
3539,348,716,15397
3529,370,708,15393
3537,344,736,15383
3527,357,704,15412
3507,357,710,15426
3501,368,711,15420
3494,375,705,15426
3490,371,734,15405
3493,358,752,15397
3493,357,749,15401
3533,326,740,15401
3567,309,720,15404
3577,324,689,15410
3584,342,679,15395
