S,E,I,R
19972,8,20,0
19954,23,23,0
19934,35,26,5
19904,55,35,6
19873,75,43,9
19833,93,60,14
19775,124,78,23
19689,167,109,35
19584,238,125,53
19447,309,172,72
19281,396,231,92
19042,513,328,117
18752,658,432,158
18320,906,559,215
17795,1171,744,290
17121,1508,972,399
16291,1903,1289,517
15256,2399,1640,705
14006,2949,2135,910
12567,3517,2718,1198
11040,4111,3301,1548
9435,4560,4027,1978
7810,4887,4811,2492
6273,5031,5548,3148
4930,4945,6248,3877
3768,4674,6849,4709
2834,4254,7258,5654
2118,3755,7523,6604
1589,3257,7513,7641
1212,2740,7436,8612
925,2243,7264,9568
711,1833,6937,10519
572,1470,6498,11460
474,1205,6024,12297
420,947,5549,13084
386,762,5051,13801
363,624,4594,14419
352,484,4175,14989
344,392,3736,15528
347,333,3312,16008
345,272,2960,16423
377,222,2629,16772
386,203,2321,17090
399,181,2058,17362
435,160,1843,17562
457,132,1632,17779
497,119,1435,17949
530,115,1286,18069
567,95,1150,18188
626,76,1022,18276
675,75,883,18367
721,78,768,18433
765,77,692,18466
814,73,601,18512
852,72,531,18545
902,69,468,18561
953,59,435,18553
1013,58,397,18532
1074,54,346,18526
1127,51,307,18515
1188,48,266,18498
1253,36,237,18474
1312,35,206,18447
1366,35,185,18414
1430,31,162,18377
1494,32,150,18324
1557,26,139,18278
1614,32,117,18237
1666,30,102,18202
1708,27,94,18171
1756,27,91,18126
1820,23,81,18076
1896,24,69,18011
1956,26,63,17955
2007,18,66,17909
2068,17,64,17851
2129,19,57,17795
2180,16,54,17750
2227,16,55,17702
2281,19,47,17653
2333,19,39,17609
2376,18,35,17571
2432,13,35,17520
2500,15,30,17455
2554,12,32,17402
2606,11,28,17355
2667,10,24,17299
2728,9,20,17243
2789,8,20,17183
2844,5,19,17132
2886,6,18,17090
2941,5,19,17035
3005,4,20,16971
3058,4,18,16920
3115,4,19,16862
3171,3,12,16814
3222,3,11,16764
3257,4,7,16732
3308,3,8,16681
3365,0,9,16626
3422,2,8,16568
3470,4,7,16519
3530,4,8,16458
3571,6,9,16414
3621,7,8,16364
3663,9,7,16321
3711,6,7,16276
3750,7,5,16238
3794,6,6,16194
3846,6,8,16140
3899,6,11,16084
3939,7,10,16044
3996,5,10,15989
4043,5,9,15943
4082,5,9,15904
4124,4,11,15861
4164,5,9,15822
4209,5,7,15779
4252,3,9,15736
4294,2,10,15694
4344,3,9,15644
4394,3,9,15594
4429,4,9,15558
4471,4,7,15518
4510,7,6,15477
4554,4,11,15431
4615,3,13,15369
4658,5,11,15326
4698,3,9,15290
4737,3,9,15251
4792,4,9,15195
4831,5,8,15156
4880,4,11,15105
4918,10,9,15063
4974,10,10,15006
5014,12,13,14961
5048,9,17,14926
5086,11,20,14883
5130,14,20,14836
5174,12,23,14791
5209,16,27,14748
5240,20,26,14714
5275,23,28,14674
