S,E,I,R
19968,12,16,4
19949,28,15,8
19936,35,20,9
19903,58,27,12
19877,71,35,17
19826,96,55,23
19766,117,85,32
19662,181,114,43
19534,247,160,59
19395,322,199,84
19199,426,260,115
18968,539,342,151
18643,737,418,202
18246,931,560,263
17719,1186,749,346
17089,1484,977,450
16269,1900,1262,569
15218,2381,1655,746
14105,2851,2073,971
12737,3461,2560,1242
11198,4019,3197,1586
9590,4461,3955,1994
7979,4785,4707,2529
6395,5034,5438,3133
5024,4983,6126,3867
3867,4749,6730,4654
2874,4424,7148,5554
2132,3894,7478,6496
1597,3355,7582,7466
1197,2817,7529,8457
939,2284,7316,9461
778,1816,6993,10413
647,1454,6600,11299
536,1161,6155,12148
473,942,5675,12910
408,789,5191,13612
370,642,4756,14232
349,512,4325,14814
337,407,3930,15326
350,326,3508,15816
358,266,3130,16246
366,231,2795,16608
377,204,2502,16917
407,176,2246,17171
433,155,1981,17431
469,135,1757,17639
501,115,1570,17814
533,111,1381,17975
557,99,1222,18122
592,83,1072,18253
648,78,943,18331
696,77,843,18384
747,70,755,18428
795,59,677,18469
839,66,600,18495
910,55,533,18502
961,62,480,18497
1001,70,435,18494
1046,63,410,18481
1093,61,375,18471
1140,62,335,18463
1202,48,310,18440
1254,51,284,18411
1299,53,258,18390
1351,44,231,18374
1382,57,210,18351
1442,47,202,18309
1492,49,191,18268
1574,40,173,18213
1623,38,152,18187
1670,43,124,18163
1724,32,122,18122
1781,30,111,18078
1838,28,108,18026
1893,19,101,17987
1929,24,96,17951
1984,25,91,17900
2031,21,91,17857
2083,36,86,17795
2150,27,83,17740
2212,27,83,17678
2261,25,74,17640
2316,24,72,17588
2366,26,70,17538
2433,25,60,17482
2482,27,60,17431
2532,20,68,17380
2582,20,60,17338
2618,23,57,17302
2677,15,58,17250
2720,12,54,17214
2758,17,48,17177
2799,21,46,17134
2851,20,47,17082
2904,23,41,17032
2955,23,43,16979
3014,20,42,16924
3069,16,43,16872
3125,13,40,16822
3181,18,36,16765
3228,21,35,16716
3269,22,34,16675
3321,17,37,16625
3373,17,34,16576
3418,16,26,16540
3467,17,28,16488
3527,17,31,16425
3572,17,34,16377
3624,15,35,16326
3667,15,34,16284
3704,16,33,16247
3757,17,35,16191
3794,18,36,16152
3846,16,35,16103
3887,17,35,16061
3918,17,36,16029
3952,19,37,15992
3982,22,35,15961
4030,21,37,15912
4079,18,36,15867
4114,21,33,15832
4151,23,29,15797
4200,20,32,15748
4232,26,33,15709
4281,25,39,15655
4318,25,41,15616
4358,28,40,15574
4393,29,37,15541
4429,26,41,15504
4462,25,46,15467
4493,24,43,15440
4516,25,49,15410
4546,25,53,15376
4574,27,53,15346
4603,32,58,15307
4645,37,61,15257
4679,34,66,15221
4718,33,59,15190
4750,39,58,15153
4791,36,65,15108
4820,40,68,15072
4852,51,67,15030
4882,60,67,14991
4916,48,85,14951
4961,48,88,14903
4998,51,79,14872
5019,58,75,14848
5044,54,82,14820
5072,51,91,14786
5097,48,101,14754
5127,59,98,14716
5142,73,104,14681
5177,67,111,14645
5191,75,112,14622
5224,71,120,14585
5261,76,128,14535
5264,80,128,14528
5293,77,137,14493
5324,77,139,14460
5349,74,138,14439
5352,76,141,14431
5368,83,150,14399
5378,88,165,14369
5373,109,166,14352
5354,129,182,14335
5343,138,197,14322
5337,148,212,14303
5337,152,231,14280
5347,151,246,14256
5344,160,255,14241
5328,179,263,14230
5313,190,272,14225
5303,180,301,14216
5292,198,301,14209
5249,208,325,14218
5225,217,340,14218
5181,233,366,14220
5166,226,381,14227
5130,251,384,14235
5100,252,405,14243
5078,263,404,14255
5035,269,446,14250
4976,301,460,14263
4946,306,478,14270
4894,318,489,14299
4847,329,521,14303
4793,349,534,14324
4734,366,558,14342
4686,372,574,14368
4653,368,591,14388
4587,372,617,14424
4509,399,632,14460
4419,414,662,14505
4375,406,675,14544
4312,403,693,14592
4233,412,737,14618
4143,423,783,14651
4064,438,795,14703
4008,432,783,14777
3957,425,799,14819
3878,431,816,14875
3829,437,807,14927
3744,449,836,14971
3710,415,852,15023
3638,420,870,15072
3563,421,871,15145
3512,406,901,15181
3448,412,892,15248
3389,417,868,15326
3343,387,867,15403
3279,392,858,15471
3229,403,868,15500
3180,414,848,15558
3133,425,827,15615
3115,401,847,15637
3087,388,843,15682
3059,382,830,15729
3028,365,827,15780
3006,349,828,15817
2976,344,817,15863
2967,322,808,15903
2940,327,793,15940
2939,312,771,15978
2908,327,769,15996
2907,302,757,16034
2900,306,723,16071
2900,279,736,16085
2905,268,713,16114
2912,279,684,16125
2887,271,673,16169
2891,267,635,16207
2891,269,629,16211
2899,267,636,16198
2902,274,605,16219
2929,253,597,16221
2941,260,589,16210
2939,264,596,16201
2962,245,588,16205
2971,245,585,16199
2989,243,587,16181
3007,238,559,16196
3036,226,558,16180
3061,212,552,16175
3076,213,546,16165
3104,203,522,16171
3124,202,508,16166
3165,196,496,16143
3191,207,489,16113
3224,200,473,16103
3243,211,442,16104
3257,224,431,16088
3266,208,432,16094
3299,208,437,16056
3313,208,442,16037
3339,209,448,16004
3349,211,465,15975
3380,212,465,15943
3417,209,455,15919
3434,212,453,15901
3450,222,454,15874
3489,209,450,15852
3513,207,462,15818
3533,222,463,15782
3564,209,463,15764
3589,217,437,15757
3634,206,441,15719
3648,211,448,15693
3666,225,434,15675
3704,218,444,15634
3732,220,435,15613
3735,225,438,15602
3768,234,432,15566
3790,230,440,15540
3811,228,458,15503
3839,235,453,15473
3859,232,462,15447
3893,213,480,15414
3906,224,461,15409
3921,221,461,15397
3956,221,459,15364
3962,220,461,15357
3972,223,464,15341
3981,245,455,15319
3989,245,460,15306
4009,266,455,15270
4014,277,456,15253
4035,252,475,15238
4062,255,479,15204
4045,282,507,15166
4067,277,517,15139
4091,276,531,15102
4101,285,537,15077
4101,287,546,15066
4106,289,532,15073
4126,291,524,15059
4137,312,515,15036
4149,303,539,15009
4165,290,544,15001
4161,291,557,14991
4151,301,581,14967
4141,314,600,14945
4112,335,624,14929
4103,344,629,14924
4063,370,646,14921
4044,361,679,14916
4017,380,690,14913
3997,372,733,14898
3953,374,727,14946
3918,386,729,14967
3884,396,740,14980
3871,398,753,14978
3834,389,780,14997
3810,406,777,15007
3828,356,801,15015
3801,369,794,15036
3770,385,807,15038
3732,402,820,15046
3698,406,835,15061
3686,417,829,15068
3665,394,875,15066
3630,420,860,15090
3590,432,835,15143
3552,414,867,15167
3519,426,858,15197
3501,413,862,15224
3485,394,879,15242
3428,422,864,15286
3414,430,866,15290
3398,437,863,15302
3391,416,861,15332
3369,419,850,15362
3344,428,849,15379
3332,426,852,15390
3288,421,864,15427
3271,411,856,15462
3251,422,858,15469
3236,401,867,15496
3217,374,870,15539
3197,393,834,15576
3206,390,827,15577
3199,378,836,15587
3187,376,817,15620
3169,387,793,15651
3167,368,801,15664
3155,373,786,15686
3152,366,785,15697
3160,364,780,15696
3183,352,769,15696
3184,360,770,15686
3203,359,770,15668
3205,362,764,15669
3213,355,756,15676
3236,359,737,15668
3244,347,735,15674
3248,342,739,15671
3274,318,740,15668
3265,334,723,15678
3276,338,706,15680
3273,323,705,15699
3277,299,721,15703
3290,297,704,15709
3304,308,693,15695
3307,312,699,15682
3330,310,683,15677
3348,312,673,15667
3358,315,654,15673
3375,306,649,15670
3392,310,647,15651
3414,308,643,15635
3438,295,662,15605
3444,308,658,15590
3450,318,646,15586
3441,322,663,15574
3437,325,659,15579
3462,303,654,15581
3480,299,659,15562
3515,316,631,15538
3532,307,646,15515
3555,295,649,15501
3554,329,627,15490
3579,328,635,15458
3589,325,650,15436
3585,321,670,15424
3577,348,640,15435
3604,342,637,15417
3605,330,636,15429
3613,313,653,15421
3605,313,659,15423
3610,316,663,15411
3569,343,674,15414
3554,330,699,15417
3569,308,699,15424
3562,338,682,15418
3561,340,678,15421
3569,341,677,15413
3550,350,696,15404
3551,344,703,15402
3545,339,721,15395
3546,367,702,15385
3526,355,735,15384
3527,345,724,15404
3529,350,732,15389
3514,367,718,15401
3505,351,741,15403
3489,352,740,15419
3482,348,755,15415
3482,349,759,15410
3474,337,774,15415
3448,365,752,15435
3460,363,746,15431
3472,347,749,15432
3463,339,740,15458
3467,342,751,15440
3450,357,757,15436
3454,354,748,15444
3481,333,759,15427
3482,332,748,15438
3470,337,749,15444
3462,361,736,15441
3469,353,744,15434
3440,365,740,15455
3442,343,753,15462
3439,350,736,15475
3447,358,708,15487
3439,356,729,15476
3425,348,736,15491
3404,347,736,15513
3406,327,731,15536
3407,327,756,15510
3412,329,738,15521
3413,330,728,15529
3385,338,713,15564
3384,338,709,15569
3395,339,697,15569
3384,345,693,15578
3365,361,698,15576
3366,375,694,15565
3363,375,705,15557
3350,355,723,15572
3367,344,713,15576
3369,338,692,15601
3364,325,690,15621
3364,342,685,15609
3376,317,697,15610
3359,313,711,15617
3365,303,725,15607
3361,316,709,15614
3376,314,697,15613
3374,329,663,15634
3364,310,675,15651
3364,314,675,15647
3367,316,671,15646
3381,304,663,15652
3409,289,655,15647
3389,300,645,15666
3400,307,647,15646
3397,312,651,15640
3412,311,647,15630
3423,325,629,15623
3438,333,627,15602
3460,335,616,15589
3466,322,618,15594
3460,311,639,15590
3464,307,636,15593
3471,311,643,15575
3477,301,661,15561
3465,307,667,15561
3455,317,658,15570
3450,315,661,15574
3455,318,651,15576
3446,329,670,15555
3446,328,658,15568
3454,321,655,15570
3443,315,668,15574
3454,301,681,15564
3483,302,683,15532
3489,302,671,15538
3490,315,656,15539
3505,312,658,15525
3522,293,663,15522
3510,324,670,15496
3514,318,669,15499
3512,315,650,15523
3532,321,627,15520
3543,293,633,15531
3550,281,652,15517
3559,268,643,15530
3572,287,649,15492
3580,288,635,15497
3578,293,630,15499
3578,302,639,15481
3588,296,642,15474
3590,313,628,15469
3590,308,632,15470
3580,323,640,15457
3593,307,660,15440
3604,323,648,15425
3598,342,649,15411
3611,341,670,15378
3592,350,689,15369
3590,356,680,15374
3598,349,667,15386
3602,346,671,15381
3614,338,663,15385
3592,352,671,15385
3620,348,659,15373
3615,343,671,15371
3627,330,680,15363
3626,322,684,15368
3641,323,677,15359
3634,345,665,15356
3641,334,677,15348
3633,336,682,15349
3642,338,700,15320
3637,337,705,15321
3655,326,697,15322
3652,327,705,15316
3671,344,686,15299
3668,348,666,15318
3678,349,660,15313
3666,358,670,15306
3678,332,667,15323
3682,305,705,15308
3673,313,701,15313
3684,323,671,15322
3665,329,675,15331
3670,316,679,15335
3684,306,672,15338
3697,308,681,15314
3671,335,691,15303
3685,334,689,15292
3701,341,658,15300
3698,341,658,15303
3726,313,671,15290
3723,333,667,15277
3726,324,677,15273
3694,332,692,15282
3690,325,714,15271
3694,319,706,15281
3677,330,701,15292
3695,310,712,15283
3710,313,697,15280
3722,336,688,15254
3702,376,675,15247
3686,399,703,15212
3670,386,730,15214
3647,383,764,15206
3634,388,783,15195
3621,380,796,15203
3612,372,809,15207
3622,359,785,15234
3618,349,775,15258
3586,368,774,15272
3566,387,782,15265
3551,379,792,15278
3516,387,786,15311
3524,370,786,15320
3518,372,791,15319
3514,383,778,15325
3490,384,782,15344
3474,392,779,15355
3472,385,789,15354
3479,361,803,15357
3459,371,804,15366
3463,365,814,15358
3448,365,809,15378
3451,365,785,15399
3442,381,790,15387
3463,366,781,15390
3452,372,764,15412
3434,362,790,15414
3438,358,805,15399
3426,351,811,15412
3445,355,797,15403
3438,353,793,15416
3432,365,780,15423
3410,370,782,15438
3417,368,775,15440
3418,360,776,15446
3432,374,756,15438
3433,394,755,15418
3416,401,773,15410
3412,386,793,15409
