S,E,I,R
19964,16,16,4
19952,25,19,4
19934,37,23,6
19913,40,38,9
19878,63,43,16
19831,93,55,21
19777,124,68,31
19702,169,83,46
19609,206,125,60
19493,260,171,76
19340,341,222,97
19121,459,291,129
18823,615,401,161
18473,791,506,230
17989,1061,655,295
17415,1330,901,354
16691,1704,1118,487
15765,2127,1474,634
14597,2657,1901,845
13286,3212,2379,1123
11775,3811,2963,1451
10210,4306,3635,1849
8572,4734,4400,2294
6967,5002,5171,2860
5508,5040,5922,3530
4289,4810,6624,4277
3211,4532,7157,5100
2397,4040,7509,6054
1794,3514,7664,7028
1351,2980,7658,8011
1021,2495,7479,9005
776,2050,7250,9924
612,1651,6865,10872
474,1362,6481,11683
405,1063,6057,12475
363,825,5541,13271
341,642,5051,13966
335,529,4527,14609
312,432,4087,15169
307,355,3680,15658
325,281,3329,16065
356,237,2969,16438
382,180,2650,16788
405,157,2328,17110
432,154,2051,17363
465,136,1820,17579
506,128,1618,17748
535,127,1445,17893
570,117,1304,18009
616,98,1175,18111
654,92,1032,18222
698,86,925,18291
736,80,828,18356
782,92,717,18409
835,84,635,18446
895,76,563,18466
939,72,496,18493
992,66,451,18491
1028,60,416,18496
1079,52,387,18482
1132,42,349,18477
1179,51,315,18455
1242,34,286,18438
1280,35,260,18425
1330,33,229,18408
1388,31,204,18377
1438,35,181,18346
1483,34,161,18322
1534,37,145,18284
1591,31,133,18245
1651,28,128,18193
1717,27,111,18145
1757,24,98,18121
1821,25,87,18067
1874,26,80,18020
1915,30,74,17981
1968,26,76,17930
2004,26,73,17897
2066,19,73,17842
2128,14,68,17790
2174,15,59,17752
2217,16,56,17711
2264,21,51,17664
2309,22,51,17618
2355,21,50,17574
2399,19,46,17536
2440,16,44,17500
2493,15,41,17451
2556,13,45,17386
2603,16,45,17336
2659,17,37,17287
2710,16,35,17239
2758,11,34,17197
2807,14,33,17146
2852,15,29,17104
2896,14,30,17060
2949,14,29,17008
2990,16,27,16967
3049,15,28,16908
3099,10,26,16865
3156,4,30,16810
3201,9,28,16762
3252,10,28,16710
3306,14,24,16656
3364,13,24,16599
3402,11,26,16561
3448,9,26,16517
3495,13,21,16471
3536,14,23,16427
3577,15,17,16391
3606,17,18,16359
3662,20,20,16298
3709,15,28,16248
3759,14,25,16202
3808,14,25,16153
3842,16,26,16116
3890,18,25,16067
3935,14,27,16024
3977,14,25,15984
4018,13,26,15943
4057,13,24,15906
4105,15,24,15856
4144,14,28,15814
4183,17,28,15772
4224,15,27,15734
4263,16,26,15695
4301,19,26,15654
4355,20,31,15594
4398,14,36,15552
4438,18,36,15508
4482,20,35,15463
4515,18,32,15435
4552,16,35,15397
4596,18,34,15352
4635,20,32,15313
4663,24,31,15282
4700,23,34,15243
4731,20,37,15212
4755,25,36,15184
4797,26,30,15147
4832,20,37,15111
4873,19,36,15072
4899,25,37,15039
