S,E,I,R
19964,16,19,1
19941,32,24,3
19921,46,29,4
19884,69,38,9
19846,90,52,12
19785,125,72,18
19708,159,102,31
19622,208,125,45
19523,251,161,65
19365,337,209,89
19125,485,282,108
18871,600,373,156
18545,770,470,215
18044,1057,608,291
17486,1334,801,379
16760,1678,1071,491
15850,2118,1398,634
14763,2610,1807,820
13425,3223,2294,1058
11981,3764,2904,1351
10405,4240,3574,1781
8745,4704,4336,2215
7152,4968,5088,2792
5663,5060,5803,3474
4431,4833,6475,4261
3409,4498,6938,5155
2560,4106,7316,6018
1872,3596,7515,7017
1439,2975,7567,8019
1083,2558,7377,8982
852,2074,7100,9974
698,1705,6695,10902
585,1337,6327,11751
504,1089,5839,12568
436,871,5367,13326
407,694,4910,13989
387,557,4469,14587
378,451,4042,15129
368,386,3622,15624
387,314,3263,16036
401,253,2917,16429
423,224,2606,16747
432,192,2331,17045
463,165,2068,17304
488,154,1835,17523
518,132,1637,17713
548,122,1454,17876
589,102,1279,18030
634,89,1136,18141
684,79,1002,18235
713,85,890,18312
766,86,791,18357
811,84,706,18399
856,81,629,18434
913,80,553,18454
963,80,488,18469
1013,80,442,18465
1063,70,403,18464
1137,54,368,18441
1200,49,338,18413
1245,49,300,18406
1304,45,277,18374
1364,36,261,18339
1424,32,233,18311
1473,28,211,18288
1532,22,183,18263
1577,28,163,18232
1638,22,152,18188
1687,22,145,18146
1729,27,128,18116
1785,24,122,18069
1840,33,103,18024
1891,33,92,17984
1955,30,82,17933
2002,25,78,17895
2043,26,70,17861
2106,23,67,17804
2166,19,65,17750
2215,25,59,17701
2266,24,57,17653
2326,22,49,17603
2382,21,46,17551
2437,16,48,17499
2490,14,46,17450
2543,14,43,17400
2597,14,40,17349
2660,10,40,17290
2721,10,36,17233
2781,10,34,17175
2829,14,32,17125
2881,14,28,17077
2916,13,31,17040
2970,12,30,16988
3020,10,24,16946
3072,10,23,16895
3124,11,20,16845
3171,9,22,16798
3212,5,24,16759
3257,13,22,16708
3315,8,23,16654
3382,10,21,16587
3434,13,20,16533
3479,11,20,16490
3529,11,22,16438
3573,9,19,16399
3617,8,18,16357
3675,7,18,16300
3719,6,16,16259
3772,7,16,16205
3807,4,17,16172
3849,6,15,16130
3904,3,13,16080
3948,2,12,16038
3990,3,9,15998
4045,3,8,15944
4076,3,7,15914
4133,3,7,15857
4177,2,5,15816
4227,2,5,15766
4268,1,4,15727
4324,2,4,15670
4364,2,4,15630
4415,1,4,15580
4460,2,4,15534
4509,5,4,15482
4565,5,3,15427
4609,5,3,15383
4647,4,5,15344
4683,4,5,15308
4740,4,5,15251
4781,5,5,15209
4833,6,4,15157
4872,5,5,15118
4912,4,5,15079
4951,4,5,15040
4986,5,7,15002
5029,7,7,14957
5059,8,7,14926
5110,8,6,14876
5152,5,8,14835
5200,4,7,14789
5235,5,8,14752
5268,9,9,14714
5309,7,11,14673
5349,6,11,14634
5382,4,13,14601
5414,5,13,14568
5437,8,12,14543
5466,13,13,14508
5506,16,14,14464
5543,14,15,14428
5591,12,19,14378
5629,13,17,14341
5660,16,18,14306
