S,E,I,R
19966,14,19,1
19945,33,19,3
19918,49,29,4
19882,73,37,8
19838,87,62,13
19789,117,67,27
19726,150,91,33
19632,201,123,44
19520,253,169,58
19362,344,207,87
19141,453,290,116
18867,603,372,158
18516,793,466,225
18062,1032,618,288
17511,1316,779,394
16847,1631,1035,487
15969,2036,1371,624
14894,2560,1740,806
13652,3085,2228,1035
12244,3637,2777,1342
10711,4126,3441,1722
9098,4610,4165,2127
7582,4827,4904,2687
6073,4953,5694,3280
4782,4854,6355,4009
3653,4620,6875,4852
2720,4262,7296,5722
2065,3716,7545,6674
1501,3240,7628,7631
1129,2689,7531,8651
885,2222,7223,9670
696,1788,6876,10640
560,1448,6465,11527
482,1195,5985,12338
415,978,5473,13134
368,786,4984,13862
353,620,4560,14467
336,523,4131,15010
337,416,3699,15548
350,325,3332,15993
353,276,2978,16393
369,234,2685,16712
394,197,2372,17037
400,178,2123,17299
412,148,1902,17538
439,136,1693,17732
474,126,1517,17883
499,116,1340,18045
546,97,1173,18184
597,94,1064,18245
641,87,932,18340
694,84,813,18409
740,81,723,18456
789,74,641,18496
839,78,575,18508
898,69,530,18503
955,58,474,18513
1027,59,424,18490
1079,62,372,18487
1136,60,322,18482
1196,55,291,18458
1252,44,267,18437
1323,46,234,18397
1374,49,208,18369
1428,42,190,18340
1492,39,179,18290
1527,37,166,18270
1588,33,160,18219
1648,33,147,18172
1709,40,136,18115
1772,36,126,18066
1827,33,107,18033
1889,29,98,17984
1947,28,98,17927
1998,27,91,17884
2042,31,83,17844
2097,27,74,17802
2148,28,65,17759
2190,25,67,17718
2253,19,65,17663
2316,21,56,17607
2378,23,53,17546
2433,22,51,17494
2484,20,50,17446
2519,24,44,17413
2573,24,45,17358
2627,18,48,17307
2681,16,43,17260
2731,14,39,17216
2780,10,44,17166
2820,8,38,17134
2871,13,33,17083
2912,15,30,17043
2968,13,34,16985
3011,15,34,16940
3057,14,33,16896
3122,17,33,16828
3174,17,31,16778
3205,19,30,16746
3252,15,33,16700
3298,12,33,16657
3346,14,34,16606
3387,15,33,16565
3444,13,29,16514
3491,17,29,16463
3538,20,29,16413
3578,22,29,16371
3626,20,33,16321
3666,22,29,16283
3700,15,33,16252
3740,21,29,16210
3805,18,25,16152
3861,19,26,16094
3900,16,28,16056
3938,16,32,16014
3975,12,36,15977
4009,16,35,15940
4054,19,30,15897
4099,21,30,15850
4148,22,24,15806
4178,19,27,15776
4219,17,29,15735
4263,18,28,15691
4307,18,31,15644
4347,19,30,15604
4383,17,34,15566
4424,19,31,15526
4467,16,35,15482
4514,21,34,15431
4551,15,37,15397
4589,15,38,15358
4630,18,39,15313
4660,20,38,15282
4707,23,38,15232
4737,29,40,15194
4769,25,39,15167
4791,27,35,15147
4830,22,37,15111
4865,20,39,15076
4909,16,44,15031
4942,22,42,14994
4976,33,45,14946
5007,30,50,14913
5032,30,54,14884
5080,32,56,14832
5120,30,60,14790
5164,28,64,14744
5184,30,70,14716
5227,33,67,14673
5275,30,72,14623
5316,27,70,14587
5339,35,68,14558
5376,40,72,14512
5390,42,76,14492
5426,44,81,14449
5449,52,84,14415
5464,54,90,14392
5498,55,93,14354
5514,62,91,14333
5536,65,100,14299
5571,62,103,14264
5598,73,99,14230
5626,76,100,14198
5658,77,110,14155
5674,79,115,14132
5705,78,112,14105
5720,91,117,14072
5732,91,122,14055
5754,84,130,14032
5761,100,129,14010
5770,97,138,13995
5788,101,146,13965
5787,109,154,13950
5788,111,168,13933
5788,119,179,13914
5787,136,187,13890
5770,143,198,13889
5782,132,223,13863
5785,146,215,13854
5789,158,225,13828
5777,166,236,13821
5745,186,244,13825
5739,192,252,13817
5722,218,275,13785
5702,229,297,13772
5676,230,310,13784
5639,237,342,13782
5603,240,357,13800
5570,252,384,13794
5518,253,416,13813
5472,283,415,13830
5423,281,461,13835
5362,284,488,13866
5301,298,514,13887
5249,315,533,13903
5207,336,537,13920
5129,359,570,13942
5052,374,596,13978
4986,397,605,14012
4914,405,632,14049
4868,387,666,14079
4794,391,679,14136
4710,421,709,14160
4595,439,760,14206
4526,421,799,14254
4441,438,783,14338
4357,439,804,14400
4293,466,810,14431
4194,482,819,14505
4128,473,816,14583
4035,466,858,14641
3968,463,906,14663
3913,454,927,14706
3820,467,928,14785
3749,436,949,14866
3674,439,934,14953
3607,453,916,15024
3506,475,926,15093
3440,468,913,15179
3392,449,944,15215
3340,420,936,15304
3291,424,923,15362
3248,416,887,15449
3220,404,897,15479
3155,389,925,15531
3122,373,897,15608
3058,380,875,15687
3033,362,849,15756
3034,340,817,15809
3004,325,822,15849
2984,332,786,15898
2972,326,796,15906
2975,323,782,15920
2958,314,762,15966
2940,325,761,15974
2917,326,742,16015
2895,328,718,16059
2904,329,713,16054
2895,309,728,16068
2882,300,736,16082
2890,275,727,16108
2913,264,711,16112
2885,281,682,16152
2876,298,678,16148
2895,283,663,16159
2890,277,667,16166
2913,256,659,16172
2947,249,656,16148
2947,256,650,16147
2946,248,657,16149
2948,259,644,16149
2971,246,628,16155
2985,234,607,16174
3011,235,581,16173
3029,242,553,16176
3043,231,563,16163
3078,231,551,16140
3097,206,550,16147
3123,214,533,16130
3126,216,530,16128
3155,203,517,16125
3194,188,514,16104
3219,193,519,16069
3259,189,510,16042
3271,209,507,16013
3306,215,508,15971
3351,222,486,15941
3378,221,464,15937
3377,240,453,15930
3391,241,453,15915
3419,225,460,15896
3435,220,467,15878
3458,220,478,15844
3476,225,460,15839
3524,211,477,15788
3546,228,462,15764
3565,225,464,15746
3594,209,466,15731
3612,220,464,15704
3624,220,473,15683
3639,227,467,15667
3644,246,461,15649
3650,247,454,15649
3667,252,442,15639
3671,243,468,15618
3712,240,469,15579
3733,238,464,15565
3754,240,476,15530
3785,239,477,15499
3823,242,470,15465
3839,246,472,15443
3852,247,490,15411
3866,267,490,15377
3872,279,506,15343
3900,277,503,15320
3917,269,513,15301
3929,282,516,15273
3937,276,531,15256
3942,295,519,15244
3943,301,521,15235
3951,282,547,15220
3944,281,548,15227
3956,255,572,15217
3956,272,565,15207
3951,284,562,15203
3974,267,566,15193
3990,271,567,15172
3983,294,559,15164
3983,287,586,15144
3988,288,583,15141
3961,313,587,15139
3965,327,607,15101
3957,338,612,15093
3937,344,609,15110
3900,341,634,15125
3895,335,635,15135
3887,332,652,15129
3857,324,654,15165
3866,329,646,15159
3839,329,652,15180
3836,342,663,15159
3815,341,673,15171
3791,354,687,15168
3779,361,691,15169
3780,347,714,15159
3785,353,701,15161
3775,373,711,15141
3740,391,722,15147
3709,403,731,15157
3681,420,738,15161
3675,391,757,15177
3654,402,723,15221
3660,374,732,15234
3629,379,750,15242
3623,390,729,15258
3628,357,746,15269
3615,367,745,15273
3608,379,738,15275
3578,379,754,15289
3573,378,753,15296
3568,371,763,15298
3549,391,750,15310
3549,375,786,15290
3527,396,777,15300
3486,415,767,15332
3464,396,792,15348
3461,380,832,15327
3458,375,835,15332
3447,378,808,15367
3457,362,808,15373
3433,364,797,15406
3411,379,801,15409
3413,395,769,15423
3401,409,762,15428
3396,398,792,15414
3384,420,785,15411
3373,391,827,15409
3376,374,830,15420
3373,367,813,15447
3364,383,798,15455
3342,380,794,15484
3332,376,809,15483
3318,371,812,15499
3334,344,806,15516
3304,362,783,15551
3317,372,763,15548
3308,372,770,15550
3305,376,743,15576
3311,366,735,15588
3304,364,746,15586
3304,368,745,15583
3308,359,771,15562
3289,360,796,15555
3289,338,792,15581
3290,353,783,15574
3317,369,750,15564
3309,372,748,15571
3293,377,757,15573
3318,360,746,15576
3350,340,742,15568
3351,328,733,15588
3354,330,759,15557
3366,325,743,15566
3372,329,718,15581
3381,335,722,15562
3376,317,728,15579
3377,314,700,15609
3394,293,702,15611
3421,307,690,15582
3434,303,690,15573
3443,318,689,15550
3445,312,684,15559
3458,306,682,15554
3463,298,682,15557
3482,319,672,15527
3466,316,674,15544
3492,296,669,15543
3513,298,667,15522
3509,305,668,15518
3531,305,650,15514
3566,296,654,15484
3581,292,654,15473
3586,293,651,15470
3612,312,636,15440
3608,317,637,15438
3614,325,624,15437
3644,292,650,15414
3647,301,640,15412
3673,298,648,15381
3659,308,642,15391
3655,302,657,15386
3669,267,666,15398
3678,282,659,15381
3685,302,642,15371
3683,309,648,15360
3680,308,663,15349
3668,324,665,15343
3654,338,678,15330
3632,357,694,15317
3650,354,672,15324
3639,355,683,15323
3628,353,681,15338
3649,346,675,15330
3650,340,675,15335
3643,345,703,15309
3626,369,704,15301
3596,394,694,15316
3580,388,696,15336
3584,372,688,15356
3566,371,686,15377
3585,346,707,15362
3602,342,697,15359
3571,354,707,15368
3582,337,716,15365
3578,352,716,15354
3573,335,726,15366
3575,322,733,15370
3531,364,724,15381
3515,362,723,15400
3504,358,750,15388
3494,355,748,15403
3490,367,738,15405
3483,351,745,15421
3511,348,730,15411
3502,357,711,15430
3504,335,725,15436
3516,334,701,15449
3498,333,712,15457
3495,349,727,15429
3483,346,757,15414
3478,340,747,15435
3481,331,781,15407
3485,335,759,15421
3476,349,753,15422
3449,357,740,15454
3445,342,758,15455
3443,366,743,15448
3441,355,749,15455
3439,357,726,15478
3438,353,714,15495
3424,372,716,15488
3430,362,714,15494
3403,351,730,15516
3415,333,733,15519
3421,355,714,15510
3411,340,732,15517
3419,344,710,15527
3419,356,711,15514
3437,329,736,15498
3430,331,721,15518
3423,334,726,15517
3422,348,705,15525
3399,348,714,15539
3374,359,723,15544
3374,372,709,15545
3364,379,721,15536
3381,359,740,15520
3374,346,747,15533
3376,352,738,15534
3363,335,745,15557
3344,317,787,15552
3321,327,791,15561
3310,338,784,15568
3295,345,769,15591
3306,328,774,15592
3294,343,742,15621
3278,351,749,15622
3312,338,734,15616
3328,336,730,15606
3332,331,713,15624
3333,343,692,15632
3330,358,681,15631
3320,348,681,15651
3342,305,698,15655
3338,324,665,15673
3357,309,659,15675
3386,288,673,15653
3403,292,679,15626
3405,303,659,15633
3414,318,651,15617
3416,314,670,15600
3411,308,688,15593
3434,297,685,15584
3424,311,680,15585
3437,300,682,15581
3472,301,648,15579
3479,304,635,15582
3490,295,633,15582
3510,304,630,15556
3520,302,621,15557
3534,317,619,15530
3540,307,618,15535
3567,299,630,15504
3571,310,625,15494
3560,307,644,15489
3568,322,633,15477
3566,325,647,15462
3600,303,626,15471
3587,308,623,15482
3577,318,616,15489
3601,329,607,15463
3623,327,626,15424
3627,318,630,15425
3640,328,649,15383
3626,331,653,15390
3653,312,642,15393
3675,319,643,15363
3692,318,634,15356
3705,319,643,15333
3686,334,642,15338
3699,344,628,15329
3705,362,632,15301
3685,354,647,15314
3672,357,651,15320
3662,383,663,15292
3648,373,672,15307
3654,327,702,15317
3649,340,704,15307
3656,351,704,15289
3679,316,732,15273
3669,330,703,15298
3653,346,686,15315
3643,332,703,15322
3639,334,717,15310
3643,349,687,15321
3605,369,699,15327
3603,362,687,15348
3610,362,682,15346
3604,377,675,15344
3594,361,706,15339
3563,347,741,15349
3549,354,730,15367
3519,353,717,15411
3527,350,704,15419
3534,344,725,15397
3522,352,723,15403
3524,356,728,15392
3541,334,716,15409
3566,315,719,15400
3569,325,707,15399
3563,336,702,15399
3570,325,706,15399
3588,338,673,15401
3585,345,679,15391
3573,357,683,15387
3551,349,682,15418
3558,344,664,15434
3561,341,659,15439
3548,352,684,15416
3553,350,692,15405
3567,341,711,15381
3550,348,730,15372
3556,341,740,15363
3555,336,745,15364
