S,E,I,R
19966,14,17,3
19953,24,17,6
19939,33,20,8
19918,47,21,14
19900,53,30,17
19864,72,43,21
19798,110,67,25
19727,145,93,35
19649,179,123,49
19526,264,150,60
19374,335,207,84
19149,472,272,107
18877,618,369,136
18523,799,499,179
18022,1086,645,247
17386,1383,899,332
16597,1797,1163,443
15646,2221,1533,600
14526,2729,1947,798
13166,3308,2462,1064
11692,3889,3035,1384
10093,4397,3748,1762
8423,4852,4501,2224
6838,5096,5218,2848
5431,4988,6080,3501
4201,4792,6697,4310
3187,4382,7220,5211
2428,3893,7527,6152
1824,3432,7617,7127
1342,2963,7575,8120
1035,2434,7451,9080
824,1986,7143,10047
653,1642,6714,10991
529,1287,6341,11843
448,1057,5836,12659
409,842,5296,13453
384,644,4826,14146
366,522,4293,14819
365,446,3840,15349
371,385,3444,15800
375,305,3076,16244
393,257,2741,16609
413,226,2418,16943
413,205,2125,17257
450,172,1913,17465
468,151,1722,17659
514,137,1539,17810
545,126,1366,17963
572,120,1227,18081
602,112,1077,18209
640,109,970,18281
688,98,859,18355
730,96,750,18424
768,88,655,18489
834,89,589,18488
885,82,529,18504
934,74,476,18516
980,71,436,18513
1039,53,396,18512
1083,50,351,18516
1139,44,314,18503
1181,51,274,18494
1243,50,253,18454
1296,45,228,18431
1356,41,203,18400
1406,34,181,18379
1468,31,165,18336
1525,27,154,18294
1592,25,132,18251
1652,22,118,18208
1722,20,104,18154
1789,19,91,18101
1838,23,85,18054
1887,25,75,18013
1948,18,76,17958
2008,15,72,17905
2053,15,67,17865
2110,14,50,17826
2177,18,43,17762
2244,18,36,17702
2292,14,32,17662
2351,13,26,17610
2401,15,26,17558
2451,11,26,17512
2500,9,22,17469
2561,8,20,17411
2621,7,20,17352
2678,10,20,17292
2728,11,20,17241
2787,12,20,17181
2841,13,22,17124
2890,10,25,17075
2933,8,23,17036
2991,8,23,16978
3026,9,20,16945
3079,6,22,16893
3122,6,19,16853
3155,8,17,16820
3199,5,18,16778
3250,4,18,16728
3301,7,16,16676
3359,6,16,16619
3402,5,14,16579
3451,2,12,16535
3500,4,12,16484
3550,3,12,16435
3594,4,12,16390
3652,5,10,16333
3704,7,10,16279
3763,4,10,16223
3816,1,11,16172
3863,2,10,16125
3912,2,10,16076
3950,4,8,16038
4000,5,7,15988
4043,5,5,15947
4085,4,6,15905
4137,3,6,15854
4187,2,6,15805
4240,4,5,15751
4275,5,5,15715
4314,4,6,15676
4357,4,5,15634
