S,E,I,R
19970,10,16,4
19943,35,17,5
19927,41,24,8
19894,62,35,9
19861,76,50,13
19813,105,64,18
19731,156,88,25
19644,201,117,38
19527,261,154,58
19361,348,222,69
19130,495,277,98
18846,637,383,134
18476,812,524,188
17981,1088,676,255
17375,1368,901,356
16584,1756,1177,483
15598,2237,1530,635
14451,2750,1982,817
13119,3327,2464,1090
11647,3869,3051,1433
10001,4404,3732,1863
8337,4795,4460,2408
6805,4926,5257,3012
5430,4885,5992,3693
4185,4743,6593,4479
3179,4362,7128,5331
2383,3915,7453,6249
1786,3388,7564,7262
1331,2859,7543,8267
1002,2400,7316,9282
779,1972,7000,10249
644,1568,6683,11105
531,1255,6235,11979
466,984,5805,12745
422,743,5307,13528
392,594,4796,14218
378,492,4317,14813
350,407,3864,15379
347,334,3438,15881
359,277,3080,16284
392,225,2745,16638
409,208,2402,16981
416,188,2144,17252
431,169,1907,17493
462,138,1708,17692
492,123,1506,17879
521,123,1333,18023
558,109,1187,18146
599,93,1045,18263
648,85,939,18328
687,77,829,18407
736,79,749,18436
778,77,657,18488
838,69,593,18500
897,60,537,18506
951,56,473,18520
997,65,419,18519
1065,51,380,18504
1116,60,347,18477
1171,58,327,18444
1219,54,292,18435
1257,47,274,18422
1307,48,245,18400
1371,48,220,18361
1419,36,200,18345
1470,41,179,18310
1532,35,165,18268
1583,38,141,18238
1654,31,133,18182
1716,24,122,18138
1759,28,101,18112
1814,35,96,18055
1889,39,89,17983
1946,34,89,17931
2005,30,88,17877
2064,26,86,17824
2111,29,80,17780
2155,28,71,17746
2206,21,71,17702
2256,19,62,17663
2334,18,55,17593
2398,14,49,17539
2452,12,44,17492
2506,18,40,17436
2539,17,34,17410
2600,18,35,17347
2652,17,33,17298
2703,19,29,17249
2750,12,33,17205
2804,15,34,17147
2864,10,39,17087
2910,12,35,17043
2960,13,31,16996
3011,14,33,16942
3055,11,34,16900
3098,8,29,16865
3157,7,27,16809
3202,9,21,16768
3246,12,21,16721
3288,17,19,16676
3344,14,19,16623
3396,14,20,16570
3444,12,25,16519
3490,12,25,16473
3536,9,26,16429
3574,10,26,16390
3625,13,23,16339
3687,12,22,16279
3736,11,21,16232
3789,12,16,16183
3825,12,16,16147
3868,8,19,16105
3917,4,22,16057
3952,8,23,16017
3995,8,21,15976
4034,12,19,15935
4076,13,19,15892
4115,11,20,15854
4148,9,21,15822
4193,7,22,15778
4244,6,20,15730
4285,8,19,15688
4322,10,18,15650
4364,8,20,15608
4410,9,17,15564
4455,11,17,15517
4493,16,17,15474
4541,14,20,15425
4580,12,21,15387
4621,14,23,15342
4659,16,26,15299
4718,12,29,15241
4757,14,29,15200
4789,15,30,15166
4824,12,30,15134
4863,13,27,15097
4895,13,26,15066
4933,12,23,15032
4978,14,23,14985
5024,12,25,14939
5061,12,27,14900
5100,15,30,14855
5137,14,36,14813
5177,15,33,14775
5197,23,35,14745
5233,22,37,14708
5267,22,39,14672
5307,26,41,14626
5338,30,43,14589
5370,31,46,14553
5400,32,48,14520
5431,27,55,14487
5454,38,50,14458
5470,42,48,14440
5502,45,51,14402
5522,52,58,14368
5546,43,70,14341
5577,44,70,14309
5613,43,78,14266
5643,46,80,14231
5675,40,85,14200
5699,47,86,14168
5711,59,88,14142
5718,71,102,14109
5727,72,112,14089
5742,81,113,14064
5750,94,110,14046
5757,99,116,14028
5782,100,121,13997
5793,99,137,13971
5803,107,133,13957
5823,101,148,13928
5814,110,159,13917
5810,132,162,13896
5807,146,180,13867
5794,153,197,13856
5788,153,211,13848
5789,145,239,13827
5752,174,239,13835
5738,181,260,13821
5707,197,268,13828
5690,195,290,13825
5664,207,302,13827
5617,233,314,13836
5585,252,334,13829
5552,257,359,13832
5527,242,388,13843
5471,258,411,13860
5428,266,438,13868
5365,298,463,13874
5319,307,476,13898
5256,332,499,13913
5214,325,533,13928
5120,378,535,13967
5073,373,582,13972
5002,372,605,14021
4905,405,618,14072
4847,395,640,14118
4751,411,685,14153
4665,433,699,14203
4564,466,706,14264
4498,449,749,14304
4415,444,784,14357
4314,472,821,14393
4209,484,849,14458
4113,496,860,14531
4011,501,889,14599
3906,517,902,14675
3794,518,936,14752
