S,E,I,R
19966,14,18,2
19955,20,20,5
19936,34,20,10
19908,52,26,14
19882,69,29,20
19844,84,51,21
19792,111,71,26
19709,168,85,38
19637,197,119,47
19515,266,154,65
19379,322,208,91
19174,439,275,112
18903,592,368,137
18516,812,487,185
18048,1053,641,258
17455,1337,862,346
16694,1719,1133,454
15754,2188,1457,601
14635,2703,1852,810
13335,3254,2361,1050
11935,3757,2922,1386
10357,4191,3665,1787
8723,4646,4355,2276
7202,4869,5052,2877
5803,4955,5697,3545
4513,4848,6367,4272
3454,4576,6888,5082
2605,4124,7335,5936
1880,3688,7597,6835
1408,3130,7584,7878
1073,2609,7444,8874
828,2129,7207,9836
657,1747,6799,10797
532,1366,6439,11663
452,1073,5996,12479
393,862,5474,13271
365,673,5041,13921
352,542,4561,14545
337,461,4131,15071
331,380,3697,15592
363,298,3319,16020
370,263,2960,16407
378,239,2670,16713
397,199,2380,17024
432,179,2106,17283
443,156,1876,17525
465,139,1659,17737
491,132,1449,17928
537,103,1302,18058
581,98,1156,18165
634,89,1034,18243
678,83,938,18301
712,95,814,18379
746,92,735,18427
789,82,676,18453
852,57,623,18468
891,57,547,18505
951,54,482,18513
990,59,426,18525
1041,55,376,18528
1085,51,344,18520
1141,46,313,18500
1207,44,273,18476
1266,33,250,18451
1328,35,222,18415
1370,34,193,18403
1433,34,184,18349
1494,35,164,18307
1540,40,158,18262
1599,40,148,18213
1663,33,140,18164
1726,35,118,18121
1793,35,103,18069
1856,32,99,18013
1901,28,97,17974
1960,29,92,17919
2013,26,83,17878
2064,27,72,17837
2111,31,64,17794
2178,30,58,17734
2233,27,57,17683
2295,24,61,17620
2348,22,60,17570
2393,18,53,17536
2449,18,50,17483
2514,15,48,17423
2560,15,49,17376
2617,13,50,17320
2666,10,52,17272
2714,12,47,17227
2752,10,46,17192
2811,12,45,17132
2852,14,41,17093
2906,11,37,17046
2950,13,34,17003
3002,17,35,16946
3054,14,34,16898
3101,13,34,16852
3146,19,29,16806
3190,16,34,16760
3236,13,32,16719
3285,10,31,16674
3336,10,29,16625
3386,11,31,16572
3448,9,31,16512
3495,13,28,16464
3544,9,29,16418
3584,9,29,16378
3634,9,25,16332
3681,10,26,16283
3726,13,23,16238
3777,12,21,16190
3829,14,22,16135
3878,14,21,16087
3923,12,22,16043
3959,14,24,16003
4012,12,25,15951
4045,10,29,15916
4095,15,26,15864
4128,18,27,15827
4158,15,30,15797
4205,18,28,15749
4248,16,29,15707
4289,16,31,15664
4325,20,36,15619
4367,21,35,15577
4407,24,35,15534
4440,19,39,15502
4476,18,42,15464
4514,12,44,15430
4549,17,41,15393
4582,19,41,15358
4614,22,41,15323
4638,28,39,15295
4680,21,46,15253
4719,17,46,15218
4749,20,40,15191
4780,19,39,15162
4811,23,37,15129
4849,25,39,15087
4882,23,40,15055
4906,23,41,15030
4955,22,40,14983
4997,23,43,14937
5025,28,39,14908
5048,30,41,14881
5084,27,49,14840
5107,32,52,14809
5135,38,54,14773
5168,37,54,14741
5203,38,57,14702
5238,30,66,14666
5264,43,66,14627
5295,42,70,14593
5321,43,76,14560
5363,36,80,14521
5391,36,75,14498
5406,45,77,14472
5432,44,77,14447
5467,41,82,14410
5483,53,80,14384
5505,50,90,14355
5530,53,88,14329
5541,66,98,14295
5551,73,109,14267
5570,78,117,14235
5592,87,119,14202
5601,89,131,14179
