S,E,I,R
19969,11,17,3
19959,18,20,3
19939,33,23,5
19925,38,28,9
19895,55,38,12
19856,79,51,14
19817,101,61,21
19754,136,77,33
19666,188,109,37
19542,256,150,52
19366,353,217,64
19155,474,288,83
18867,636,375,122
18474,858,495,173
17989,1096,666,249
17394,1379,882,345
16594,1776,1160,470
15650,2207,1503,640
14482,2710,1954,854
13170,3259,2475,1096
11654,3837,3079,1430
10127,4302,3743,1828
8453,4758,4456,2333
6878,4944,5235,2943
5434,4991,5995,3580
4181,4878,6508,4433
3129,4591,7002,5278
2366,4076,7337,6221
1805,3519,7513,7163
1401,2945,7550,8104
1070,2428,7415,9087
818,1982,7099,10101
653,1566,6733,11048
528,1266,6273,11933
463,1035,5753,12749
405,846,5269,13480
364,687,4805,14144
351,535,4386,14728
346,434,4002,15218
355,366,3556,15723
366,303,3174,16157
382,252,2840,16526
396,218,2527,16859
426,179,2265,17130
434,155,2033,17378
456,144,1809,17591
494,133,1618,17755
509,121,1443,17927
531,109,1293,18067
565,96,1134,18205
602,87,1009,18302
650,82,891,18377
718,72,793,18417
760,76,698,18466
799,77,629,18495
845,73,569,18513
904,62,520,18514
950,60,466,18524
1007,54,422,18517
1068,62,371,18499
1125,55,339,18481
1177,51,315,18457
1238,48,275,18439
1289,48,253,18410
1338,48,233,18381
1405,45,205,18345
1449,47,190,18314
1489,52,179,18280
1555,44,167,18234
1603,35,146,18216
1653,38,137,18172
1695,41,127,18137
1751,35,120,18094
1802,28,113,18057
1850,28,102,18020
1905,25,95,17975
1962,27,85,17926
2009,24,72,17895
2056,26,67,17851
2125,24,69,17782
2176,24,67,17733
2228,22,70,17680
2277,30,70,17623
2344,22,68,17566
2393,21,63,17523
2449,20,63,17468
2503,18,57,17422
2561,18,48,17373
2612,12,50,17326
2673,9,48,17270
2721,14,42,17223
2763,14,38,17185
2817,16,36,17131
2876,18,36,17070
2914,12,36,17038
2970,15,36,16979
3025,13,41,16921
3070,10,41,16879
3123,10,42,16825
3173,17,40,16770
3204,22,36,16738
3257,17,40,16686
3303,18,37,16642
3345,17,34,16604
3396,17,37,16550
3443,22,36,16499
3484,20,41,16455
3533,18,39,16410
3576,14,42,16368
3604,19,40,16337
3646,21,38,16295
3694,15,39,16252
3737,13,37,16213
3773,16,38,16173
3803,21,30,16146
3840,25,23,16112
3899,24,23,16054
3937,22,26,16015
3983,23,27,15967
4020,18,26,15936
4060,17,28,15895
4114,18,25,15843
4164,19,23,15794
4215,18,23,15744
4257,17,27,15699
4294,17,26,15663
4340,16,32,15612
4381,14,33,15572
4427,17,31,15525
4469,12,28,15491
4504,14,28,15454
4543,13,30,15414
4590,14,30,15366
4638,15,28,15319
4686,13,27,15274
4726,10,24,15240
4775,10,23,15192
4816,8,24,15152
4858,8,24,15110
4905,9,27,15059
4939,11,29,15021
4967,15,25,14993
5010,15,26,14949
5061,16,26,14897
5111,14,29,14846
5139,13,30,14818
5171,12,30,14787
5208,10,30,14752
5251,15,31,14703
5290,20,27,14663
5325,23,28,14624
5357,20,33,14590
5393,17,33,14557
5430,18,33,14519
5469,20,32,14479
5502,21,31,14446
5549,24,31,14396
5577,21,36,14366
5609,18,40,14333
5632,22,38,14308
5661,21,31,14287
5689,20,35,14256
5729,22,34,14215
5777,15,36,14172
5815,21,33,14131
5851,24,35,14090
5888,29,33,14050
5934,24,41,14001
5959,25,43,13973
5985,24,42,13949
6013,28,48,13911
6039,27,47,13887
6069,30,52,13849
6092,31,57,13820
6131,33,60,13776
6155,39,58,13748
6183,41,59,13717
6210,48,60,13682
6227,62,69,13642
6252,61,73,13614
6268,60,82,13590
6282,69,86,13563
6294,74,99,13533
6294,81,97,13528
6302,92,101,13505
6319,91,113,13477
6317,112,123,13448
6322,119,131,13428
6318,126,152,13404
6320,130,159,13391
6312,133,176,13379
6294,140,207,13359
6278,157,226,13339
6261,159,241,13339
6238,168,261,13333
6223,183,268,13326
6188,213,274,13325
6159,233,292,13316
6120,248,323,13309
6101,256,338,13305
6061,260,361,13318
6023,262,388,13327
5971,290,406,13333
5896,311,448,13345
5818,347,478,13357
5736,380,496,13388
5670,386,518,13426
5596,397,543,13464
5545,396,570,13489
5455,412,603,13530
5361,416,648,13575
5260,444,688,13608
5182,442,727,13649
5089,446,746,13719
4981,466,776,13777
4897,478,798,13827
4787,481,839,13893
4677,493,855,13975
4579,474,901,14046
4468,484,934,14114
4366,496,944,14194
4272,515,943,14270
4157,522,971,14350
4072,515,960,14453
3991,500,972,14537
3908,520,953,14619
3798,544,947,14711
3689,558,989,14764
3550,592,1023,14835
3460,578,1043,14919
3400,555,1072,14973
3304,519,1109,15068
3231,507,1083,15179
3183,482,1090,15245
3113,489,1081,15317
3057,453,1068,15422
2990,444,1069,15497
2924,453,1043,15580
2889,415,1029,15667
2846,396,1027,15731
2770,432,985,15813
2715,445,979,15861
2696,409,975,15920
2673,390,961,15976
2643,379,941,16037
2633,364,913,16090
2591,356,913,16140
2590,341,872,16197
2586,339,840,16235
2577,329,815,16279
2559,330,789,16322
2563,318,769,16350
2559,301,747,16393
2568,302,736,16394
2576,291,722,16411
2582,282,696,16440
2595,279,679,16447
2609,267,666,16458
2610,266,663,16461
2621,252,654,16473
2632,251,643,16474
2639,242,621,16498
2644,232,605,16519
2694,216,572,16518
2715,206,557,16522
2756,200,530,16514
