S,E,I,R
19960,20,17,3
19943,32,16,9
19926,41,22,11
19898,54,33,15
19850,80,50,20
19787,117,70,26
19717,162,88,33
19640,193,122,45
19520,262,158,60
19385,335,193,87
19194,437,250,119
18923,573,357,147
18529,808,475,188
18049,1062,633,256
17418,1388,860,334
16606,1816,1137,441
15682,2222,1503,593
14494,2787,1921,798
13095,3408,2462,1035
11569,3930,3138,1363
10011,4368,3851,1770
8381,4807,4526,2286
6832,4980,5312,2876
5357,5084,5996,3563
4114,4861,6658,4367
3102,4573,7097,5228
2326,4033,7476,6165
1742,3495,7599,7164
1307,2975,7592,8126
976,2490,7487,9047
754,2038,7247,9961
575,1634,6879,10912
481,1276,6468,11775
403,974,6030,12593
367,792,5499,13342
327,658,5022,13993
318,533,4542,14607
317,418,4100,15165
308,344,3661,15687
317,293,3264,16126
324,240,2939,16497
348,215,2576,16861
377,185,2258,17180
408,171,2000,17421
428,165,1777,17630
469,147,1579,17805
495,120,1412,17973
516,108,1271,18105
572,106,1135,18187
628,92,992,18288
670,80,872,18378
720,73,775,18432
773,63,698,18466
842,62,603,18493
906,58,543,18493
963,47,480,18510
1027,50,426,18497
1080,47,369,18504
1139,48,326,18487
1197,49,290,18464
1251,41,266,18442
1311,30,250,18409
1361,32,221,18386
1414,32,195,18359
1474,37,167,18322
1517,32,156,18295
1577,28,137,18258
1648,34,120,18198
1709,38,108,18145
1759,32,103,18106
1808,30,97,18065
1868,34,91,18007
1935,39,82,17944
1998,31,83,17888
2042,30,75,17853
2095,23,71,17811
2152,21,69,17758
2202,19,70,17709
2250,22,61,17667
2301,26,56,17617
2356,26,56,17562
2398,21,62,17519
2457,25,49,17469
2497,26,49,17428
2539,26,42,17393
2586,16,45,17353
2633,17,41,17309
2682,12,44,17262
2723,16,38,17223
2778,14,38,17170
2835,14,37,17114
2894,15,38,17053
2943,16,35,17006
2989,13,34,16964
3048,14,30,16908
3109,14,26,16851
3161,15,25,16799
3220,12,32,16736
3264,16,28,16692
3310,14,32,16644
3353,14,33,16600
3405,13,36,16546
3451,16,34,16499
3505,18,34,16443
3555,22,31,16392
3594,18,33,16355
3628,21,36,16315
3658,19,32,16291
3702,15,35,16248
3738,17,34,16211
3784,17,33,16166
3816,19,36,16129
3851,19,41,16089
3898,22,43,16037
3947,21,45,15987
3979,21,49,15951
4029,20,45,15906
4066,23,43,15868
4109,20,49,15822
4142,22,42,15794
4183,22,42,15753
4224,23,41,15712
4254,27,41,15678
4293,28,40,15639
4335,30,39,15596
4369,29,39,15563
4409,26,44,15521
4447,31,45,15477
4483,32,50,15435
4531,32,47,15390
4570,32,54,15344
4602,25,60,15313
4641,25,57,15277
4676,35,50,15239
4715,39,54,15192
4753,37,56,15154
4791,36,59,15114
4831,35,61,15073
4864,31,65,15040
4901,38,61,15000
4933,36,65,14966
4958,42,69,14931
4981,47,68,14904
5015,42,76,14867
5043,36,78,14843
5073,38,77,14812
5107,38,81,14774
5139,38,75,14748
5174,40,78,14708
5187,56,74,14683
5228,61,73,14638
5251,64,79,14606
5275,64,90,14571
5304,59,101,14536
5334,66,104,14496
5363,75,109,14453
5371,68,117,14444
5395,73,118,14414
5414,75,121,14390
5445,74,124,14357
5459,82,121,14338
5478,85,131,14306
5498,89,134,14279
5506,102,145,14247
5517,112,152,14219
5527,106,164,14203
5531,107,182,14180
5533,115,188,14164
5536,120,203,14141
5536,139,214,14111
5507,157,227,14109
5502,168,237,14093
5477,182,259,14082
5455,186,278,14081
5426,204,295,14075
5403,203,318,14076
5378,203,349,14070
5344,243,357,14056
5310,241,384,14065
5273,260,402,14065
5236,257,432,14075
5192,276,446,14086
5137,292,471,14100
5075,312,472,14141
5018,338,500,14144
4959,343,513,14185
4901,358,537,14204
4835,378,559,14228
4781,380,594,14245
4715,387,615,14283
4637,404,632,14327
4574,400,676,14350
4498,419,699,14384
4435,406,727,14432
4342,427,752,14479
4273,427,768,14532
4181,442,786,14591
4099,454,797,14650
4026,442,824,14708
3948,445,832,14775
3869,450,857,14824
3793,480,862,14865
3731,448,912,14909
3654,453,924,14969
3578,449,936,15037
3506,446,938,15110
3438,448,942,15172
3381,440,936,15243
3307,452,935,15306
3245,439,944,15372
3185,424,951,15440
3135,416,944,15505
3085,405,945,15565
3029,399,924,15648
3007,382,910,15701
2981,357,891,15771
2942,374,865,15819
2936,347,858,15859
2898,351,829,15922
